"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_MLL"
"92","KAL",427,"KAL-02","02","Kalmarsund",0.000508388551170337
"93","KAL",441,"KAL-04","04","Kalmarsund",0.000508388551170337
"94","KAL",436,"KAL-06","06","Kalmarsund",0.000508388551170337
"95","KAL",448,"KAL-20","20","Kalmarsund",0.000508388551170337
"96","KAR",451,"KAR-02","02","Kårehamn",0.000420893855976127
"97","KAR",460,"KAR-03","03","Kårehamn",0.000420893855976127
"98","KAV",69,"KAV-01","01","Kämpersvik",0.000420893855976127
"99","KAV",71,"KAV-02","02","Kämpersvik",0.000420893855976127
"100","KAV",72,"KAV-03","03","Kämpersvik",0.000420893855976127
"101","KAV",75,"KAV-04","04","Kämpersvik",0.000420893855976127
"102","KAV",76,"KAV-05","05","Kämpersvik",0.000420893855976127
"103","KAV",77,"KAV-06","06","Kämpersvik",0.000420893855976127
"104","KAV",78,"KAV-07","07","Kämpersvik",0.000420893855976127
"105","KAV",79,"KAV-08","08","Kämpersvik",0.000420893855976127
"106","KAV",84,"KAV-11","11","Kämpersvik",0.000420893855976127
"107","KAV",85,"KAV-14","14","Kämpersvik",0.000420893855976127
"108","KAV",86,"KAV-15","15","Kämpersvik",0.000420893855976127
"109","KAV",87,"KAV-16","16","Kämpersvik",0.000610793122399918
"110","KAV",90,"KAV-17","17","Kämpersvik",0.000610793122399918
"111","KIE",2,"KIE-01","01","Kiel",0.00118738246980111
"112","KIE",4,"KIE-03","03","Kiel",0.00118738246980111
"113","KIE",5,"KIE-04","04","Kiel",0.00118738246980111
"114","KIE",7,"KIE-05","05","Kiel",0.00118738246980111
"115","KIE",11,"KIE-09","09","Kiel",0.00118738246980111
"116","KIE",12,"KIE-10","10","Kiel",0.00118738246980111
"117","KIE",14,"KIE-11","11","Kiel",0.00118738246980111
"118","KIE",15,"KIE-12","12","Kiel",0.00118738246980111
"119","KIE",16,"KIE-13","13","Kiel",0.00118738246980111
"120","KIE",20,"KIE-14","14","Kiel",0.00118738246980111
"121","KIE",21,"KIE-18","18","Kiel",0.00118738246980111
"122","KLI",563,"KLI-02","02","Klintehamn",0.000579381993375309
"123","KLI",561,"KLI-07","07","Klintehamn",0.000579381993375309
"124","KLI",575,"KLI-17","17","Klintehamn",0.000579381993375309
"125","KLI",569,"KLI-06","06","Klintehamn",0.000579381993375309
"126","KLI",573,"KLI-18","18","Klintehamn",0.000579381993375309
"127","KOD",39,"KOD-04","04","Koster donor site",0.000558983842279869
"128","KOD",25,"KOD-13","13","Koster donor site",0.000558983842279869
"129","KOD",43,"KOD-15","15","Koster donor site",0.000558983842279869
"130","KOD",28,"KOD-16","16","Koster donor site",0.000558983842279869
"131","KOD",29,"KOD-18","18","Koster donor site",0.000558983842279869
"132","KOD",30,"KOD-19","19","Koster donor site",0.000558983842279869
"133","KOD",31,"KOD-20","20","Koster donor site",0.000558983842279869
"134","KOD",33,"KOD-01","01","Koster donor site",0.000558983842279869
"135","KOD",41,"KOD-10","10","Koster donor site",0.000558983842279869
"136","KOD",42,"KOD-11","11","Koster donor site",0.000558983842279869
"137","KRA",642,"KRA-04","04","Krampö",0.000379055106748253
"138","KUR",288,"KUR-01","01","Kurland",0.000398566780798619
"139","KUR",291,"KUR-07","07","Kurland",0.000398566780798619
"140","KUR",294,"KUR-09","09","Kurland",0.000398566780798619
"141","KUR",296,"KUR-10","10","Kurland",0.000398566780798619
"142","KUR",297,"KUR-11","11","Kurland",0.000398566780798619
"143","KUR",299,"KUR-13","13","Kurland",0.000398566780798619
"144","KUR",302,"KUR-14","14","Kurland",0.000398566780798619
"145","KUR",306,"KUR-18","18","Kurland",0.000398566780798619
"146","LJU",540,"LJU-01","01","Ljugarn",0.000645562486805384
"147","LJU",546,"LJU-08","08","Ljugarn",0.000645562486805384
"148","LJU",551,"LJU-17","17","Ljugarn",0.000645562486805384
"149","LJU",555,"LJU-20","20","Ljugarn",0.000645562486805384
"150","LOM",265,"LOM-01","01","South Lomma Bay",5.057939978104e-05
"151","LOM",267,"LOM-02","02","South Lomma Bay",5.057939978104e-05
"152","LOM",268,"LOM-04","04","South Lomma Bay",5.057939978104e-05
"153","LOM",270,"LOM-05","05","South Lomma Bay",5.057939978104e-05
"154","LOM",273,"LOM-07","07","South Lomma Bay",5.057939978104e-05
"155","LOM",274,"LOM-10","10","South Lomma Bay",5.057939978104e-05
"156","LOM",275,"LOM-11","11","South Lomma Bay",5.057939978104e-05
"157","LOM",277,"LOM-12","12","South Lomma Bay",5.057939978104e-05
"158","LOM",278,"LOM-14","14","South Lomma Bay",5.057939978104e-05
"159","LOM",279,"LOM-16","16","South Lomma Bay",0.000546337838951637
"160","LOM",280,"LOM-17","17","South Lomma Bay",0.000546337838951637
"161","LOM",281,"LOM-18","18","South Lomma Bay",0.000460767742910025
"162","LOM",282,"LOM-19","19","South Lomma Bay",0.000460767742910025
"163","LOM",284,"LOM-20","20","South Lomma Bay",0.00273099196097018
"164","NOV",138,"NOV-01","01","N. Överön",3.84980292971615e-05
"165","NOV",144,"NOV-04","04","N. Överön",3.84980292971615e-05
"166","NOV",147,"NOV-06","06","N. Överön",3.84980292971615e-05
"167","NOV",146,"NOV-08","08","N. Överön",3.84980292971615e-05
"168","NOV",148,"NOV-13","13","N. Överön",3.84980292971615e-05
"169","NOV",149,"NOV-14","14","N. Överön",3.84980292971615e-05
"170","NOV",150,"NOV-15","15","N. Överön",3.84980292971615e-05
"171","NOV",152,"NOV-18","18","N. Överön",3.84980292971615e-05
"172","NOV",153,"NOV-20","20","N. Överön",3.84980292971615e-05
"173","NYN",659,"NYN-02","02","Nynäshamn",3.84980292971615e-05
"174","NYN",649,"NYN-03","03","Nynäshamn",3.84980292971615e-05
"175","OSK",471,"OSK-01","01","Oskarshamn",3.84980292971615e-05
"176","OSK",474,"OSK-06","06","Oskarshamn",3.84980292971615e-05
"177","RAU",714,"RAU-01","01","Rauma",3.84980292971615e-05
"178","SBR",154,"SBR-01","01","S. Brännö",3.84980292971615e-05
"179","SBR",157,"SBR-02","02","S. Brännö",3.84980292971615e-05
"180","SBR",159,"SBR-03","03","S. Brännö",3.84980292971615e-05
"181","SBR",160,"SBR-04","04","S. Brännö",3.84980292971615e-05
"182","SBR",161,"SBR-05","05","S. Brännö",3.84980292971615e-05
"183","SBR",162,"SBR-07","07","S. Brännö",0.00025584776926304
"184","SBR",163,"SBR-08","08","S. Brännö",0.00025584776926304
"185","SBR",164,"SBR-09","09","S. Brännö",0.00025584776926304
"186","SBR",165,"SBR-10","10","S. Brännö",0.000350814235451376
"187","SBR",166,"SBR-11","11","S. Brännö",0.000350814235451376
"188","SBR",167,"SBR-12","12","S. Brännö",0.000350814235451376
"189","SBR",168,"SBR-13","13","S. Brännö",0.000225312083062657
"190","SBR",169,"SBR-14","14","S. Brännö",0.000225312083062657
"191","SBR",170,"SBR-15","15","S. Brännö",0.000225312083062657
"192","SBR",171,"SBR-16","16","S. Brännö",0.000225312083062657
"193","SBR",172,"SBR-17","17","S. Brännö",0.000225312083062657
"194","SBR",173,"SBR-18","18","S. Brännö",0.000225312083062657
"195","SBR",174,"SBR-19","19","S. Brännö",0.000225312083062657
"196","SBR",175,"SBR-20","20","S. Brännö",0.000225312083062657
"197","SKI",327,"SKI-01","01","Skillinge",0.000225312083062657
"198","SKI",336,"SKI-04","04","Skillinge",0.000225312083062657
"199","SKI",346,"SKI-14","14","Skillinge",0.000225312083062657
"200","SLI",597,"SLI-02","02","Slite",0.000225312083062657
"201","SLI",594,"SLI-04","04","Slite",0.000225312083062657
"202","SLI",606,"SLI-05","05","Slite",0.000225312083062657
"203","STE",116,"STE-01","01","Stenungsund",8.46399193224868e-05
"204","STE",117,"STE-03","03","Stenungsund",8.46399193224868e-05
"205","STE",118,"STE-04","04","Stenungsund",8.46399193224868e-05
"206","STE",119,"STE-05","05","Stenungsund",8.46399193224868e-05
"207","STE",135,"STE-06","06","Stenungsund",8.46399193224868e-05
"208","STE",121,"STE-07","07","Stenungsund",8.46399193224868e-05
"209","STE",122,"STE-09","09","Stenungsund",8.46399193224868e-05
"210","STE",123,"STE-11","11","Stenungsund",8.46399193224868e-05
"211","STE",124,"STE-12","12","Stenungsund",8.46399193224868e-05
"212","STE",126,"STE-14","14","Stenungsund",8.46399193224868e-05
"213","STE",127,"STE-17","17","Stenungsund",8.46399193224868e-05
"214","STE",137,"STE-18","18","Stenungsund",8.46399193224868e-05
"215","STE",131,"STE-19","19","Stenungsund",8.46399193224868e-05
"216","STE",132,"STE-20","20","Stenungsund",8.46399193224868e-05
"217","STE",133,"STE-02","02","Stenungsund",8.46399193224868e-05
"218","STE",136,"STE-08","08","Stenungsund",8.46399193224868e-05
"219","TAL",785,"TAL-01","01","Tallinn",0.0169195139004586
"220","TAL",801,"TAL-12","12","Tallinn",0.0169195139004586
"221","VHA",92,"VHA-01","01","Väst Hjältön",0.00023358153903122
"222","VHA",93,"VHA-02","02","Väst Hjältön",0.00023358153903122
"223","VHA",94,"VHA-03","03","Väst Hjältön",0.00023358153903122
"224","VHA",96,"VHA-04","04","Väst Hjältön",0.00023358153903122
"225","VHA",97,"VHA-06","06","Väst Hjältön",0.00023358153903122
"226","VHA",98,"VHA-07","07","Väst Hjältön",0.00023358153903122
"227","VHA",99,"VHA-08","08","Väst Hjältön",0.00023358153903122
"228","VHA",100,"VHA-09","09","Väst Hjältön",0.00023358153903122
"229","VHA",101,"VHA-10","10","Väst Hjältön",0.00023358153903122
"230","VHA",102,"VHA-11","11","Väst Hjältön",0.00023358153903122
"231","VHA",104,"VHA-13","13","Väst Hjältön",0.00023358153903122
"232","VHA",106,"VHA-15","15","Väst Hjältön",0.00023358153903122
