"","Name","BO_salinity","BO_sstmax","BO_sstmean","BO_sstmin","BO_sstrange"
"1","Kiel",34.8889999389648,34.6399993896484,31.0310001373291,28.4039993286133,6.23600006103516
"2","Koster donor site",35.3320007324219,33.3499984741211,30.7180004119873,28.4479999542236,4.90299987792969
"3","Gåsholmen ",35.3269996643066,33.3199996948242,30.6949996948242,28.3530006408691,4.96799993515015
"4","Kämpersvik",35.3110008239746,33.3650016784668,30.6919994354248,28.2970008850098,5.06699991226196
"5","Väst Hjältön",35.2939987182617,33.3889999389648,30.6889991760254,28.1319999694824,5.25699996948242
"6","Stenungsund",35.2799987792969,33.4029998779297,30.673999786377,28.0319995880127,5.37099981307983
"7","N. Överön",35.2550010681152,33.4410018920898,30.6240005493164,28.0610008239746,5.38000011444092
"8","S. Brännö",35.2389984130859,33.4420013427734,30.5769996643066,28.0069999694824,5.43499994277954
"9","Gottskär",35.2130012512207,33.4480018615723,30.5189990997314,27.9529991149902,5.49399995803833
"10","Grötvik",35.1679992675781,33.2869987487793,30.5629997253418,27.8540000915527,5.43300008773804
"11","Höganäs",35.1349983215332,33.5390014648438,30.693000793457,27.8689994812012,5.67000007629395
"12","Ålabadarna",35.1139984130859,33.632999420166,30.8409996032715,27.9009990692139,5.73199987411499
"13","Barsebäck hamn",35.0979995727539,33.7200012207031,30.9290008544922,27.9260005950928,5.79300022125244
"14","South Lomma Bay",35.0870018005371,33.7719993591309,31.0060005187988,27.9669990539551,5.80499982833862
"15","Kurland",35.0660018920898,33.9189987182617,30.931999206543,27.8810005187988,6.03800010681152
"16","Ystad",35.0719985961914,33.8269996643066,30.5440006256104,27.826000213623,6.00099992752075
"17","Skillinge",35.0750007629395,33.7830009460449,30.2950000762939,27.7700004577637,6.01399993896484
"18","Åhus",35.0960006713867,33.9939994812012,30.4689998626709,27.882999420166,6.1100001335144
"19","Furumon",35.0909996032715,33.4669990539551,30.0550003051758,27.3680000305176,6.09899997711182
"20","Björkenäs",35.0530014038086,31.4340000152588,28.2810001373291,25.3640003204346,6.07000017166138
"21","Bläsinge",35.0610008239746,31.1350002288818,27.9580001831055,25.0890007019043,6.0460000038147
"22","Kalmarsund",35.0610008239746,31.306999206543,28.2040004730225,25.298999786377,6.00799989700317
"23","Kårehamn",35.0579986572266,31.1650009155273,28.0139999389648,25.2950000762939,5.86999988555908
"24","Oskarshamn",35.0629997253418,31.3239994049072,28.2730007171631,25.4729995727539,5.85099983215332
"25","Burgsvik",35.0890007019043,31.5729999542236,28.5209999084473,25.8090000152588,5.7649998664856
"26","Bödagården",35.068000793457,31.3349990844727,28.2059993743896,25.4409999847412,5.89400005340576
"27","Ljugarn",35.0960006713867,31.7779998779297,28.7859992980957,26.113000869751,5.66400003433228
"28","Klintehamn",35.0979995727539,31.8460006713867,28.8740005493164,26.2150001525879,5.63100004196167
"29","Hornsudde",35.0699996948242,31.4169998168945,28.363000869751,25.5359992980957,5.88100004196167
"30","Slite",35.1059989929199,32.1189994812012,29.2280006408691,26.6219997406006,5.49700021743774
"31","Ekön",35.0709991455078,31.5520000457764,28.4029998779297,25.503999710083,6.04899978637695
"32","Krampö",35.0800018310547,31.761999130249,28.7819995880127,26.0030002593994,5.75799989700317
"33","Nynäshamn",35.0940017700195,31.6270008087158,28.8099994659424,25.8959999084473,5.73099994659424
"34","Gålö",35.0909996032715,31.2549991607666,28.4839992523193,25.4080009460449,5.84600019454956
"35","Björkö",35.1100006103516,30.7999992370605,28.0179996490479,25.0729999542236,5.72700023651123
"36","Rauma",35.673999786377,31.8349990844727,28.7900009155273,25.5510005950928,6.2829999923706
"37","Hanko",36.3199996948242,34.7330017089844,30.2280006408691,25.6849994659424,9.04899978637695
"38","Ingå",36.2779998779297,36.1180000305176,30.6359996795654,24.9519996643066,11.1660003662109
"39","Tallinn",36.2299995422363,34.5950012207031,29.4449996948242,24.2310009002686,10.3649997711182
