"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"89","BJO",703,"BJO-06","06","Björkö",6.54047977591205e-05
"90","BJO",703,"BJO-07","07","Björkö",6.54047977591205e-05
"91","BJO",703,"BJO-08","08","Björkö",6.54047977591205e-05
"92","BJO",703,"BJO-09","09","Björkö",6.54047977591205e-05
"93","BJO",703,"BJO-10","10","Björkö",6.54047977591205e-05
"94","BJO",703,"BJO-12","12","Björkö",6.54047977591205e-05
"95","BJO",703,"BJO-13","13","Björkö",6.54047977591205e-05
"96","BJO",703,"BJO-14","14","Björkö",6.54047977591205e-05
"97","BJO",703,"BJO-15","15","Björkö",6.54047977591205e-05
"98","BJO",703,"BJO-16","16","Björkö",6.54047977591205e-05
"99","BJO",703,"BJO-20","20","Björkö",6.54047977591205e-05
"100","BJO",703,"BJO-03","03","Björkö",6.54047977591205e-05
"101","BJO",703,"BJO-17","17","Björkö",6.54047977591205e-05
"102","BJO",703,"BJO-18","18","Björkö",6.54047977591205e-05
"103","BJO",703,"BJO-19","19","Björkö",6.54047977591205e-05
"104","BLA",404,"BLA-01","01","Bläsinge",6.54047977591205e-05
"105","BLA",404,"BLA-02","02","Bläsinge",4.89097626394939e-05
"106","BLA",404,"BLA-03","03","Bläsinge",4.89097626394939e-05
"107","BLA",404,"BLA-04","04","Bläsinge",4.89097626394939e-05
"108","BLA",404,"BLA-05","05","Bläsinge",4.89097626394939e-05
"109","BLA",404,"BLA-06","06","Bläsinge",4.89097626394939e-05
"110","BLA",404,"BLA-07","07","Bläsinge",4.89097626394939e-05
"111","BLA",404,"BLA-08","08","Bläsinge",4.89097626394939e-05
"112","BLA",404,"BLA-09","09","Bläsinge",4.89097626394939e-05
"113","BLA",404,"BLA-10","10","Bläsinge",4.89097626394939e-05
"114","BLA",404,"BLA-11","11","Bläsinge",4.89097626394939e-05
"115","BLA",404,"BLA-12","12","Bläsinge",4.89097626394939e-05
"116","BLA",404,"BLA-13","13","Bläsinge",4.89097626394939e-05
"117","BLA",404,"BLA-14","14","Bläsinge",4.89097626394939e-05
"118","BLA",404,"BLA-15","15","Bläsinge",4.89097626394939e-05
"119","BLA",404,"BLA-16","16","Bläsinge",4.89097626394939e-05
