"","pop","trt","offset_mll","offset_full"
"1","BAR","TempControl-21psu",1.85015490733416,2.416487443602
"2","BAR","TempControl-7psu",1.18858416069832,1.01142729667696
"3","BAR","TempWarm-16psu",0.870765122925003,1.47194028052005
"4","BAR","TempWarm-5psu",1.80987170781091,1.37444126188955
"5","BJO","TempControl-21psu",3.26586181047783,3.93335268489373
"6","BJO","TempControl-7psu",0.345922510862077,0.52489813849572
"7","BJO","TempWarm-16psu",2.19853544993975,2.98306108699892
"8","BJO","TempWarm-5psu",0.61991973678075,0.292786962232414
"9","HOG","TempControl-21psu",1.64589774079523,2.16142300049655
"10","HOG","TempControl-7psu",1.40036534312938,1.27226445721745
"11","HOG","TempWarm-16psu",0.730242927373159,1.22631888167188
"12","HOG","TempWarm-5psu",2.02005161272178,1.63589650016005
"13","HOR","TempControl-21psu",3.26372171715906,3.918111614572
"14","HOR","TempControl-7psu",0.277842089486301,0.496378346506273
"15","HOR","TempWarm-16psu",2.17618333976248,2.9616460767793
"16","HOR","TempWarm-5psu",0.514345252928238,0.183184383495569
"17","KAL","TempControl-21psu",2.93478273197384,3.43303523955674
"18","KAL","TempControl-7psu",0.151778614193922,0.0874772162800665
"19","KAL","TempWarm-16psu",1.8564534288442,2.48213744717505
"20","KAL","TempWarm-5psu",0.771275689634798,0.398411958368647
"21","KUR","TempControl-21psu",2.72349363814396,3.24806259688292
"22","KUR","TempControl-7psu",0.333591858219085,0.194293917747448
"23","KUR","TempWarm-16psu",1.6582239226534,2.29767573760887
"24","KUR","TempWarm-5psu",0.972385585758755,0.563963827870756
"25","VAT","TempControl-21psu",0.814563568338808,1.38554045987026
"26","VAT","TempControl-7psu",2.23098962194305,2.03659970493134
"27","VAT","TempWarm-16psu",0.601423316368423,0.451017347977426
"28","VAT","TempWarm-5psu",2.83555452243515,2.3914681384273
"29","VIK","TempControl-21psu",0.803166844691957,1.12059428006735
"30","VIK","TempControl-7psu",2.24669101595342,2.31495201494668
"31","VIK","TempWarm-16psu",0.618669159166706,0.306945743344824
"32","VIK","TempWarm-5psu",2.85196850533072,2.67420816391772
