"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"1","HOR","TempControl-21psu",1,"A1",0.0113874025880884,0.0121660129609085,"lea_offset"
"2","KUR","TempControl-21psu",2,"A1",0.00801029477024961,0.00897975359505057,"lea_offset"
"3","BAR","TempControl-21psu",3,"A1",0.00679619950115238,0.00681264262144608,"lea_offset"
"4","HOG","TempControl-21psu",4,"A1",0.00613587552864253,0.00622313109562356,"lea_offset"
"5","VIK","TempControl-21psu",5,"A1",0.00280953447815313,0.00281933952377617,"lea_offset"
"6","VAT","TempControl-21psu",6,"A1",0.00793225796350172,0.00759939140905091,"lea_offset"
"7","KAL","TempControl-21psu",7,"A1",0.00862653373659404,0.00981752874210643,"lea_offset"
"8","BJO","TempControl-21psu",8,"A1",0.012727233749968,0.0140558993936211,"lea_offset"
"9","KAL","TempControl-7psu",9,"A1",0.000134624414680928,0.000111305531702664,"lea_offset"
"10","KUR","TempControl-7psu",10,"A1",0.00061683161792054,0.000501885526171311,"lea_offset"
"11","BJO","TempControl-7psu",11,"A1",0.00301855591481997,0.00261671963431849,"lea_offset"
"12","VIK","TempControl-7psu",12,"A1",0.00358858777640006,0.00443457595518887,"lea_offset"
"13","VAT","TempControl-7psu",13,"A1",0.00879741894602284,0.0105817237892103,"lea_offset"
"14","HOR","TempControl-7psu",14,"A1",0.00176809305589865,0.00134320386989008,"lea_offset"
"15","HOG","TempControl-7psu",15,"A1",0.00289415177351401,0.00339122872249896,"lea_offset"
"16","BAR","TempControl-7psu",16,"A1",0.00279149351908611,0.00326814683288653,"lea_offset"
"17","VIK","TempControl-21psu",17,"A1",0.00285596357093871,0.00286856714077066,"lea_offset"
"18","HOG","TempControl-21psu",18,"A1",0.00598654921646125,0.00606199402927397,"lea_offset"
"19","VAT","TempControl-21psu",19,"A1",0.00793225796350172,0.00759939140905091,"lea_offset"
"20","BJO","TempControl-21psu",20,"A1",0.0126627851970973,0.0139927546100424,"lea_offset"
"21","BAR","TempControl-21psu",21,"A1",0.00679619950115238,0.00681264262144608,"lea_offset"
"22","KAL","TempControl-21psu",22,"A1",0.00851478724605503,0.00968845707765516,"lea_offset"
"23","HOR","TempControl-21psu",23,"A1",0.0113370813604581,0.0120964178686426,"lea_offset"
"24","KUR","TempControl-21psu",24,"A1",0.0079667729917945,0.00891862253234994,"lea_offset"
"25","VAT","TempControl-7psu",25,"A1",0.00873900635995511,0.0104996723403552,"lea_offset"
"26","HOG","TempControl-7psu",26,"A1",0.00289415177351401,0.00339122872249896,"lea_offset"
"27","VIK","TempControl-7psu",27,"A1",0.00358858777640006,0.00443457595518887,"lea_offset"
"28","BAR","TempControl-7psu",28,"A1",0.00283417253586004,0.00332614985059858,"lea_offset"
"29","KUR","TempControl-7psu",29,"A1",0.000614189118468348,0.000496392695926713,"lea_offset"
"30","KAL","TempControl-7psu",30,"A1",0.000134624414680928,0.000111305531702664,"lea_offset"
"31","HOR","TempControl-7psu",31,"A1",0.00180583609225166,0.00137810274639512,"lea_offset"
"32","BJO","TempControl-7psu",32,"A1",0.00299455199309932,0.00258901015970213,"lea_offset"
"33","VIK","TempControl-21psu",33,"A2",0.00303638566244189,0.00301359174347405,"lea_offset"
"34","VAT","TempControl-21psu",34,"A2",0.00805386432889296,0.00767461057974598,"lea_offset"
"35","HOR","TempControl-21psu",35,"A2",0.0111218322621262,0.0119505383068235,"lea_offset"
"36","BJO","TempControl-21psu",36,"A2",0.0133925310382121,0.0147242151410541,"lea_offset"
"37","KAL","TempControl-21psu",37,"A2",0.00834776664905877,0.00958571301931364,"lea_offset"
"38","BAR","TempControl-21psu",38,"A2",0.00683055201953831,0.00683912992048088,"lea_offset"
"39","HOG","TempControl-21psu",39,"A2",0.0062339277636023,0.00628493871315703,"lea_offset"
"40","KUR","TempControl-21psu",40,"A2",0.00803370275688218,0.00901673284265285,"lea_offset"
"41","VAT","TempControl-7psu",41,"A2",0.00902148472812464,0.0107097042113579,"lea_offset"
"42","HOG","TempControl-7psu",42,"A2",0.00325560851696259,0.00366097683157259,"lea_offset"
"43","BJO","TempControl-7psu",43,"A2",0.00369684363107435,0.00321842059723763,"lea_offset"
"44","KUR","TempControl-7psu",44,"A2",0.000857154012682047,0.000704813719311194,"lea_offset"
"45","BAR","TempControl-7psu",45,"A2",0.00308814657831573,0.00352241677609236,"lea_offset"
"46","VIK","TempControl-7psu",46,"A2",0.00405177916258974,0.00482985748415633,"lea_offset"
"47","KAL","TempControl-7psu",47,"A2",0.000145103947253435,0.000121118383091291,"lea_offset"
"48","HOR","TempControl-7psu",48,"A2",0.00190951085265932,0.00148121639399589,"lea_offset"
"49","HOG","TempControl-21psu",49,"A2",0.00630770966884575,0.00636514554962712,"lea_offset"
"50","BJO","TempControl-21psu",50,"A2",0.0130896647526829,0.0143794618656923,"lea_offset"
"51","HOR","TempControl-21psu",51,"A2",0.0113731266544931,0.0122156367287226,"lea_offset"
