"","pop","trt","bagnum","cc","offset"
"1","HOR","TempControl-21psu",1,"mll",3.35140824702376
"2","HOR","TempControl-21psu",1,"full",3.87479401981777
"3","KUR","TempControl-21psu",2,"mll",2.86420807725551
"4","KUR","TempControl-21psu",2,"full",3.27360543965045
"5","BAR","TempControl-21psu",3,"mll",1.94197804951664
"6","BAR","TempControl-21psu",3,"full",2.4079647973995
"7","HOG","TempControl-21psu",4,"mll",1.79098940858694
"8","HOG","TempControl-21psu",4,"full",2.21426538548197
"9","VIK","TempControl-21psu",5,"mll",1.03794247202083
"10","VIK","TempControl-21psu",5,"full",1.32098935877151
"11","VAT","TempControl-21psu",6,"mll",0.905296539477229
"12","VAT","TempControl-21psu",6,"full",1.42483302920721
"13","KAL","TempControl-21psu",7,"mll",3.0736267453778
"14","KAL","TempControl-21psu",7,"full",3.45953239838208
"15","BJO","TempControl-21psu",8,"mll",3.30211151024035
"16","BJO","TempControl-21psu",8,"full",3.80318417938534
"17","KAL","TempControl-7psu",9,"mll",0.173546749121702
"18","KAL","TempControl-7psu",9,"full",0.240119730867943
"19","KUR","TempControl-7psu",10,"mll",0.0696417001813591
"20","KUR","TempControl-7psu",10,"full",0.0201754681953405
"21","BJO","TempControl-7psu",11,"mll",0.487222389136458
"22","BJO","TempControl-7psu",11,"full",0.673825013060401
"23","VIK","TempControl-7psu",12,"mll",1.80418497317126
"24","VIK","TempControl-7psu",12,"full",1.83088318285072
"25","VAT","TempControl-7psu",13,"mll",1.99653321173299
"26","VAT","TempControl-7psu",13,"full",1.79457963830693
"27","HOR","TempControl-7psu",14,"mll",0.394416721278707
"28","HOR","TempControl-7psu",14,"full",0.588335708401752
"29","HOG","TempControl-7psu",15,"mll",1.11288660756737
"30","HOG","TempControl-7psu",15,"full",1.00514728203217
"31","BAR","TempControl-7psu",16,"mll",0.9278997753816
"32","BAR","TempControl-7psu",16,"full",0.777430566173674
"33","VIK","TempControl-21psu",17,"mll",1.05819105643183
"34","VIK","TempControl-21psu",17,"full",1.34350273406882
"35","HOG","TempControl-21psu",18,"mll",1.7504583735347
"36","HOG","TempControl-21psu",18,"full",2.16923863488737
"37","VAT","TempControl-21psu",19,"mll",0.905296539477229
"38","VAT","TempControl-21psu",19,"full",1.42483302920721
"39","BJO","TempControl-21psu",20,"mll",3.29361976448435
"40","BJO","TempControl-21psu",20,"full",3.7921747327317
"41","BAR","TempControl-21psu",21,"mll",1.94197804951664
"42","BAR","TempControl-21psu",21,"full",2.4079647973995
"43","KAL","TempControl-21psu",22,"mll",3.05334526129787
"44","KAL","TempControl-21psu",22,"full",3.43701902308479
"45","HOR","TempControl-21psu",23,"mll",3.3396112638779
"46","HOR","TempControl-21psu",23,"full",3.8632900911741
"47","KUR","TempControl-21psu",24,"mll",2.85241502966374
"48","KUR","TempControl-21psu",24,"full",3.26210151100679
"49","VAT","TempControl-7psu",25,"mll",1.97625667100054
"50","VAT","TempControl-7psu",25,"full",1.77206626300963
"51","HOG","TempControl-7psu",26,"mll",1.11288660756737
"52","HOG","TempControl-7psu",26,"full",1.00514728203217
"53","VIK","TempControl-7psu",27,"mll",1.80418497317126
"54","VIK","TempControl-7psu",27,"full",1.83088318285072
"55","BAR","TempControl-7psu",28,"mll",0.939696317540354
"56","BAR","TempControl-7psu",28,"full",0.78893449481734
"57","KUR","TempControl-7psu",29,"mll",0.0310705577254345
"58","KUR","TempControl-7psu",29,"full",0.0652022187899438
"59","KAL","TempControl-7psu",30,"mll",0.173546749121702
"60","KAL","TempControl-7psu",30,"full",0.240119730867943
"61","HOR","TempControl-7psu",31,"mll",0.440005477238264
"62","HOR","TempControl-7psu",31,"full",0.643877423659962
"63","BJO","TempControl-7psu",32,"mll",0.458716986217974
"64","BJO","TempControl-7psu",32,"full",0.640302191109463
"65","VIK","TempControl-21psu",33,"mll",1.01730503618707
"66","VIK","TempControl-21psu",33,"full",1.29794207650996
"67","VAT","TempControl-21psu",34,"mll",0.904765534238603
"68","VAT","TempControl-21psu",34,"full",1.42429912224296
"69","HOR","TempControl-21psu",35,"mll",3.28055924749116
"70","HOR","TempControl-21psu",35,"full",3.79571054030797
"71","BJO","TempControl-21psu",36,"mll",3.28926273167934
"72","BJO","TempControl-21psu",36,"full",3.79114634377742
"73","KAL","TempControl-21psu",37,"mll",3.0113468901174
"74","KAL","TempControl-21psu",37,"full",3.39145836552592
"75","BAR","TempControl-21psu",38,"mll",1.90043982604495
"76","BAR","TempControl-21psu",38,"full",2.36240413984064
"77","HOG","TempControl-21psu",39,"mll",1.7294697978813
"78","HOG","TempControl-21psu",39,"full",2.14619135262581
"79","KUR","TempControl-21psu",40,"mll",2.81054208025228
"80","KUR","TempControl-21psu",40,"full",3.21654085344792
"81","VAT","TempControl-7psu",41,"mll",2.03044593490803
"82","VAT","TempControl-7psu",41,"full",1.82913084921216
"83","HOG","TempControl-7psu",42,"mll",1.14742442286016
"84","HOG","TempControl-7psu",42,"full",1.0396984929374
"85","BJO","TempControl-7psu",43,"mll",0.47673840246384
"86","BJO","TempControl-7psu",43,"full",0.66178717745248
"87","KUR","TempControl-7psu",44,"mll",0.0576884455065385
"88","KUR","TempControl-7psu",44,"full",0.0421549365283854
"89","BAR","TempControl-7psu",45,"mll",0.994299541871149
"90","BAR","TempControl-7psu",45,"full",0.845999081019864
"91","VIK","TempControl-7psu",46,"mll",1.8787955163045
"92","VIK","TempControl-7psu",46,"full",1.91046114435055
"93","KAL","TempControl-7psu",47,"mll",0.131568838504869
"94","KAL","TempControl-7psu",47,"full",0.194559073309083
"95","HOR","TempControl-7psu",48,"mll",0.405857490962744
"96","HOR","TempControl-7psu",48,"full",0.609326212754739
"97","HOG","TempControl-21psu",49,"mll",1.74972651599921
"98","HOG","TempControl-21psu",49,"full",2.16870472792311
"99","BJO","TempControl-21psu",50,"mll",3.2402210726426
"100","BJO","TempControl-21psu",50,"full",3.73511014652918
"101","HOR","TempControl-21psu",51,"mll",3.31781205321753
"102","HOR","TempControl-21psu",51,"full",3.84024280891255
"103","KAL","TempControl-21psu",52,"mll",3.04011593278165
"104","KAL","TempControl-21psu",52,"full",3.42498118747686
"105","VAT","TempControl-21psu",53,"mll",0.86429539488228
"106","VAT","TempControl-21psu",53,"full",1.37927237164835
"107","KUR","TempControl-21psu",54,"mll",2.81054208025228
"108","KUR","TempControl-21psu",54,"full",3.21654085344792
"109","VIK","TempControl-21psu",55,"mll",0.997080395250151
"110","VIK","TempControl-21psu",55,"full",1.27542870121266
"111","BAR","TempControl-21psu",56,"mll",1.88016916906785
"112","BAR","TempControl-21psu",56,"full",2.33989076454334
"113","KUR","TempControl-7psu",57,"mll",0.06819166701963
