"","pops2","order2","pops1","order1","distances"
"130","VAT",6,"HOG",7,2.44
"131","VAT",6,"KAL",10,4.4279
"132","VAT",6,"HOR",11,3.5516
"133","VIK",5,"BAR",8,2.1814
"134","VIK",5,"VAT",6,2.5608
"135","VIK",5,"TempWarm-5psu",4,11.0526
"136","VIK",5,"TempWarm-16psu",3,10.6238
"137","VIK",5,"TempControl-7psu",2,3.9626
"138","VIK",5,"VIK",5,0
"139","VIK",5,"TempControl-21psu",1,4.5246
"140","VIK",5,"KUR",9,2.7161
"141","VIK",5,"BJO",12,4.1232
"142","VIK",5,"KAL",10,3.3766
"143","VIK",5,"HOR",11,3.6138
"144","VIK",5,"HOG",7,1.8827
