"","pop","region","site_full","lat","long","order","coast","go_current_mll","go_future_mll","go_current_full","go_future_full","method"
"1","AHU","Kristianstad","Åhus",55.973569,14.402056,17,"east",0.0500223414826911,0.108696473816993,0.0802683668053145,0.17544958724562,"gf_offset"
"2","ALA","Øresund","Ålabadarna",55.940683,12.771034,11,"west",0.0603273587617885,0.0960509661640225,0.104384676333851,0.173592204994385,"gf_offset"
"3","BAD","Öland","Bödagården",57.259256,17.058547,25,"east",0.048840767513922,0.102843773512064,0.0692844387141103,0.170919280380367,"gf_offset"
"4","BAR","Barsebäck","Barsebäck hamn",55.75528,12.90189,12,"west",0.0617872498220777,0.0988137247855357,0.102910507579778,0.171592738696538,"gf_offset"
"5","BJN","Karlskrona","Björkenäs",56.159447,15.925111,19,"east",0.0506012739208676,0.109412947651921,0.0736997519201361,0.166634981936616,"gf_offset"
"6","BJO","Östersjö","Björkö",59.83484289,19.07867998,34,"east",0.0509462109019604,0.109209366515638,0.0774711630217379,0.175085793180909,"gf_offset"
"7","BLA","Öland","Bläsinge",56.621246,16.704923,20,"east",0.0506012739208676,0.109412947651921,0.0754723313707328,0.172515446884991,"gf_offset"
"8","BUR","Gotland","Burgsvik",57.032289,18.223786,24,"east",0.0529112922697242,0.109845801830319,0.0713799281195435,0.172663415103261,"gf_offset"
"9","EKO","Valdemarsvik","Ekön",58.175265,16.854798,30,"east",0.0509462109019604,0.109209366515638,0.0815750289092323,0.182294947385481,"gf_offset"
"10","FUR","Pukaviksbukten","Furumon",56.0954,14.72029998,18,"east",0.0503118077017793,0.109054710734457,0.0716788511992533,0.162459745100092,"gf_offset"
"11","GAL","Haninge","Gålö",59.09087305,18.32692339,33,"east",0.0509462109019604,0.109209366515638,0.0674799679357241,0.168785054722271,"gf_offset"
"12","GAS","Kosterhavet","Gåsholmen ",58.878628,11.134688,2,"west",0.0623410031318451,0.108390613520159,0.0926472327486893,0.159871639061728,"gf_offset"
"13","GOT","Kungsbacka","Gottskär",57.39626,12.02123,8,"west",0.0679843268937532,0.110340038244318,0.112467360001995,0.186398923078019,"gf_offset"
"14","GRO","Lahalmsbukten","Grötvik",56.64116,12.78014,9,"west",0.0609606161529356,0.0989350556000382,0.111486501838688,0.185472290161212,"gf_offset"
"15","HOG","Södra Höganäs","Höganäs",56.1969,12.55141,10,"west",0.0607216579534962,0.0971874884558296,0.106460125761691,0.180436518878131,"gf_offset"
"16","HOR","Hornsudde","Hornsudde",57.695151,16.730625,28,"east",0.048840767513922,0.102843773512064,0.0643441182250456,0.167235296103092,"gf_offset"
"17","KAL","Kalmar","Kalmarsund",56.654431,16.351908,21,"east",0.0506012739208676,0.109412947651921,0.0670644485224984,0.166382589365812,"gf_offset"
"18","KAR","Öland","Kårehamn",56.969566,16.912377,22,"east",0.0506012739208676,0.109412947651921,0.0659431147282424,0.165157363281688,"gf_offset"
"19","KAV","Grebbestad-Fjällbacka","Kämpersvik",58.64622,11.27672,3,"west",0.062291948851964,0.111092547297824,0.0946765244531713,0.164501877233369,"gf_offset"
"20","KLI","Gotland","Klintehamn",57.401162,18.152719,27,"east",0.048840767513922,0.102843773512064,0.0643555011696026,0.167249965417499,"gf_offset"
"21","KOD","Kosterhavet","Koster donor site",58.882538,10.991989,1,"west",0.0680659142574273,0.111347555043086,0.0906798126394178,0.156716056915503,"gf_offset"
"22","KRA","Tystberga","Krampö",58.690647,17.4658689,31,"east",0.0509462109019604,0.109209366515638,0.0576276064980987,0.15972805971677,"gf_offset"
"23","KUR","Trelleborg","Kurland",55.395972,12.982861,14,"east",0.0300937042487047,0.0925715352043398,0.0459732996623334,0.146641836876624,"gf_offset"
"24","LJU","Gotland","Ljugarn",57.319176,18.695397,26,"east",0.048840767513922,0.102843773512064,0.0681254029276101,0.17005683258138,"gf_offset"
"25","LOM","Lomma","South Lomma Bay",55.67242,13.05485,13,"west",0.0682153927206034,0.10898163826099,0.10197502926938,0.170260946959476,"gf_offset"
"26","NOV","Sälöfjorden","N. Överön",57.795244,11.728779,6,"west",0.0654234282911413,0.109545029218404,0.115910758440929,0.188869215337693,"gf_offset"
"27","NYN","Nynäshamn","Nynäshamn",58.8811079,17.9542217,32,"east",0.0509462109019604,0.109209366515638,0.0643733469283422,0.166691826230787,"gf_offset"
"28","OSK","Oskarshamn","Oskarshamn",57.031518,16.583068,23,"east",0.0519258882934543,0.109921125921047,0.0662015311817052,0.167626508129403,"gf_offset"
"29","SBR","Göteborgs S skärgård","S. Brännö",57.64159,11.79115,7,"west",0.0667335704784595,0.109973515575189,0.0950813021690247,0.163129587439272,"gf_offset"
"30","SKI","Skillinge","Skillinge",55.457556,14.2785,16,"east",0.0500223414826911,0.108696473816993,0.0775792513157062,0.175119127876787,"gf_offset"
"31","SLI","Gotland","Slite",57.713318,18.831167,29,"east",0.0495425819766015,0.104965637846589,0.0675667465018489,0.170322434844187,"gf_offset"
"32","STE","Hake-Älgöfjorden","Stenungsund",58.05143,11.81013,5,"west",0.0635190907345835,0.109699421014653,0.112560785683761,0.185998431446134,"gf_offset"
"33","VHA","Ellös-Havstenfjord","Väst Hjältön",58.25641,11.60238,4,"west",0.0624737592765793,0.109936413363695,0.106867852578847,0.179311183392247,"gf_offset"
"34","YST","Gamla Staden-Sandskogen","Ystad",55.42155879,13.84636159,15,"east",0.0380651591422992,0.0990215106494011,0.0761302792989246,0.173176765425348,"gf_offset"
