"","pop","trt","bagnum","cc","offset"
"95","HOR","TempControl-7psu",48,"mll",1.7041174575539
"96","HOR","TempControl-7psu",48,"full",2.47316481941517
"97","HOG","TempControl-21psu",49,"mll",9.1704612177029
"98","HOG","TempControl-21psu",49,"full",11.0175901340734
"99","BJO","TempControl-21psu",50,"mll",18.390010004858
"100","BJO","TempControl-21psu",50,"full",20.4877815485644
"101","HOR","TempControl-21psu",51,"mll",18.2380784183774
"102","HOR","TempControl-21psu",51,"full",20.4107496543699
"103","KAL","TempControl-21psu",52,"mll",17.0814846494137
"104","KAL","TempControl-21psu",52,"full",18.7531038666926
"105","VAT","TempControl-21psu",53,"mll",3.06957290813287
"106","VAT","TempControl-21psu",53,"full",5.26522963040005
"107","KUR","TempControl-21psu",54,"mll",15.7582840860868
"108","KUR","TempControl-21psu",54,"full",17.4890097014308
"109","VIK","TempControl-21psu",55,"mll",5.12847978955212
"110","VIK","TempControl-21psu",55,"full",6.36691917203117
"111","BAR","TempControl-21psu",56,"mll",9.67861468478275
"112","BAR","TempControl-21psu",56,"full",11.6804590973505
"113","KUR","TempControl-7psu",57,"mll",0.553932702249045
"114","KUR","TempControl-7psu",57,"full",0.198733166353355
"115","BJO","TempControl-7psu",58,"mll",2.40346954381631
"116","BJO","TempControl-7psu",58,"full",3.12376483020536
"117","KAL","TempControl-7psu",59,"mll",0.623297589914756
"118","KAL","TempControl-7psu",59,"full",0.889403213992312
"119","HOR","TempControl-7psu",60,"mll",1.8191754117877
"120","HOR","TempControl-7psu",60,"full",2.59808580300048
"121","VIK","TempControl-7psu",61,"mll",11.071884360776
"122","VIK","TempControl-7psu",61,"full",11.1959027121677
"123","HOG","TempControl-7psu",62,"mll",7.37685884423018
"124","HOG","TempControl-7psu",62,"full",6.91999470088134
"125","BAR","TempControl-7psu",63,"mll",6.63348620186405
"126","BAR","TempControl-7psu",63,"full",6.00728377043367
"127","VAT","TempControl-7psu",64,"mll",13.288235956057
"128","VAT","TempControl-7psu",64,"full",12.4735500387149
"129","VIK","TempWarm-16psu",65,"mll",1.37196576151478
"130","VIK","TempWarm-16psu",65,"full",0.456904529352036
"131","KAL","TempWarm-16psu",66,"mll",10.7514295735774
"132","KAL","TempWarm-16psu",66,"full",12.5932472568428
"133","HOG","TempWarm-16psu",67,"mll",3.01708223693893
"134","HOG","TempWarm-16psu",67,"full",4.90877032555449
"135","KUR","TempWarm-16psu",68,"mll",9.70471343614087
"136","KUR","TempWarm-16psu",68,"full",11.6300318600825
"137","BJO","TempWarm-16psu",69,"mll",12.149688113434
"138","BJO","TempWarm-16psu",69,"full",14.4299985413763
"139","BAR","TempWarm-16psu",70,"mll",3.8176263123129
"140","BAR","TempWarm-16psu",70,"full",5.94640223958748
"141","VAT","TempWarm-16psu",71,"mll",3.45731166627343
"142","VAT","TempWarm-16psu",71,"full",0.917474360373389
"143","HOR","TempWarm-16psu",72,"mll",11.9411990821929
"144","HOR","TempWarm-16psu",72,"full",14.301929845851
"145","KAL","TempWarm-5psu",73,"mll",2.01292066249279
"146","KAL","TempWarm-5psu",73,"full",1.09702413621118
"147","HOR","TempWarm-5psu",74,"mll",0.957917193285025
"148","HOR","TempWarm-5psu",74,"full",0.560621651466165
"149","VAT","TempWarm-5psu",75,"mll",15.9029174443431
"150","VAT","TempWarm-5psu",75,"full",14.5338615711729
"151","BAR","TempWarm-5psu",76,"mll",9.15062463016772
"152","BAR","TempWarm-5psu",76,"full",7.95676902950992
"153","VIK","TempWarm-5psu",77,"mll",13.6153878030369
"154","VIK","TempWarm-5psu",77,"full",13.1823300623712
"155","KUR","TempWarm-5psu",78,"mll",3.1897747647526
"156","KUR","TempWarm-5psu",78,"full",2.23619731788767
"157","BJO","TempWarm-5psu",79,"mll",0.918544196788266
"158","BJO","TempWarm-5psu",79,"full",1.313295264918
"159","HOG","TempWarm-5psu",80,"mll",9.93318522321415
"160","HOG","TempWarm-5psu",80,"full",8.90642205108484
"161","KAL","TempWarm-16psu",81,"mll",10.5217169656044
"162","KAL","TempWarm-16psu",81,"full",12.3434052896722
"163","BJO","TempWarm-16psu",82,"mll",12.7235976272027
"164","BJO","TempWarm-16psu",82,"full",15.0546034593028
"165","BAR","TempWarm-16psu",83,"mll",3.70593208583178
"166","BAR","TempWarm-16psu",83,"full",5.82148125600216
"167","HOR","TempWarm-16psu",84,"mll",11.865626820996
"168","HOR","TempWarm-16psu",84,"full",14.2280456635965
"169","HOG","TempWarm-16psu",85,"mll",2.90851974265602
"170","HOG","TempWarm-16psu",85,"full",4.78384934196917
"171","VIK","TempWarm-16psu",86,"mll",1.40106486226857
"172","VIK","TempWarm-16psu",86,"full",0.434057148428364
"173","VAT","TempWarm-16psu",87,"mll",3.4947619476185
"174","VAT","TempWarm-16psu",87,"full",0.968511161704214
"175","KUR","TempWarm-16psu",88,"mll",9.58996677406364
"176","KUR","TempWarm-16psu",88,"full",11.5051108764972
"177","HOG","TempWarm-5psu",89,"mll",9.93318522321415
"178","HOG","TempWarm-5psu",89,"full",8.90642205108484
"179","BAR","TempWarm-5psu",90,"mll",9.18840400363058
"180","BAR","TempWarm-5psu",90,"full",7.99371112063717
"181","BJO","TempWarm-5psu",91,"mll",0.918544196788266
"182","BJO","TempWarm-5psu",91,"full",1.313295264918
"183","KUR","TempWarm-5psu",92,"mll",3.15196952649909
"184","KUR","TempWarm-5psu",92,"full",2.18516051655685
"185","KAL","TempWarm-5psu",93,"mll",2.01292066249279
"186","KAL","TempWarm-5psu",93,"full",1.09702413621118
"187","VIK","TempWarm-5psu",94,"mll",13.6153878030369
"188","VIK","TempWarm-5psu",94,"full",13.1823300623712
"189","HOR","TempWarm-5psu",95,"mll",1.04884861139335
"190","HOR","TempWarm-5psu",95,"full",0.435700667880848
"191","VAT","TempWarm-5psu",96,"mll",15.9029174443431
"192","VAT","TempWarm-5psu",96,"full",14.5338615711729
"193","HOG","TempWarm-16psu",97,"mll",2.6834435975181
"194","HOG","TempWarm-16psu",97,"full",4.44880525753046
"195","BJO","TempWarm-16psu",98,"mll",12.3659991154047
"196","BJO","TempWarm-16psu",98,"full",14.6685225735333
"197","VAT","TempWarm-16psu",99,"mll",3.8420192120427
"198","VAT","TempWarm-16psu",99,"full",1.2525184448121
"199","BAR","TempWarm-16psu",100,"mll",3.26537301253189
"200","BAR","TempWarm-16psu",100,"full",5.28763200572365
"201","VIK","TempWarm-16psu",101,"mll",1.91710008191528
"202","VIK","TempWarm-16psu",101,"full",0.0769447209264871
"203","HOR","TempWarm-16psu",102,"mll",11.2736479939498
"204","HOR","TempWarm-16psu",102,"full",13.5921228106563
"205","KAL","TempWarm-16psu",103,"mll",10.3562143254632
"206","KAL","TempWarm-16psu",103,"full",12.1843189901496
"207","KUR","TempWarm-16psu",104,"mll",9.04512299022962
"208","KUR","TempWarm-16psu",104,"full",10.9202248248878
"209","KAL","TempWarm-5psu",105,"mll",2.29913648072349
"210","KAL","TempWarm-5psu",105,"full",1.30714723706458
"211","VIK","TempWarm-5psu",106,"mll",13.9680015162396
"212","VIK","TempWarm-5psu",106,"full",13.5173741468099
"213","BJO","TempWarm-5psu",107,"mll",1.21071020130768
"214","BJO","TempWarm-5psu",107,"full",0.853330196893978
"215","KUR","TempWarm-5psu",108,"mll",3.64425792014978
"216","KUR","TempWarm-5psu",108,"full",2.64512558458088
"217","VAT","TempWarm-5psu",109,"mll",16.3680968184523
"218","VAT","TempWarm-5psu",109,"full",14.9938266391969
"219","BAR","TempWarm-5psu",110,"mll",9.66133584400463
"220","BAR","TempWarm-5psu",110,"full",8.45367618866119
"221","HOR","TempWarm-5psu",111,"mll",1.5127598836458
"222","HOR","TempWarm-5psu",111,"full",0.0267724011876448
"223","HOG","TempWarm-5psu",112,"mll",10.4060488039206
"224","HOG","TempWarm-5psu",112,"full",9.36638711910887
"225","KAL","TempWarm-16psu",113,"mll",10.4315404065202
"226","KAL","TempWarm-16psu",113,"full",12.2582031724041
"227","BAR","TempWarm-16psu",114,"mll",3.15758624302403
"228","BAR","TempWarm-16psu",114,"full",5.16271102213833
"229","KUR","TempWarm-16psu",115,"mll",9.23644303548031
"230","KUR","TempWarm-16psu",115,"full",11.1331247009312
"231","HOR","TempWarm-16psu",116,"mll",11.4277887691676
"232","HOR","TempWarm-16psu",116,"full",13.7680805955725
"233","HOG","TempWarm-16psu",117,"mll",2.5150174437517
"234","HOG","TempWarm-16psu",117,"full",4.25000009169066
"235","BJO","TempWarm-16psu",118,"mll",12.1761159053409
"236","BJO","TempWarm-16psu",118,"full",14.4697174076935
"237","VAT","TempWarm-16psu",119,"mll",3.8420192120427
"238","VAT","TempWarm-16psu",119,"full",1.2525184448121
"239","VIK","TempWarm-16psu",120,"mll",1.91710008191528
"240","VIK","TempWarm-16psu",120,"full",0.0769447209264871
"241","HOR","TempWarm-5psu",121,"mll",1.5127598836458
"242","HOR","TempWarm-5psu",121,"full",0.0267724011876448
"243","BJO","TempWarm-5psu",122,"mll",1.21071020130768
"244","BJO","TempWarm-5psu",122,"full",0.853330196893978
"245","KUR","TempWarm-5psu",123,"mll",3.64425792014978
"246","KUR","TempWarm-5psu",123,"full",2.64512558458088
"247","HOG","TempWarm-5psu",124,"mll",10.634732990281
"248","HOG","TempWarm-5psu",124,"full",9.6162290862795
"249","VAT","TempWarm-5psu",125,"mll",16.4829129097809
"250","VAT","TempWarm-5psu",125,"full",15.1187476227823
"251","KAL","TempWarm-5psu",126,"mll",2.44123518542864
"252","KAL","TempWarm-5psu",126,"full",1.48310502198072
"253","BAR","TempWarm-5psu",127,"mll",9.66133584400463
"254","BAR","TempWarm-5psu",127,"full",8.45367618866119
"255","VIK","TempWarm-5psu",128,"mll",14.0070588224228
"256","VIK","TempWarm-5psu",128,"full",13.5684109481407
"257","BAR","TempWarm-16psu",129,"mll",3.83038533473358
"258","BAR","TempWarm-16psu",129,"full",5.98759625775201
"259","HOG","TempWarm-16psu",130,"mll",3.06215903913335
"260","HOG","TempWarm-16psu",130,"full",4.98690643484627
"261","HOR","TempWarm-16psu",131,"mll",12.1133119505891
"262","HOR","TempWarm-16psu",131,"full",14.5049869387281
"263","VAT","TempWarm-16psu",132,"mll",3.24465310620192
"264","VAT","TempWarm-16psu",132,"full",0.691569886572626
"265","BJO","TempWarm-16psu",133,"mll",12.855433910417
"266","BJO","TempWarm-16psu",133,"full",15.2066237508491
"267","KAL","TempWarm-16psu",134,"mll",10.9607775075035
"268","KAL","TempWarm-16psu",134,"full",12.8332464408472
"269","VIK","TempWarm-16psu",135,"mll",1.36271291540632
"270","VIK","TempWarm-16psu",135,"full",0.461156456389319
"271","KUR","TempWarm-16psu",136,"mll",9.45428959539448
"272","KUR","TempWarm-16psu",136,"full",11.3703471097456
"273","KAL","TempWarm-5psu",137,"mll",2.05534060219348
"274","KAL","TempWarm-5psu",137,"full",1.1579037207083
"275","BAR","TempWarm-5psu",138,"mll",9.0886820610644
"276","BAR","TempWarm-5psu",138,"full",7.87863292021814
"277","KUR","TempWarm-5psu",139,"mll",3.04970046643337
"278","KUR","TempWarm-5psu",139,"full",2.07008231613783
"279","HOR","TempWarm-5psu",140,"mll",1.01257217876789
"280","HOR","TempWarm-5psu",140,"full",0.476894686045379
"281","BJO","TempWarm-5psu",141,"mll",0.883407104035383
"282","BJO","TempWarm-5psu",141,"full",1.30345248175171
"283","VAT","TempWarm-5psu",142,"mll",15.8042874000713
"284","VAT","TempWarm-5psu",142,"full",14.4187833707539
"285","VIK","TempWarm-5psu",143,"mll",13.4785990148222
"286","VIK","TempWarm-5psu",143,"full",13.0303097708249
"287","HOG","TempWarm-5psu",144,"mll",9.83345452622318
"288","HOG","TempWarm-5psu",144,"full",8.79134385066582
"289","BJO","TempWarm-16psu",145,"mll",12.8931671768543
"290","BJO","TempWarm-16psu",145,"full",15.2435658419764
"291","VIK","TempWarm-16psu",146,"mll",1.39121960588759
"292","VIK","TempWarm-16psu",146,"full",0.410119655058494
"293","KUR","TempWarm-16psu",147,"mll",9.41658320603776
"294","KUR","TempWarm-16psu",147,"full",11.3334050186183
"295","KAL","TempWarm-16psu",148,"mll",10.5406074076771
"296","KAL","TempWarm-16psu",148,"full",12.3845993078367
"297","BAR","TempWarm-16psu",149,"mll",3.64321465883749
"298","BAR","TempWarm-16psu",149,"full",5.77469638170863
"299","HOR","TempWarm-16psu",150,"mll",11.9211833925205
"300","HOR","TempWarm-16psu",150,"full",14.2920870626847
"301","HOG","TempWarm-16psu",151,"mll",2.98857734949309
"302","HOG","TempWarm-16psu",151,"full",4.8989275423882
"303","VAT","TempWarm-16psu",152,"mll",3.50340956772601
"304","VAT","TempWarm-16psu",152,"full",0.978353944870504
"305","KUR","TempWarm-5psu",153,"mll",3.12460018801871
"306","KUR","TempWarm-5psu",153,"full",2.1580612085959
"307","BAR","TempWarm-5psu",154,"mll",9.0886820610644
"308","BAR","TempWarm-5psu",154,"full",7.87863292021814
"309","BJO","TempWarm-5psu",155,"mll",0.883407104035383
"310","BJO","TempWarm-5psu",155,"full",1.30345248175171
"311","HOG","TempWarm-5psu",156,"mll",9.83345452622318
"312","HOG","TempWarm-5psu",156,"full",8.79134385066582
"313","VAT","TempWarm-5psu",157,"mll",15.8813313275026
"314","VAT","TempWarm-5psu",157,"full",14.506762263212
"315","VIK","TempWarm-5psu",158,"mll",13.5555831085556
"316","VIK","TempWarm-5psu",158,"full",13.118288663283
"317","KAL","TempWarm-5psu",159,"mll",1.98253986140047
"318","KAL","TempWarm-5psu",159,"full",1.06992482825023
"319","HOR","TempWarm-5psu",160,"mll",0.981283538855868
"320","HOR","TempWarm-5psu",160,"full",0.513836777172625
"321","BAR","TempWarm-16psu",161,"mll",3.76892964864159
"322","BAR","TempWarm-16psu",161,"full",5.91009418293149
"323","HOG","TempWarm-16psu",162,"mll",3.14452486082988
"324","HOG","TempWarm-16psu",162,"full",5.0712674347383
"325","VAT","TempWarm-16psu",163,"mll",3.32284229240454
"326","VAT","TempWarm-16psu",163,"full",0.8060140525204
"327","KAL","TempWarm-16psu",164,"mll",11.6304150501402
"328","KAL","TempWarm-16psu",164,"full",13.5281176484622
"329","VIK","TempWarm-16psu",165,"mll",1.31956192665585
"330","VIK","TempWarm-16psu",165,"full",0.471633274026861
"331","KUR","TempWarm-16psu",166,"mll",9.62720233418012
"332","KUR","TempWarm-16psu",166,"full",11.5426870020957
"333","BJO","TempWarm-16psu",167,"mll",12.721873126037
"334","BJO","TempWarm-16psu",167,"full",15.0411427835705
"335","HOR","TempWarm-16psu",168,"mll",11.8276626243976
"336","HOR","TempWarm-16psu",168,"full",14.1776428967369
"337","KAL","TempWarm-5psu",169,"mll",1.98481810691057
"338","KAL","TempWarm-5psu",169,"full",1.11048481194351
"339","HOR","TempWarm-5psu",170,"mll",0.939699053644122
"340","HOR","TempWarm-5psu",170,"full",0.524313594810168
"341","VIK","TempWarm-5psu",171,"mll",13.5297896781986
"342","VIK","TempWarm-5psu",171,"full",13.1078118456454
"343","KUR","TempWarm-5psu",172,"mll",3.13119420313822
"344","KUR","TempWarm-5psu",172,"full",2.19862119228918
"345","BAR","TempWarm-5psu",173,"mll",9.10083324445964
"346","BAR","TempWarm-5psu",173,"full",7.91919290391142
"347","BJO","TempWarm-5psu",174,"mll",0.85002639335602
"348","BJO","TempWarm-5psu",174,"full",1.38781348164375
"349","VAT","TempWarm-5psu",175,"mll",15.8180540202373
"350","VAT","TempWarm-5psu",175,"full",14.4593433544472
"351","HOG","TempWarm-5psu",176,"mll",9.76877756366098
"352","HOG","TempWarm-5psu",176,"full",8.74392494190103
"353","KAL","TempWarm-16psu",177,"mll",10.8275229776186
"354","KAL","TempWarm-16psu",177,"full",12.6677654735686
"355","HOG","TempWarm-16psu",178,"mll",3.0725866869746
"356","HOG","TempWarm-16psu",178,"full",4.99738325248381
"357","BJO","TempWarm-16psu",179,"mll",12.9138248816805
"358","BJO","TempWarm-16psu",179,"full",15.2540426596139
"359","KUR","TempWarm-16psu",180,"mll",9.58947594483437
"360","KUR","TempWarm-16psu",180,"full",11.5057449109684
"361","VIK","TempWarm-16psu",181,"mll",1.29067938999938
"362","VIK","TempWarm-16psu",181,"full",0.508575365154107
"363","BAR","TempWarm-16psu",182,"mll",3.69347948387117
"364","BAR","TempWarm-16psu",182,"full",5.82211529047342
"365","HOR","TempWarm-16psu",183,"mll",12.0182474676763
"366","HOR","TempWarm-16psu",183,"full",14.3764480625767
"367","VAT","TempWarm-16psu",184,"mll",3.35968756487634
"368","VAT","TempWarm-16psu",184,"full",0.842956143647646
"369","BJO","TempWarm-5psu",185,"mll",0.864312899271829
"370","BJO","TempWarm-5psu",185,"full",1.47579237410182
"371","KUR","TempWarm-5psu",186,"mll",3.05603970637848
"372","KUR","TempWarm-5psu",186,"full",2.11064229983111
"373","KAL","TempWarm-5psu",187,"mll",1.91178528808434
"374","KAL","TempWarm-5psu",187,"full",1.02250591948544
"375","HOR","TempWarm-5psu",188,"mll",0.641629044038676
"376","HOR","TempWarm-5psu",188,"full",0.972960727820612
"377","VAT","TempWarm-5psu",189,"mll",15.8180540202373
"378","VAT","TempWarm-5psu",189,"full",14.4593433544472
"379","VIK","TempWarm-5psu",190,"mll",13.4919316462744
"380","VIK","TempWarm-5psu",190,"full",13.0708697545182
