"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"1","HOR","TempControl-21psu",1,"A1",0.00365075464672814,0.00807227696466133,"lea_offset"
"2","KUR","TempControl-21psu",2,"A1",0.00232024254340318,0.00663658623745895,"lea_offset"
"3","BAR","TempControl-21psu",3,"A1",0.00344330219845287,0.00917870210571551,"lea_offset"
"4","HOG","TempControl-21psu",4,"A1",0.00297826821852997,0.00853577862176471,"lea_offset"
"5","VIK","TempControl-21psu",5,"A1",0.00143693382230476,0.00404447536952072,"lea_offset"
"6","VAT","TempControl-21psu",6,"A1",0.00562007460133644,0.00918764756609236,"lea_offset"
"7","KAL","TempControl-21psu",7,"A1",0.00221807790933988,0.00748096937607928,"lea_offset"
"8","BJO","TempControl-21psu",8,"A1",0.00411099491412636,0.00985647073123991,"lea_offset"
"9","KAL","TempControl-7psu",9,"A1",9.69367930598597e-05,9.25486778879157e-05,"lea_offset"
"10","KUR","TempControl-7psu",10,"A1",0.000468368399752957,0.000273771615496896,"lea_offset"
"11","BJO","TempControl-7psu",11,"A1",0.0017111143076717,0.00157147272139764,"lea_offset"
"12","VIK","TempControl-7psu",12,"A1",0.000781966069014596,0.000937663196583365,"lea_offset"
"13","VAT","TempControl-7psu",13,"A1",0.00416023935134375,0.00293075355624038,"lea_offset"
"14","HOR","TempControl-7psu",14,"A1",0.00135043963077388,0.000624246094968612,"lea_offset"
"15","HOG","TempControl-7psu",15,"A1",0.00112440461816128,0.00105304261246019,"lea_offset"
"16","BAR","TempControl-7psu",16,"A1",0.00140192922037216,0.0011976625595433,"lea_offset"
"17","VIK","TempControl-21psu",17,"A1",0.00145399891762443,0.00410999446465995,"lea_offset"
"18","HOG","TempControl-21psu",18,"A1",0.00292756654783757,0.00834446981204842,"lea_offset"
"19","VAT","TempControl-21psu",19,"A1",0.00562007460133644,0.00918764756609236,"lea_offset"
"20","BJO","TempControl-21psu",20,"A1",0.00407909406746571,0.00973772305559933,"lea_offset"
"21","BAR","TempControl-21psu",21,"A1",0.00344330219845287,0.00917870210571551,"lea_offset"
"22","KAL","TempControl-21psu",22,"A1",0.00219077015113509,0.00738566723105255,"lea_offset"
"23","HOR","TempControl-21psu",23,"A1",0.00365777158834955,0.00809258852528684,"lea_offset"
"24","KUR","TempControl-21psu",24,"A1",0.00232393970311946,0.00665354237123939,"lea_offset"
"25","VAT","TempControl-7psu",25,"A1",0.00415797338591012,0.00293087319238881,"lea_offset"
"26","HOG","TempControl-7psu",26,"A1",0.00112440461816128,0.00105304261246019,"lea_offset"
"27","VIK","TempControl-7psu",27,"A1",0.000781966069014596,0.000937663196583365,"lea_offset"
"28","BAR","TempControl-7psu",28,"A1",0.00141379811981597,0.00121283229874785,"lea_offset"
"29","KUR","TempControl-7psu",29,"A1",0.000469191016319857,0.000275109807826041,"lea_offset"
"30","KAL","TempControl-7psu",30,"A1",9.69367930598597e-05,9.25486778879157e-05,"lea_offset"
"31","HOR","TempControl-7psu",31,"A1",0.00138074056416818,0.000665337170549331,"lea_offset"
"32","BJO","TempControl-7psu",32,"A1",0.00169963500571269,0.00153693265541202,"lea_offset"
"33","VIK","TempControl-21psu",33,"A2",0.00152252695506347,0.00413317643695053,"lea_offset"
"34","VAT","TempControl-21psu",34,"A2",0.00569027948235182,0.00928750000265634,"lea_offset"
"35","HOR","TempControl-21psu",35,"A2",0.00361628083428366,0.00779499149737995,"lea_offset"
"36","BJO","TempControl-21psu",36,"A2",0.00440218032568833,0.0102674208481473,"lea_offset"
"37","KAL","TempControl-21psu",37,"A2",0.00215412592080345,0.00725253068817592,"lea_offset"
"38","BAR","TempControl-21psu",38,"A2",0.00346907841271932,0.00910971557223969,"lea_offset"
"39","HOG","TempControl-21psu",39,"A2",0.003024546162945,0.00843730259690023,"lea_offset"
"40","KUR","TempControl-21psu",40,"A2",0.00238478006695433,0.00664408416374873,"lea_offset"
"41","VAT","TempControl-7psu",41,"A2",0.00425020519023682,0.00301246070753706,"lea_offset"
"42","HOG","TempControl-7psu",42,"A2",0.00125307219502958,0.00120548931748245,"lea_offset"
"43","BJO","TempControl-7psu",43,"A2",0.00199924750092669,0.00192944812649813,"lea_offset"
"44","KUR","TempControl-7psu",44,"A2",0.000577952920262251,0.000401672341464358,"lea_offset"
"45","BAR","TempControl-7psu",45,"A2",0.00149838873893881,0.001293494251129,"lea_offset"
"46","VIK","TempControl-7psu",46,"A2",0.000912197842856406,0.00112129161996114,"lea_offset"
"47","KAL","TempControl-7psu",47,"A2",0.000107874329454323,9.47953192856938e-05,"lea_offset"
"48","HOR","TempControl-7psu",48,"A2",0.00146424954816207,0.00074244352205771,"lea_offset"
"49","HOG","TempControl-21psu",49,"A2",0.00304964976474768,0.00853231088685097,"lea_offset"
"50","BJO","TempControl-21psu",50,"A2",0.00431259989231737,0.00994625796091485,"lea_offset"
"51","HOR","TempControl-21psu",51,"A2",0.00371290939424404,0.00811679724275972,"lea_offset"
"52","KAL","TempControl-21psu",52,"A2",0.00221087153010919,0.00745960356206224,"lea_offset"
"53","VAT","TempControl-21psu",53,"A2",0.00564505606884124,0.00911278433931161,"lea_offset"
"54","KUR","TempControl-21psu",54,"A2",0.00238478006695433,0.00664408416374873,"lea_offset"
"55","VIK","TempControl-21psu",55,"A2",0.00150579694260807,0.00406861074451746,"lea_offset"
"56","BAR","TempControl-21psu",56,"A2",0.00344273445911492,0.00901124372063059,"lea_offset"
"57","KUR","TempControl-7psu",57,"A2",0.000580218016584995,0.000402867636651446,"lea_offset"
"58","BJO","TempControl-7psu",58,"A2",0.00198371791516252,0.00187920893527019,"lea_offset"
"59","KAL","TempControl-7psu",59,"A2",0.000111715267634296,0.000104568010356976,"lea_offset"
"60","HOR","TempControl-7psu",60,"A2",0.00146754449825558,0.000750514012740397,"lea_offset"
"61","VIK","TempControl-7psu",61,"A2",0.00090415999084871,0.0010993075177036,"lea_offset"
"62","HOG","TempControl-7psu",62,"A2",0.00125291215633149,0.00119764539781979,"lea_offset"
"63","BAR","TempControl-7psu",63,"A2",0.00149838873893881,0.001293494251129,"lea_offset"
"64","VAT","TempControl-7psu",64,"A2",0.00423053662014105,0.00299139314988255,"lea_offset"
"65","VIK","TempWarm-16psu",65,"A3",0.0131970794915238,0.0136384032672952,"lea_offset"
"66","KAL","TempWarm-16psu",66,"A3",0.0108442556723983,0.0126268615405842,"lea_offset"
"67","HOG","TempWarm-16psu",67,"A3",0.0152714286490655,0.0169333733206582,"lea_offset"
"68","KUR","TempWarm-16psu",68,"A3",0.0137759746104895,0.0148157007494777,"lea_offset"
"69","BJO","TempWarm-16psu",69,"A3",0.0193956897878776,0.0214482480951412,"lea_offset"
"70","BAR","TempWarm-16psu",70,"A3",0.0154167610101993,0.0166406588889936,"lea_offset"
"71","VAT","TempWarm-16psu",71,"A3",0.0199604174182619,0.0179841588909129,"lea_offset"
"72","HOR","TempWarm-16psu",72,"A3",0.0158745954280216,0.0155045793912421,"lea_offset"
"73","KAL","TempWarm-5psu",73,"A3",0.0100582098421323,0.00995432769853172,"lea_offset"
