"","pop","go_current","go_future","cc"
"1","KIE",0.000240465014760205,0.002750343349128,"full"
"2","KIE",0.000240465014760205,0.002750343349128,"full"
"3","KIE",0.000240465014760205,0.002750343349128,"full"
"4","KIE",0.000240465014760205,0.002750343349128,"full"
"5","KIE",0.000240465014760205,0.002750343349128,"full"
"6","KIE",0.000240465014760205,0.002750343349128,"full"
"7","KIE",0.000240465014760205,0.002750343349128,"full"
"8","KIE",0.000240465014760205,0.002750343349128,"full"
"9","KIE",0.000240465014760205,0.002750343349128,"full"
"10","KIE",0.000240465014760205,0.002750343349128,"full"
"11","KIE",0.000240465014760205,0.002750343349128,"full"
"12","KIE",0.000240465014760205,0.002750343349128,"full"
"13","KIE",0.000240465014760205,0.002750343349128,"full"
"14","KIE",0.000240465014760205,0.002750343349128,"full"
"15","KIE",0.000240465014760205,0.002750343349128,"full"
"16","KIE",0.000240465014760205,0.002750343349128,"full"
"17","KIE",0.000240465014760205,0.002750343349128,"full"
"18","KIE",0.000240465014760205,0.002750343349128,"full"
"19","KIE",0.000818854183406822,0.00380080758392434,"full"
"20","KOD",0.000818854183406822,0.00380080758392434,"full"
"21","KOD",0.000818854183406822,0.00380080758392434,"full"
"22","KOD",0.000818854183406822,0.00380080758392434,"full"
"23","KOD",0.000818854183406822,0.00380080758392434,"full"
"24","KOD",0.000818854183406822,0.00380080758392434,"full"
"25","KOD",0.000818854183406822,0.00380080758392434,"full"
"26","KOD",0.000818854183406822,0.00380080758392434,"full"
"27","KOD",0.000818854183406822,0.00380080758392434,"full"
"28","KOD",0.000818854183406822,0.00380080758392434,"full"
"29","KOD",0.000818854183406822,0.00380080758392434,"full"
"30","KOD",0.000818854183406822,0.00380080758392434,"full"
"31","KOD",0.000818854183406822,0.00380080758392434,"full"
"32","KOD",0.000818854183406822,0.00380080758392434,"full"
"33","KOD",0.000818854183406822,0.00380080758392434,"full"
"34","KOD",0.000818854183406822,0.00380080758392434,"full"
"35","KOD",0.000818854183406822,0.00380080758392434,"full"
"36","KOD",0.000818854183406822,0.00380080758392434,"full"
"37","KOD",0.00014834684975296,0.00249120107419507,"full"
"38","KOD",0.00014834684975296,0.00249120107419507,"full"
"39","GAS",0.00014834684975296,0.00249120107419507,"full"
"40","GAS",0.00014834684975296,0.00249120107419507,"full"
"41","GAS",0.00014834684975296,0.00249120107419507,"full"
"42","GAS",0.00014834684975296,0.00249120107419507,"full"
"43","GAS",0.00014834684975296,0.00249120107419507,"full"
"44","GAS",0.00014834684975296,0.00249120107419507,"full"
"45","GAS",0.00014834684975296,0.00249120107419507,"full"
"46","GAS",0.00014834684975296,0.00249120107419507,"full"
"47","GAS",0.00014834684975296,0.00249120107419507,"full"
"48","GAS",0.00014834684975296,0.00249120107419507,"full"
"49","GAS",0.00014834684975296,0.00249120107419507,"full"
"50","GAS",0.00014834684975296,0.00249120107419507,"full"
"51","GAS",0.00014834684975296,0.00249120107419507,"full"
"52","GAS",0.00014834684975296,0.00249120107419507,"full"
"53","GAS",0.00014834684975296,0.00249120107419507,"full"
"54","GAS",0.00014834684975296,0.00249120107419507,"full"
"55","GAS",0.00014834684975296,0.00249120107419507,"full"
"56","GAS",0.000818854183406822,0.00380080758392434,"full"
"57","GAS",0.000818854183406822,0.00380080758392434,"full"
"58","GAS",0.000818854183406822,0.00380080758392434,"full"
"59","KAV",0.000818854183406822,0.00380080758392434,"full"
"60","KAV",0.000818854183406822,0.00380080758392434,"full"
"61","KAV",0.000818854183406822,0.00380080758392434,"full"
"62","KAV",0.000818854183406822,0.00380080758392434,"full"
"63","KAV",0.000818854183406822,0.00380080758392434,"full"
"64","KAV",0.000818854183406822,0.00380080758392434,"full"
"65","KAV",0.000818854183406822,0.00380080758392434,"full"
"66","KAV",0.000818854183406822,0.00380080758392434,"full"
"67","KAV",0.000818854183406822,0.00380080758392434,"full"
"68","KAV",0.000818854183406822,0.00380080758392434,"full"
"69","KAV",0.000818854183406822,0.00380080758392434,"full"
"70","KAV",0.000818854183406822,0.00380080758392434,"full"
"71","KAV",0.000818854183406822,0.00380080758392434,"full"
"72","KAV",0.000818854183406822,0.00380080758392434,"full"
"73","KAV",0.000818854183406822,0.00380080758392434,"full"
"74","KAV",0.000818854183406822,0.00380080758392434,"full"
"75","KAV",0.000818854183406822,0.00380080758392434,"full"
"76","KAV",0.000377191841207922,0.00305409428550137,"full"
"77","KAV",0.000377191841207922,0.00305409428550137,"full"
"78","KAV",0.000377191841207922,0.00305409428550137,"full"
"79","VHA",0.000377191841207922,0.00305409428550137,"full"
"80","VHA",0.000377191841207922,0.00305409428550137,"full"
"81","VHA",0.000377191841207922,0.00305409428550137,"full"
"82","VHA",0.000377191841207922,0.00305409428550137,"full"
"83","VHA",0.000377191841207922,0.00305409428550137,"full"
"84","VHA",0.000377191841207922,0.00305409428550137,"full"
"85","VHA",0.0013269910090102,0.00515424913467776,"full"
"86","VHA",0.0013269910090102,0.00515424913467776,"full"
"87","VHA",0.0013269910090102,0.00515424913467776,"full"
"88","VHA",0.0013269910090102,0.00515424913467776,"full"
"89","VHA",0.0013269910090102,0.00515424913467776,"full"
"90","VHA",0.0013269910090102,0.00515424913467776,"full"
"91","VHA",0.0013269910090102,0.00515424913467776,"full"
"92","VHA",0.0013269910090102,0.00515424913467776,"full"
"93","VHA",0.0013269910090102,0.00515424913467776,"full"
"94","VHA",0.0013269910090102,0.00515424913467776,"full"
"95","VHA",0.0013269910090102,0.00515424913467776,"full"
"96","VHA",0.0013269910090102,0.00515424913467776,"full"
"97","VHA",0.0013269910090102,0.00515424913467776,"full"
"98","VHA",0.0013269910090102,0.00515424913467776,"full"
"99","STE",0.0013269910090102,0.00515424913467776,"full"
"100","STE",0.0013269910090102,0.00515424913467776,"full"
"101","STE",0.0013269910090102,0.00515424913467776,"full"
"102","STE",0.0013269910090102,0.00515424913467776,"full"
"103","STE",0.0013269910090102,0.00515424913467776,"full"
"104","STE",0.00105502428919391,0.00423299906326435,"full"
"105","STE",0.00105502428919391,0.00423299906326435,"full"
"106","STE",0.00105502428919391,0.00423299906326435,"full"
"107","STE",0.00105502428919391,0.00423299906326435,"full"
"108","STE",0.00105502428919391,0.00423299906326435,"full"
"109","STE",0.00105502428919391,0.00423299906326435,"full"
"110","STE",0.00105502428919391,0.00423299906326435,"full"
"111","STE",0.00105502428919391,0.00423299906326435,"full"
"112","STE",0.00105502428919391,0.00423299906326435,"full"
"113","STE",0.00105502428919391,0.00423299906326435,"full"
"114","STE",0.00105502428919391,0.00423299906326435,"full"
"115","STE",0.00105502428919391,0.00423299906326435,"full"
"116","STE",0.00105502428919391,0.00423299906326435,"full"
"117","STE",0.00105502428919391,0.00423299906326435,"full"
"118","STE",0.00105502428919391,0.00423299906326435,"full"
"119","NOV",0.00105502428919391,0.00423299906326435,"full"
"120","NOV",0.00105502428919391,0.00423299906326435,"full"
"121","NOV",0.00105502428919391,0.00423299906326435,"full"
"122","NOV",0.00105502428919391,0.00423299906326435,"full"
"123","NOV",0.00105502428919391,0.00423299906326435,"full"
"124","NOV",0.000227000528893607,0.000898419389062252,"full"
"125","NOV",0.000227000528893607,0.000898419389062252,"full"
"126","NOV",0.000227000528893607,0.000898419389062252,"full"
"127","NOV",0.000227000528893607,0.000898419389062252,"full"
"128","NOV",0.000227000528893607,0.000898419389062252,"full"
"129","NOV",0.000227000528893607,0.000898419389062252,"full"
"130","NOV",0.000227000528893607,0.000898419389062252,"full"
"131","NOV",0.000227000528893607,0.000898419389062252,"full"
"132","SBR",0.000227000528893607,0.000898419389062252,"full"
"133","SBR",0.000227000528893607,0.000898419389062252,"full"
"134","SBR",0.000227000528893607,0.000898419389062252,"full"
"135","SBR",0.000227000528893607,0.000898419389062252,"full"
"136","SBR",0.000227000528893607,0.000898419389062252,"full"
"137","SBR",0.000227000528893607,0.000898419389062252,"full"
"138","SBR",0.000227000528893607,0.000898419389062252,"full"
"139","SBR",0.000227000528893607,0.000898419389062252,"full"
"140","SBR",0.000227000528893607,0.000898419389062252,"full"
"141","SBR",0.000227000528893607,0.000898419389062252,"full"
"142","SBR",0.000227000528893607,0.000898419389062252,"full"
"143","SBR",0.00105502428919391,0.00423299906326435,"full"
"144","SBR",0.00105502428919391,0.00423299906326435,"full"
"145","SBR",0.00105502428919391,0.00423299906326435,"full"
"146","SBR",0.00105502428919391,0.00423299906326435,"full"
"147","SBR",0.00105502428919391,0.00423299906326435,"full"
"148","SBR",0.00105502428919391,0.00423299906326435,"full"
"149","SBR",0.00105502428919391,0.00423299906326435,"full"
"150","SBR",0.00105502428919391,0.00423299906326435,"full"
"151","GOT",0.00105502428919391,0.00423299906326435,"full"
"152","GOT",0.00105502428919391,0.00423299906326435,"full"
"153","GOT",0.00105502428919391,0.00423299906326435,"full"
"154","GOT",0.00105502428919391,0.00423299906326435,"full"
"155","GRO",0.00105502428919391,0.00423299906326435,"full"
"156","GRO",0.00105502428919391,0.00423299906326435,"full"
"157","GRO",0.00105502428919391,0.00423299906326435,"full"
"158","GRO",0.00105502428919391,0.00423299906326435,"full"
"159","GRO",0.00105502428919391,0.00423299906326435,"full"
"160","GRO",0.00105502428919391,0.00423299906326435,"full"
"161","GRO",0.00105502428919391,0.00423299906326435,"full"
"162","GRO",0.00105502428919391,0.00423299906326435,"full"
"163","GRO",0.000709467363896896,0.00413857543536424,"full"
"164","GRO",0.000709467363896896,0.00413857543536424,"full"
"165","GRO",0.000709467363896896,0.00413857543536424,"full"
"166","GRO",0.000709467363896896,0.00413857543536424,"full"
"167","GRO",0.000709467363896896,0.00413857543536424,"full"
"168","GRO",0.000709467363896896,0.00413857543536424,"full"
"169","GRO",0.000709467363896896,0.00413857543536424,"full"
"170","GRO",0.000709467363896896,0.00413857543536424,"full"
"171","GRO",0.000709467363896896,0.00413857543536424,"full"
"172","GRO",0.000709467363896896,0.00413857543536424,"full"
"173","HOG",0.000709467363896896,0.00413857543536424,"full"
"174","HOG",0.000709467363896896,0.00413857543536424,"full"
"175","HOG",0.000709467363896896,0.00413857543536424,"full"
"176","HOG",0.000709467363896896,0.00413857543536424,"full"
"177","HOG",0.000709467363896896,0.00413857543536424,"full"
"178","HOG",0.000709467363896896,0.00413857543536424,"full"
"179","HOG",0.000709467363896896,0.00413857543536424,"full"
"180","HOG",0.000140839017186518,0.00205612929025329,"full"
"181","HOG",0.000140839017186518,0.00205612929025329,"full"
"182","HOG",0.000140839017186518,0.00205612929025329,"full"
"183","HOG",0.000140839017186518,0.00205612929025329,"full"
"184","HOG",0.000140839017186518,0.00205612929025329,"full"
"185","HOG",0.000140839017186518,0.00205612929025329,"full"
"186","HOG",0.000140839017186518,0.00205612929025329,"full"
"187","HOG",0.000140839017186518,0.00205612929025329,"full"
"188","HOG",0.000140839017186518,0.00205612929025329,"full"
"189","HOG",0.000140839017186518,0.00205612929025329,"full"
"190","HOG",0.000140839017186518,0.00205612929025329,"full"
"191","ALA",0.000140839017186518,0.00205612929025329,"full"
"192","ALA",0.000140839017186518,0.00205612929025329,"full"
"193","ALA",0.000140839017186518,0.00205612929025329,"full"
"194","ALA",0.000140839017186518,0.00205612929025329,"full"
"195","ALA",0.000140839017186518,0.00205612929025329,"full"
"196","ALA",0.000140839017186518,0.00205612929025329,"full"
"197","ALA",0.000140839017186518,0.00205612929025329,"full"
"198","ALA",0.000140839017186518,0.00205612929025329,"full"
"199","ALA",0.000140839017186518,0.00205612929025329,"full"
"200","ALA",0.00130697056228797,0.00437264433454228,"full"
"201","ALA",0.00130697056228797,0.00437264433454228,"full"
"202","ALA",0.00130697056228797,0.00437264433454228,"full"
"203","ALA",0.00130697056228797,0.00437264433454228,"full"
"204","ALA",0.00130697056228797,0.00437264433454228,"full"
"205","ALA",0.00130697056228797,0.00437264433454228,"full"
"206","ALA",0.00130697056228797,0.00437264433454228,"full"
"207","ALA",0.00130697056228797,0.00437264433454228,"full"
"208","ALA",0.00130697056228797,0.00437264433454228,"full"
"209","BAR",0.00130697056228797,0.00437264433454228,"full"
"210","BAR",0.00130697056228797,0.00437264433454228,"full"
"211","BAR",0.00130697056228797,0.00437264433454228,"full"
"212","BAR",0.00130697056228797,0.00437264433454228,"full"
"213","BAR",0.00130697056228797,0.00437264433454228,"full"
"214","BAR",0.00130697056228797,0.00437264433454228,"full"
"215","BAR",0.00130697056228797,0.00437264433454228,"full"
"216","BAR",0.00130697056228797,0.00437264433454228,"full"
"217","BAR",0.00130697056228797,0.00437264433454228,"full"
"218","BAR",0.00130697056228797,0.00437264433454228,"full"
"219","BAR",0.00130697056228797,0.00437264433454228,"full"
"220","BAR",0.000788058882455018,0.00329835385037068,"full"
"221","BAR",0.000788058882455018,0.00329835385037068,"full"
"222","BAR",0.000788058882455018,0.00329835385037068,"full"
"223","BAR",0.000788058882455018,0.00329835385037068,"full"
"224","BAR",0.000614588255274521,0.00357866376312785,"full"
"225","BAR",0.000614588255274521,0.00357866376312785,"full"
"226","BAR",0.000614588255274521,0.00357866376312785,"full"
"227","BAR",0.000614588255274521,0.00357866376312785,"full"
"228","BAR",0.000614588255274521,0.00357866376312785,"full"
"229","LOM",0.000614588255274521,0.00357866376312785,"full"
"230","LOM",0.000614588255274521,0.00357866376312785,"full"
"231","LOM",0.000614588255274521,0.00357866376312785,"full"
"232","LOM",0.000614588255274521,0.00357866376312785,"full"
"233","LOM",0.000614588255274521,0.00357866376312785,"full"
"234","LOM",0.000614588255274521,0.00357866376312785,"full"
"235","LOM",0.000614588255274521,0.00357866376312785,"full"
"236","LOM",0.000614588255274521,0.00357866376312785,"full"
"237","LOM",0.000614588255274521,0.00357866376312785,"full"
"238","LOM",0.000614588255274521,0.00357866376312785,"full"
"239","LOM",0.000614588255274521,0.00357866376312785,"full"
"240","LOM",0.000614588255274521,0.00357866376312785,"full"
"241","LOM",0.000614588255274521,0.00357866376312785,"full"
"242","LOM",0.000566606181765991,0.00303064939018359,"full"
"243","LOM",0.000566606181765991,0.00303064939018359,"full"
"244","LOM",0.000566606181765991,0.00303064939018359,"full"
"245","LOM",0.000566606181765991,0.00303064939018359,"full"
"246","LOM",0.000566606181765991,0.00303064939018359,"full"
"247","LOM",0.000566606181765991,0.00303064939018359,"full"
"248","KUR",0.000566606181765991,0.00303064939018359,"full"
"249","KUR",0.000566606181765991,0.00303064939018359,"full"
"250","KUR",0.000566606181765991,0.00303064939018359,"full"
"251","KUR",0.000566606181765991,0.00303064939018359,"full"
"252","KUR",0.000566606181765991,0.00303064939018359,"full"
"253","KUR",0.000566606181765991,0.00303064939018359,"full"
"254","KUR",0.000566606181765991,0.00303064939018359,"full"
"255","KUR",0.000566606181765991,0.00303064939018359,"full"
"256","KUR",0.000566606181765991,0.00303064939018359,"full"
"257","KUR",0.000566606181765991,0.00303064939018359,"full"
"258","KUR",0.000566606181765991,0.00303064939018359,"full"
"259","KUR",0.000566606181765991,0.00303064939018359,"full"
"260","KUR",0.000566606181765991,0.00303064939018359,"full"
"261","KUR",0.00129783270915184,0.00483913985408979,"full"
"262","KUR",0.00129783270915184,0.00483913985408979,"full"
"263","KUR",0.00129783270915184,0.00483913985408979,"full"
"264","KUR",0.00129783270915184,0.00483913985408979,"full"
"265","KUR",0.00129783270915184,0.00483913985408979,"full"
"266","KUR",0.00129783270915184,0.00483913985408979,"full"
"267","KUR",0.00129783270915184,0.00483913985408979,"full"
"268","YST",0.00129783270915184,0.00483913985408979,"full"
"269","YST",0.00129783270915184,0.00483913985408979,"full"
"270","YST",0.00129783270915184,0.00483913985408979,"full"
"271","YST",0.00129783270915184,0.00483913985408979,"full"
"272","YST",0.00129783270915184,0.00483913985408979,"full"
"273","YST",0.00129783270915184,0.00483913985408979,"full"
"274","YST",0.00129783270915184,0.00483913985408979,"full"
"275","YST",0.00129783270915184,0.00483913985408979,"full"
"276","YST",0.00129783270915184,0.00483913985408979,"full"
"277","YST",0.00129783270915184,0.00483913985408979,"full"
"278","YST",0.00129783270915184,0.00483913985408979,"full"
"279","YST",0.000377191841207922,0.00305409428550137,"full"
"280","YST",0.000377191841207922,0.00305409428550137,"full"
"281","YST",0.000377191841207922,0.00305409428550137,"full"
"282","YST",0.000377191841207922,0.00305409428550137,"full"
"283","YST",0.000377191841207922,0.00305409428550137,"full"
"284","YST",0.000377191841207922,0.00305409428550137,"full"
"285","YST",0.000377191841207922,0.00305409428550137,"full"
"286","SKI",0.000377191841207922,0.00305409428550137,"full"
"287","SKI",0.000377191841207922,0.00305409428550137,"full"
"288","SKI",0.000377191841207922,0.00305409428550137,"full"
"289","SKI",0.000377191841207922,0.00305409428550137,"full"
"290","SKI",0.000377191841207922,0.00305409428550137,"full"
"291","SKI",0.000377191841207922,0.00305409428550137,"full"
"292","SKI",0.000377191841207922,0.00305409428550137,"full"
"293","SKI",0.000377191841207922,0.00305409428550137,"full"
"294","SKI",0.000377191841207922,0.00305409428550137,"full"
"295","SKI",0.000424222851420142,0.00272124194991208,"full"
"296","SKI",0.000424222851420142,0.00272124194991208,"full"
"297","SKI",0.000424222851420142,0.00272124194991208,"full"
"298","SKI",0.000424222851420142,0.00272124194991208,"full"
"299","SKI",0.000424222851420142,0.00272124194991208,"full"
"300","SKI",0.000424222851420142,0.00272124194991208,"full"
"301","SKI",0.000424222851420142,0.00272124194991208,"full"
"302","SKI",0.000424222851420142,0.00272124194991208,"full"
"303","SKI",0.000424222851420142,0.00272124194991208,"full"
"304","SKI",0.000424222851420142,0.00272124194991208,"full"
"305","SKI",0.000424222851420142,0.00272124194991208,"full"
"306","AHU",0.000424222851420142,0.00272124194991208,"full"
"307","AHU",0.000424222851420142,0.00272124194991208,"full"
"308","AHU",0.000424222851420142,0.00272124194991208,"full"
"309","AHU",0.000424222851420142,0.00272124194991208,"full"
"310","AHU",0.000424222851420142,0.00272124194991208,"full"
"311","AHU",0.000424222851420142,0.00272124194991208,"full"
"312","AHU",0.000424222851420142,0.00272124194991208,"full"
"313","AHU",0.000424222851420142,0.00272124194991208,"full"
"314","AHU",9.94690191903764e-06,0.00126654727933593,"full"
"315","AHU",9.94690191903764e-06,0.00126654727933593,"full"
"316","AHU",9.94690191903764e-06,0.00126654727933593,"full"
"317","AHU",9.94690191903764e-06,0.00126654727933593,"full"
"318","AHU",9.94690191903764e-06,0.00126654727933593,"full"
