"","pop","trt","bagnum","offset_mll","offset_full","method"
"156","HOG","TempWarm-5psu",156,9.4352258281222,8.57145887840392,"rda_offset"
"157","VAT","TempWarm-5psu",157,15.2266686358976,14.1565234516914,"rda_offset"
"158","VIK","TempWarm-5psu",158,13.0099674454274,12.7910917454629,"rda_offset"
"159","KAL","TempWarm-5psu",159,1.90853559064859,1.04757258035588,"rda_offset"
"160","HOR","TempWarm-5psu",160,0.947088547970484,0.539904189278566,"rda_offset"
"161","BAR","TempWarm-16psu",161,3.64238998733627,5.76458952546245,"rda_offset"
"162","HOG","TempWarm-16psu",162,3.04362743074803,4.95336279824476,"rda_offset"
"163","VAT","TempWarm-16psu",163,3.17770068532082,0.809136263458,"rda_offset"
"164","KAL","TempWarm-16psu",164,11.1754897619304,13.1922531788238,"rda_offset"
"165","VIK","TempWarm-16psu",165,1.28990416071435,0.500405447427991,"rda_offset"
"166","KUR","TempWarm-16psu",166,9.255279709284,11.2535666877462,"rda_offset"
"167","BJO","TempWarm-16psu",167,12.227111909351,14.6673897746456,"rda_offset"
"168","HOR","TempWarm-16psu",168,11.3740313812182,13.8145524964467,"rda_offset"
"169","KAL","TempWarm-5psu",169,1.90900192261006,1.08669425340197,"rda_offset"
"170","HOR","TempWarm-5psu",170,0.905047453462398,0.559060882363803,"rda_offset"
"171","VIK","TempWarm-5psu",171,12.9845971857977,12.7812856347907,"rda_offset"
"172","KUR","TempWarm-5psu",172,3.00504200981519,2.14948284543035,"rda_offset"
"173","BAR","TempWarm-5psu",173,8.72749096317655,7.72454949116269,"rda_offset"
"174","BJO","TempWarm-5psu",174,0.86064294709514,1.35155395174152,"rda_offset"
"175","VAT","TempWarm-5psu",175,15.1653765138666,14.1113392964052,"rda_offset"
"176","HOG","TempWarm-5psu",176,9.372438373348,8.5255528900386,"rda_offset"
"177","KAL","TempWarm-16psu",177,10.4048064259599,12.3532017964431,"rda_offset"
"178","HOG","TempWarm-16psu",178,2.97493768329546,4.88143570857202,"rda_offset"
"179","BJO","TempWarm-16psu",179,12.4113970548974,14.875086593393,"rda_offset"
"180","KUR","TempWarm-16psu",180,9.21909515248688,11.2175720767765,"rda_offset"
"181","VIK","TempWarm-16psu",181,1.26289295456825,0.533893072710038,"rda_offset"
"182","BAR","TempWarm-16psu",182,3.57008441367974,5.67873764452501,"rda_offset"
"183","HOR","TempWarm-16psu",183,11.5569473311161,14.0083692935282,"rda_offset"
"184","VAT","TempWarm-16psu",184,3.21293877918902,0.844376185141425,"rda_offset"
"185","BJO","TempWarm-5psu",185,0.874542554282806,1.43733411789329,"rda_offset"
"186","KUR","TempWarm-5psu",186,2.93308236240701,2.06363275775285,"rda_offset"
"187","KAL","TempWarm-5psu",187,1.83929651961705,1.00092792620096,"rda_offset"
"188","HOR","TempWarm-5psu",188,0.630754954101585,0.968233507403983,"rda_offset"
"189","VAT","TempWarm-5psu",189,15.1653765138666,14.1113392964052,"rda_offset"
"190","VIK","TempWarm-5psu",190,12.948273597182,12.745288653612,"rda_offset"
"191","HOG","TempWarm-5psu",191,9.372438373348,8.5255528900386,"rda_offset"
"192","BAR","TempWarm-5psu",192,8.72749096317655,7.72454949116269,"rda_offset"
"193","HOR","TempWarm-16psu",193,11.4041524668874,13.8468065152319,"rda_offset"
"194","KUR","TempWarm-16psu",194,9.3603258421469,11.3723076644992,"rda_offset"
"195","BJO","TempWarm-16psu",195,12.3303719838133,14.7723778290412,"rda_offset"
"196","KAL","TempWarm-16psu",196,10.5472470347155,12.5218943876773,"rda_offset"
"197","BAR","TempWarm-16psu",197,3.46441443898519,5.55406295448484,"rda_offset"
"198","VIK","TempWarm-16psu",198,1.32090151470185,0.497471074283363,"rda_offset"
"199","HOG","TempWarm-16psu",199,2.90883651006197,4.79363361203363,"rda_offset"
"200","VAT","TempWarm-16psu",200,3.16070222320662,0.770979410268629,"rda_offset"
"201","VAT","TempWarm-5psu",201,15.249551857265,14.2000226070366,"rda_offset"
"202","BJO","TempWarm-5psu",202,0.897053684298252,1.35033583826562,"rda_offset"
"203","KUR","TempWarm-5psu",203,3.02165209141948,2.1529578589304,"rda_offset"
"204","HOG","TempWarm-5psu",204,9.38539256545806,8.54321148585958,"rda_offset"
"205","HOR","TempWarm-5psu",205,0.993008868652292,0.465376030886295,"rda_offset"
"206","KAL","TempWarm-5psu",206,1.96361461532063,1.12753421767867,"rda_offset"
"207","VIK","TempWarm-5psu",207,13.0327968426259,12.8347979990703,"rda_offset"
"208","BAR","TempWarm-5psu",208,8.77664324248866,7.77779820319584,"rda_offset"
"209","VIK","TempWarm-16psu",209,1.34800919918336,0.46549387245429,"rda_offset"
"210","BAR","TempWarm-16psu",210,3.49936546088106,5.59004932409741,"rda_offset"
"211","HOG","TempWarm-16psu",211,2.87258729903788,4.7437836076742,"rda_offset"
"212","KUR","TempWarm-16psu",212,9.35866842331746,11.3584422350653,"rda_offset"
"213","BJO","TempWarm-16psu",213,12.185610355627,14.6284125129194,"rda_offset"
"214","KAL","TempWarm-16psu",214,10.7299966399422,12.7157215893613,"rda_offset"
"215","HOR","TempWarm-16psu",215,11.367895880849,13.8108098325122,"rda_offset"
"216","VAT","TempWarm-16psu",216,3.23095630417245,0.841942165716072,"rda_offset"
"217","KUR","TempWarm-5psu",217,3.09351132959659,2.23879012283882,"rda_offset"
"218","VAT","TempWarm-5psu",218,15.1755720555016,14.1141712540823,"rda_offset"
"219","BAR","TempWarm-5psu",219,8.73919579095478,7.72795172470493,"rda_offset"
"220","HOG","TempWarm-5psu",220,9.42164003167778,8.57920662859574,"rda_offset"
"221","KAL","TempWarm-5psu",221,1.89467614455961,1.05565511051312,"rda_offset"
"222","VIK","TempWarm-5psu",222,12.9588804121068,12.7489661180437,"rda_offset"
"223","HOR","TempWarm-5psu",223,0.993008868652292,0.465376030886295,"rda_offset"
"224","BJO","TempWarm-5psu",224,0.890344070749026,1.26468688693064,"rda_offset"
"225","BJO","TempWarm-16psu",225,12.5300145784605,14.9609548712001,"rda_offset"
"226","HOG","TempWarm-16psu",226,2.97786919499916,4.84570425894796,"rda_offset"
"227","HOR","TempWarm-16psu",227,11.3828320790015,13.7783987462925,"rda_offset"
"228","VAT","TempWarm-16psu",228,2.91440823973996,0.556534019063669,"rda_offset"
"229","KUR","TempWarm-16psu",229,9.04474162621467,10.9877311497296,"rda_offset"
"230","BAR","TempWarm-16psu",230,3.64714798251666,5.72863898724922,"rda_offset"
"231","VIK","TempWarm-16psu",231,1.21544452652374,0.549915519436556,"rda_offset"
"232","KAL","TempWarm-16psu",232,10.451213189734,12.3670775694344,"rda_offset"
"233","BJO","TempWarm-5psu",233,0.837542463156961,1.28007190035803,"rda_offset"
"234","HOR","TempWarm-5psu",234,0.826787856126855,0.600079063423618,"rda_offset"
"235","BAR","TempWarm-5psu",235,8.67826510374662,7.71075609144901,"rda_offset"
"236","VAT","TempWarm-5psu",236,15.1167655315588,14.0974003225065,"rda_offset"
"237","VIK","TempWarm-5psu",237,12.8994875807183,12.7315754854055,"rda_offset"
"238","KAL","TempWarm-5psu",238,1.85774665126013,1.07323400518528,"rda_offset"
"239","KUR","TempWarm-5psu",239,2.98994209097076,2.17167021973296,"rda_offset"
"240","HOG","TempWarm-5psu",240,9.39691937188973,8.59770404784433,"rda_offset"
"241","KAL","TempWarm-16psu",241,10.4149741812368,12.3310847629085,"rda_offset"
"242","HOR","TempWarm-16psu",242,11.3828320790015,13.7783987462925,"rda_offset"
"243","KUR","TempWarm-16psu",243,8.97072108597122,10.9018796258307,"rda_offset"
"244","BAR","TempWarm-16psu",244,3.53957513869772,5.60679752119134,"rda_offset"
"245","VIK","TempWarm-16psu",245,1.26853520293923,0.470296034978865,"rda_offset"
"246","HOG","TempWarm-16psu",246,2.87272229313632,4.72393033389731,"rda_offset"
"247","VAT","TempWarm-16psu",247,3.16193626796648,0.829152232852213,"rda_offset"
"248","BJO","TempWarm-16psu",248,12.2732875149497,14.6812736396776,"rda_offset"
"249","BAR","TempWarm-5psu",249,8.64199940563295,7.6747594389835,"rda_offset"
"250","HOG","TempWarm-5psu",250,9.39691937188973,8.59770404784433,"rda_offset"
"251","VIK","TempWarm-5psu",251,13.009754401841,12.8534075956256,"rda_offset"
"252","VAT","TempWarm-5psu",252,15.190763371859,14.1832509429266,"rda_offset"
"253","BJO","TempWarm-5psu",253,0.849484006789105,1.36581785680948,"rda_offset"
"254","KUR","TempWarm-5psu",254,2.98994209097076,2.17167021973296,"rda_offset"
