"","pop","region","site_full","lat","long","order","coast","go_current_mll","go_future_mll","go_current_full","go_future_full","method"
"1","AHU","Kristianstad","Åhus",55.973569,14.402056,17,"east",1.98070608992616,2.60677989780892,2.31718968724528,2.7412282190432,"rda_offset"
"2","ALA","Øresund","Ålabadarna",55.940683,12.771034,11,"west",3.26113319467362,2.14008931953858,4.36188711179642,3.33153592976133,"rda_offset"
"3","BAD","Öland","Bödagården",57.259256,17.058547,25,"east",2.26683867281386,2.88241508022957,0.793016697900814,1.21914428462256,"rda_offset"
"4","BAR","Barsebäck","Barsebäck hamn",55.75528,12.90189,12,"west",3.36232876300623,2.23810520507107,4.25304538990397,3.22333270603556,"rda_offset"
"5","BJN","Karlskrona","Björkenäs",56.159447,15.925111,19,"east",1.82926615482194,2.45640917570396,2.15228739796327,2.5747711822463,"rda_offset"
"6","BJO","Östersjö","Björkö",59.83484289,19.07867998,34,"east",2.14257448236336,2.76648921177247,0.859905091583724,0.466709020509989,"rda_offset"
"7","BLA","Öland","Bläsinge",56.621246,16.704923,20,"east",1.82926615482194,2.45640917570396,1.90940814989842,2.33442000115003,"rda_offset"
"8","BUR","Gotland","Burgsvik",57.032289,18.223786,24,"east",2.27219516480652,2.89345475844491,0.995634400992768,1.42265081040811,"rda_offset"
"9","EKO","Valdemarsvik","Ekön",58.175265,16.854798,30,"east",2.14257448236336,2.76648921177247,0.523698120193419,0.097029794607871,"rda_offset"
"10","FUR","Pukaviksbukten","Furumon",56.0954,14.72029998,18,"east",1.90498612237405,2.53159453675644,2.20374734708267,2.62503514848743,"rda_offset"
"11","GAL","Haninge","Gålö",59.09087305,18.32692339,33,"east",2.14257448236336,2.76648921177247,0.627117306414932,0.208808169566605,"rda_offset"
"12","GAS","Kosterhavet","Gåsholmen ",58.878628,11.134688,2,"west",1.99855350761923,0.974491946631657,4.00615282380509,2.97565407824556,"rda_offset"
"13","GOT","Kungsbacka","Gottskär",57.39626,12.02123,8,"west",3.3550268828633,2.2372479531383,4.21559698916793,3.1874199446495,"rda_offset"
"14","GRO","Lahalmsbukten","Grötvik",56.64116,12.78014,9,"west",3.13652115100949,2.02112324259845,4.21054703079716,3.18222565923467,"rda_offset"
"15","HOG","Södra Höganäs","Höganäs",56.1969,12.55141,10,"west",3.26523409721102,2.14423208775948,4.19510778743519,3.16599210424947,"rda_offset"
"16","HOR","Hornsudde","Hornsudde",57.695151,16.730625,28,"east",2.26683867281386,2.88241508022957,0.0499571964440315,0.440544153388957,"rda_offset"
"17","KAL","Kalmar","Kalmarsund",56.654431,16.351908,21,"east",1.82926615482194,2.45640917570396,0.76577753653197,1.19411250639852,"rda_offset"
"18","KAR","Öland","Kårehamn",56.969566,16.912377,22,"east",1.82926615482194,2.45640917570396,0.796696299801668,1.22401506761907,"rda_offset"
"19","KAV","Grebbestad-Fjällbacka","Kämpersvik",58.64622,11.27672,3,"west",1.82445930595294,0.828990227776298,4.01784829731401,2.98739035129272,"rda_offset"
"20","KLI","Gotland","Klintehamn",57.401162,18.152719,27,"east",2.26683867281386,2.88241508022957,0.107134477231665,0.526042541418232,"rda_offset"
"21","KOD","Kosterhavet","Koster donor site",58.882538,10.991989,1,"west",2.27127230752681,1.21683191412392,3.99780636905011,2.96727853998595,"rda_offset"
"22","KRA","Tystberga","Krampö",58.690647,17.4658689,31,"east",2.14257448236336,2.76648921177247,0.505996066365274,0.0973401374811467,"rda_offset"
"23","KUR","Trelleborg","Kurland",55.395972,12.982861,14,"east",0.764317993954044,1.4004545767994,0.777490481743054,1.20280226436835,"rda_offset"
"24","LJU","Gotland","Ljugarn",57.319176,18.695397,26,"east",2.26683867281386,2.88241508022957,0.635220240067297,1.06142612625475,"rda_offset"
"25","LOM","Lomma","South Lomma Bay",55.67242,13.05485,13,"west",3.52782750907362,2.4080278264188,4.15471034359772,3.12565783688256,"rda_offset"
"26","NOV","Sälöfjorden","N. Överön",57.795244,11.728779,6,"west",2.76343124378004,1.66859397273355,4.50318383441066,3.47141725140993,"rda_offset"
"27","NYN","Nynäshamn","Nynäshamn",58.8811079,17.9542217,32,"east",2.14257448236336,2.76648921177247,0.519641543824478,0.110458198631977,"rda_offset"
"28","OSK","Oskarshamn","Oskarshamn",57.031518,16.583068,23,"east",2.05095384698059,2.67539195366674,0.933503481204968,1.36113837999221,"rda_offset"
"29","SBR","Göteborgs S skärgård","S. Brännö",57.64159,11.79115,7,"west",3.02216922545405,1.91609645853481,3.8406423366833,2.81336638285966,"rda_offset"
"30","SKI","Skillinge","Skillinge",55.457556,14.2785,16,"east",1.98070608992616,2.60677989780892,1.68035107981159,2.10468437294044,"rda_offset"
"31","SLI","Gotland","Slite",57.713318,18.831167,29,"east",2.22541727599703,2.8437731240772,0.129077871078217,0.321550822477904,"rda_offset"
"32","STE","Hake-Älgöfjorden","Stenungsund",58.05143,11.81013,5,"west",2.30118845014495,1.23595261410427,4.40114476556559,3.36942855767579,"rda_offset"
"33","VHA","Ellös-Havstenfjord","Väst Hjältön",58.25641,11.60238,4,"west",2.01658086454531,0.972481047671666,4.24532623777912,3.21388019530695,"rda_offset"
"34","YST","Gamla Staden-Sandskogen","Ystad",55.42155879,13.84636159,15,"east",1.25087323234289,1.88298470520321,1.89198207040175,2.31679372607755,"rda_offset"
