"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"66","KAL","TempWarm-16psu",66,"A3",0.00183923387157263,0.00198795567002868,"lea_offset"
"67","HOG","TempWarm-16psu",67,"A3",0.00269551960290631,0.00275464192008765,"lea_offset"
"68","KUR","TempWarm-16psu",68,"A3",0.00233022375908318,0.00218728178303552,"lea_offset"
"69","BJO","TempWarm-16psu",69,"A3",0.00322200035058739,0.00317076666399801,"lea_offset"
"70","BAR","TempWarm-16psu",70,"A3",0.00294451405401657,0.00292291453843823,"lea_offset"
"71","VAT","TempWarm-16psu",71,"A3",0.00483360535307034,0.00395056822886687,"lea_offset"
"72","HOR","TempWarm-16psu",72,"A3",0.00309501737659642,0.00256999169037177,"lea_offset"
"73","KAL","TempWarm-5psu",73,"A3",0.00157892054655681,0.00115324239753126,"lea_offset"
"74","HOR","TempWarm-5psu",74,"A3",0.00287728091547435,0.00175692437380538,"lea_offset"
"75","VAT","TempWarm-5psu",75,"A3",0.00538718342392235,0.00378584847477117,"lea_offset"
"76","BAR","TempWarm-5psu",76,"A3",0.00305314502863288,0.00217282366666411,"lea_offset"
"77","VIK","TempWarm-5psu",77,"A3",0.00255544254923491,0.0020810682791766,"lea_offset"
"78","KUR","TempWarm-5psu",78,"A3",0.00215853326239351,0.00154014289978145,"lea_offset"
"79","BJO","TempWarm-5psu",79,"A3",0.00288285596305893,0.00209967114515492,"lea_offset"
"80","HOG","TempWarm-5psu",80,"A3",0.00282279926062137,0.0021153331439485,"lea_offset"
"81","KAL","TempWarm-16psu",81,"A3",0.00182723838395808,0.00195415538023891,"lea_offset"
"82","BJO","TempWarm-16psu",82,"A3",0.00325658888484381,0.00326928665070023,"lea_offset"
"83","BAR","TempWarm-16psu",83,"A3",0.00294175516392263,0.0029066030872697,"lea_offset"
"84","HOR","TempWarm-16psu",84,"A3",0.00309623322374693,0.00257145289211722,"lea_offset"
"85","HOG","TempWarm-16psu",85,"A3",0.00269292933847217,0.00273931973713206,"lea_offset"
"86","VIK","TempWarm-16psu",86,"A3",0.00218756066705987,0.0018802132989356,"lea_offset"
"87","VAT","TempWarm-16psu",87,"A3",0.00481994154893999,0.00391996834014561,"lea_offset"
"88","KUR","TempWarm-16psu",88,"A3",0.00232498923754834,0.00217194861536902,"lea_offset"
"89","HOG","TempWarm-5psu",89,"A3",0.00282279926062137,0.0021153331439485,"lea_offset"
