"","trt","BAR","BJO","HOG","HOR","KAL","KUR","VAT","VIK","cc"
"1","TempControl-21psu",0.0082112712016676,0.0176274793532371,0.00847134744155477,0.012130585864678,0.00885863824734058,0.00994947455746373,0.00929471078543997,0.00561921277474393,"mll"
"2","TempControl-7psu",0.00631001782480743,0.00940951679224918,0.00727042805177325,0.00452717688844812,0.0022572618871481,0.00426931214243565,0.0122599184592406,0.00809386292441518,"mll"
"3","TempWarm-16psu",0.0378874833416026,0.0528083065030915,0.0397116472429262,0.0397173761205386,0.0322515174125972,0.038212420023613,0.0424178774340081,0.0367067853268665,"mll"
"4","TempWarm-5psu",0.0387968512985465,0.0489581024794342,0.0412259433014971,0.0363063086555059,0.0296364057736042,0.0363808067195769,0.0471016644869932,0.0413219757521668,"mll"
"5","TempControl-21psu",0.00784687932287865,0.0186350990430135,0.0080223127935198,0.0130500082207995,0.010198944966464,0.0108460894393634,0.008369505842136,0.00506711267655759,"full"
"6","TempControl-7psu",0.00603310428081371,0.00817935987815604,0.0068526372910448,0.00380410060749539,0.0019408273928609,0.00363773965943301,0.0130874603224836,0.00801900399975227,"full"
"7","TempWarm-16psu",0.0324867576504869,0.0476296964067405,0.0340573412271299,0.0355956240613319,0.0293282192446749,0.0341392479548437,0.0361262842801332,0.0312329680522131,"full"
"8","TempWarm-5psu",0.0333087291575688,0.0419272204323047,0.0354383723115126,0.0308009520467256,0.0253100530850692,0.0310033684264976,0.0419932220166023,0.0360630183483901,"full"
