"","pop","trt","gap_mll","gap_full"
"1","BAR","TempControl-21psu",0.954368455923946,0.574099705804716
"2","BAR","TempControl-7psu",0.793714718216336,0.732016894418262
"3","BAR","TempWarm-16psu",2.92667815474454,1.19559973989755
"4","BAR","TempWarm-5psu",3.53650282045947,1.61972599207844
"5","BJO","TempControl-21psu",2.76432172947292,2.70819048073356
"6","BJO","TempControl-7psu",0.719396488265117,0.326593891694791
"7","BJO","TempWarm-16psu",4.70636608133827,2.91936461172501
"8","BJO","TempWarm-5psu",3.85219346367605,1.39402932740621
"9","HOG","TempControl-21psu",0.913139345891514,0.549845754760527
"10","HOG","TempControl-7psu",0.87831359813335,0.774308293646702
"11","HOG","TempWarm-16psu",2.96953443431338,1.21395064716867
"12","HOG","TempWarm-5psu",3.68129141138151,1.69225641159007
"13","HOR","TempControl-21psu",2.2349160888349,2.15906579004379
"14","HOR","TempControl-7psu",0.432042948301388,0.150867607948682
"15","HOR","TempWarm-16psu",3.83524504103887,2.2668066156033
"16","HOR","TempWarm-5psu",3.17721150313006,1.03116585211047
"17","KAL","TempControl-21psu",1.8441951975288,1.90700336678825
"18","KAL","TempControl-7psu",0.152256664830633,0.0640553247124793
"19","KAL","TempWarm-16psu",2.91081922223874,1.90547836276784
"20","KAL","TempWarm-5psu",2.32663272549324,0.79869649647517
"21","KUR","TempControl-21psu",1.74213838116888,1.74852087407919
"22","KUR","TempControl-7psu",0.330410439075977,0.114352795545596
"23","KUR","TempWarm-16psu",3.31676322402906,1.92544778328492
"24","KUR","TempWarm-5psu",2.96538090437075,0.982261772471823
"25","VAT","TempControl-21psu",0.808669398337089,0.477675605974985
"26","VAT","TempControl-7psu",2.16901628591767,2.45614098161137
"27","VAT","TempWarm-16psu",3.59739514470587,1.60637521429376
"28","VAT","TempWarm-5psu",5.41438312359487,3.43249765087244
"29","VIK","TempControl-21psu",0.465946291624406,0.25171794225283
"30","VIK","TempControl-7psu",1.27456451478996,1.16044394696002
"31","VIK","TempWarm-16psu",2.72396714558599,1.03085306439506
"32","VIK","TempWarm-5psu",4.12712662673402,2.05270697120617
