"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt","block","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"BAR_gen-21","161_B2_BAR_gen-21_TempWarm-16psu","BAR","gen-21",161,"B2","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,39.5,2.09,FALSE,4,2,0.3,22.8,7.5,NA,NA,NA,NA,NA,5.6,27.6,NA,NA,NA,NA,1,2,3.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.45,0.04,0,1.56,"N",1,NA,NA,"BAR_TempWarm_16psu","21",16.175,16.1,16.1,16.4,0.149999999999999,25.8957324470566,26.123564453125,16.55677734375,31.700615234375,2.36168510535851,9,5,"9_5",80.5,2.0379746835443,-0.53,-0.253588516746411,0.420560747663551
"BAR_gen-25","197_B3_BAR_gen-25_TempWarm-16psu","BAR","gen-25",197,"B3","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,33.7,1.43,FALSE,3,2,0.3,13.6,NA,NA,NA,NA,NA,NA,33,19.1,NA,NA,NA,NA,1,2,5.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.39,0.03,0,1.57,"N",1,NA,NA,"BAR_TempWarm_16psu","1",16.075,16,16,16.3,0.15,25.8228915576884,26.0806640625,16.04197265625,32.00091796875,2.41059776241806,10,9,"10_9",74,2.19584569732938,0.14,0.097902097902098,0.339130434782609
"BAR_gen-27","210_B3_BAR_gen-27_TempWarm-16psu","BAR","gen-27",210,"B3","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,38.1,2.25,FALSE,4,2,0.3,10,22,NA,NA,NA,NA,NA,12.5,3.4,NA,NA,NA,NA,1,2,8.3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.47,0.11,0,1.56,"N",1,NA,NA,"BAR_TempWarm_16psu","3",16.1,16.05,16,16.3,0.14142135623731,25.8228915576884,26.0806640625,16.04197265625,32.00091796875,2.41059776241806,13,10,"13_10",70.7,1.85564304461942,-0.69,-0.306666666666667,0.479591836734694
"BAR_gen-29","230_B4_BAR_gen-29_TempWarm-16psu","BAR","gen-29",230,"B4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,40,1.65,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10.1,9.2,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0,0.09,0,1.4,"N",1,NA,NA,"BAR_TempWarm_16psu","5",16.15,16.15,16.1,16.2,0.0577350269189613,25.5085056840722,25.7374609375,16.21357421875,31.4003125,2.46520222039827,10,14,"10_14",32.1,0.8025,-0.25,-0.151515151515152,0
"BAR_gen-33","262_C1_BAR_gen-33_TempControl-21psu","BAR","gen-33",262,"C1","21psu","TempControl","TempControl_21psu",5,FALSE,0,19.5,1.17,FALSE,5,3,0.2,13.6,5.9,NA,NA,NA,NA,NA,17.3,6.8,20.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.39,0,0,1.27,"N",1,NA,NA,"BAR_TempControl_21psu","9",21.1,21.1,21.1,21.1,0,20.083437929056,20.2462109375,16.084873046875,25.9090625,1.69711366532744,18,2,"18_2",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818
"BAR_gen-35","276_C1_BAR_gen-35_TempControl-21psu","BAR","gen-35",276,"C1","21psu","TempControl","TempControl_21psu",6,FALSE,0,55,4.69,FALSE,4,3,0.3,18.8,NA,NA,NA,NA,NA,NA,22.1,4.8,27,NA,NA,NA,2,2,1,5.8,NA,NA,NA,NA,4,16.9,11.1,23,12.3,NA,3.64,0.56,0.02,0.3,4.52,"N",1,NA,NA,"BAR_TempControl_21psu","11",21.225,21.2,21.2,21.3,0.0500000000000007,20.083437929056,20.2462109375,16.084873046875,25.9090625,1.69711366532744,21,4,"21_4",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154
"BAR_gen-37","291_C2_BAR_gen-37_TempControl-21psu","BAR","gen-37",291,"C2","21psu","TempControl","TempControl_21psu",4,FALSE,0,26.4,2.75,TRUE,4,2,0.3,3.3,12.7,NA,NA,NA,NA,NA,17.5,12.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.3,0,0,1.25,"N",1,NA,NA,"BAR_TempControl_21psu","13",21.3666666666667,21.4,21.3,21.4,0.0577350269189613,20.0892158453973,20.16041015625,15.484267578125,26.85287109375,1.77596359359365,17,7,"17_7",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421
"BAR_gen-39","308_C2_BAR_gen-39_TempControl-21psu","BAR","gen-39",308,"C2","21psu","TempControl","TempControl_21psu",4,FALSE,0,37.5,1.95,FALSE,4,2,0.3,26.2,12,NA,NA,NA,NA,NA,15.1,30.3,NA,NA,NA,NA,2,3,7.4,9.5,7,NA,NA,NA,5,10.2,8.8,19.5,16.8,19.9,2.48,0.64,0.08,0.28,3.48,"N",1,NA,NA,"BAR_TempControl_21psu","15",21.3666666666667,21.4,21.3,21.4,0.0577350269189613,20.0892158453973,20.16041015625,15.484267578125,26.85287109375,1.77596359359365,21,8,"21_8",182.7,4.872,1.53,0.784615384615385,0.258064516129032
"BAR_gen-40","320_C2_BAR_gen-40_TempControl-7psu","BAR","gen-40",320,"C2","7psu","TempControl","TempControl_7psu",5,FALSE,0,43,2.58,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,17.8,16.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.17,0,0,1.76,"N",1,NA,NA,"BAR_TempControl_7psu","16",7.1,7.1,7.1,7.1,0,20.0892158453973,20.16041015625,15.484267578125,26.85287109375,1.77596359359365,24,8,"24_8",44.1,1.02558139534884,-0.82,-0.317829457364341,0.106918238993711
"BAR_gen-41","325_C3_BAR_gen-41_TempControl-21psu","BAR","gen-41",325,"C3","21psu","TempControl","TempControl_21psu",4,FALSE,0,22,1.63,FALSE,6,2,0.3,9.8,23.7,0.3,NA,NA,NA,NA,4,28.8,4,NA,NA,NA,1,5,7,2.7,17.6,12.1,13.9,NA,NA,NA,NA,NA,NA,NA,1.95,0.53,0.16,0,2.64,"N",1,NA,NA,"BAR_TempControl_21psu","17",21.25,21.25,21.2,21.3,0.0577350269189634,20.0545752801425,20.203310546875,13.939853515625,24.150146484375,1.76645439081661,18,9,"18_9",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872
