"","DNA_label","tank_ID","setupKey","setupLabel","bagKey","setupTimestamp","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","leaf_width_hole","weight_start","IsBlackLesions_start","bagnum","pop","genet","bagnum_num","new_label","need.DNA..","sal_full","temp_full","nbr_leaves","length_longest_leaf","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","Length_flower1","Length_bract1","Length_flower2","Length_bract2","Length_flower3","Length_bract3","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","picture.","isAlive","Comment","trt"
"11","BAR_gen-11","A3","bbd91b4d","083_A3_BAR_gen-11_TempWarm-16psu07/04/2024 07:31:27","B66B32E2","7/4/2024 7:31:27",5,FALSE,0,37,NA,1.93,FALSE,"083","BAR","gen-11",83,"083_A3_BAR_gen-11_TempWarm-16psu","yes","16psu","TempWarm",5,37,4,3,0.3,4.7,12.4,NA,NA,NA,NA,NA,17.5,9.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0.81,0,0,2.1,"N","Y",TRUE,"super baby leaf, too small to measure","TempWarm_16psu"
"12","BAR_gen-12","A3","0386a6b9","090_A3_BAR_gen-12_TempWarm-5psu07/04/2024 07:33:09","C5A68D33","7/4/2024 7:33:09",6,TRUE,2,38,NA,1.9,TRUE,"090","BAR","gen-12",90,"090_A3_BAR_gen-12_TempWarm-5psu","","5psu","TempWarm",6,38,3,2,0.2,8.2,NA,NA,NA,NA,NA,NA,3.9,11.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.13,0,0,1.38,"N","Y",TRUE,"super baby leaf, too small to measure","TempWarm_5psu"
"13","BAR_gen-13","A4","836a9641","100_A4_BAR_gen-13_TempWarm-16psu07/04/2024 07:35:14","97E60232","7/4/2024 7:35:14",4,FALSE,0,33,NA,2.33,FALSE,"100","BAR","gen-13",100,"100_A4_BAR_gen-13_TempWarm-16psu","yes","16psu","TempWarm",4,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.3,1.4,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0,0.03,0,1.35,"N","Y",TRUE,"main shoot was dead, side shoot still alive","TempWarm_16psu"
"14","BAR_gen-14","A4","3c497dac","110_A4_BAR_gen-14_TempWarm-5psu07/04/2024 07:36:52","907867F8","7/4/2024 7:36:52",5,TRUE,2,31.6,NA,1.96,FALSE,"110","BAR","gen-14",110,"110_A4_BAR_gen-14_TempWarm-5psu","absolutely yes","5psu","TempWarm",5,31.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"15","BAR_gen-15","A4","1010e62f","114_A4_BAR_gen-15_TempWarm-16psu07/04/2024 07:38:30","165AB158","7/4/2024 7:38:30",5,FALSE,0,35,NA,1.67,FALSE,"114","BAR","gen-15",114,"114_A4_BAR_gen-15_TempWarm-16psu","yes","16psu","TempWarm",5,35,3,2,0.25,12.6,NA,NA,NA,NA,NA,NA,14.6,2.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.17,0,0,0.94,"N","Y",TRUE,"","TempWarm_16psu"
"16","BAR_gen-16","A4","b5cdf079","127_A4_BAR_gen-16_TempWarm-5psu07/04/2024 07:40:01","80D13F8D","7/4/2024 7:40:01",5,FALSE,0,40.5,NA,2.76,FALSE,"127","BAR","gen-16",127,"127_A4_BAR_gen-16_TempWarm-5psu","","5psu","TempWarm",5,40.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"17","BAR_gen-17","B1","11c877f3","129_B1_BAR_gen-17_TempWarm-16psu07/04/2024 07:41:50","E21EC2FC","7/4/2024 7:41:50",6,TRUE,2,39.2,NA,2.19,TRUE,"129","BAR","gen-17",129,"129_B1_BAR_gen-17_TempWarm-16psu","","16psu","TempWarm",6,39.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"18","BAR_gen-18","B1","610d41ad","138_B1_BAR_gen-18_TempWarm-5psu07/04/2024 07:43:58","6D28C642","7/4/2024 7:43:58",5,FALSE,0,24.7,NA,1.4,FALSE,"138","BAR","gen-18",138,"138_B1_BAR_gen-18_TempWarm-5psu","","5psu","TempWarm",5,24.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"19","BAR_gen-19","B1","a34978c7","149_B1_BAR_gen-19_TempWarm-16psu07/04/2024 07:45:09","D054476E","7/4/2024 7:45:09",6,TRUE,1,41.7,NA,2.08,FALSE,"149","BAR","gen-19",149,"149_B1_BAR_gen-19_TempWarm-16psu","yes","16psu","TempWarm",6,41.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"20","BAR_gen-20","B1","dec8d1da","154_B1_BAR_gen-20_TempWarm-5psu07/04/2024 07:47:09","9AB415E6","7/4/2024 7:47:09",5,FALSE,0,30.5,NA,1.21,FALSE,"154","BAR","gen-20",154,"154_B1_BAR_gen-20_TempWarm-5psu","yes","5psu","TempWarm",5,30.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"21","BAR_gen-21","B2","aa877383","161_B2_BAR_gen-21_TempWarm-16psu07/04/2024 07:48:56","009F4461","7/4/2024 7:48:56",4,FALSE,0,39.5,NA,2.09,FALSE,"161","BAR","gen-21",161,"161_B2_BAR_gen-21_TempWarm-16psu","","16psu","TempWarm",4,39.5,4,2,0.3,22.8,7.5,NA,NA,NA,NA,NA,5.6,27.6,NA,NA,NA,NA,1,2,3.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.45,0.04,0,1.56,"N","Y",TRUE,"","TempWarm_16psu"
"22","BAR_gen-22","B2","6795a9e0","173_B2_BAR_gen-22_TempWarm-5psu07/04/2024 07:51:06","A360A4BC","7/4/2024 7:51:06",4,FALSE,0,67.5,NA,3.54,FALSE,"173","BAR","gen-22",173,"173_B2_BAR_gen-22_TempWarm-5psu","yes","5psu","TempWarm",4,67.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"23","BAR_gen-23","B2","61a9c776","182_B2_BAR_gen-23_TempWarm-16psu07/04/2024 07:52:33","42D822BF","7/4/2024 7:52:33",4,FALSE,0,37,NA,1.48,FALSE,"182","BAR","gen-23",182,"182_B2_BAR_gen-23_TempWarm-16psu","yes","16psu","TempWarm",4,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"24","BAR_gen-24","B2","f769dedb","192_B2_BAR_gen-24_TempWarm-5psu07/04/2024 07:54:31","E8864319","7/4/2024 7:54:31",5,FALSE,0,37,NA,2.82,FALSE,"192","BAR","gen-24",192,"192_B2_BAR_gen-24_TempWarm-5psu","","5psu","TempWarm",5,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"25","BAR_gen-25","B3","7d5c3069","197_B3_BAR_gen-25_TempWarm-16psu07/05/2024 07:29:36","81FC2B84","7/5/2024 7:29:36",4,FALSE,0,33.7,NA,1.43,FALSE,"197","BAR","gen-25",197,"197_B3_BAR_gen-25_TempWarm-16psu","yes","16psu","TempWarm",4,33.7,3,2,0.3,13.6,NA,NA,NA,NA,NA,NA,33,19.1,NA,NA,NA,NA,1,2,5.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.39,0.03,0,1.57,"N","Y",TRUE,"had side shoot but it was rotten from meristem - this shoot leaf1 had a hole at 5","TempWarm_16psu"
"26","BAR_gen-26","B3","ae84148c","208_B3_BAR_gen-26_TempWarm-5psu07/05/2024 07:33:06","4D2B82F5","7/5/2024 7:33:06",5,FALSE,0,47.5,NA,3.53,FALSE,"208","BAR","gen-26",208,"208_B3_BAR_gen-26_TempWarm-5psu","","5psu","TempWarm",5,47.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"27","BAR_gen-27","B3","daad4fe4","210_B3_BAR_gen-27_TempWarm-16psu07/05/2024 07:33:57","4EF6DA2E","7/5/2024 7:33:57",5,FALSE,0,38.1,NA,2.25,FALSE,"210","BAR","gen-27",210,"210_B3_BAR_gen-27_TempWarm-16psu","yes","16psu","TempWarm",5,38.1,4,2,0.3,10,22,NA,NA,NA,NA,NA,12.5,3.4,NA,NA,NA,NA,1,2,8.3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.47,0.11,0,1.56,"N","Y",TRUE,"","TempWarm_16psu"
"28","BAR_gen-28","B3","a673447e","219_B3_BAR_gen-28_TempWarm-5psu07/05/2024 07:35:44","61228BCA","7/5/2024 7:35:44",4,FALSE,0,31.3,NA,1.97,FALSE,"219","BAR","gen-28",219,"219_B3_BAR_gen-28_TempWarm-5psu","","5psu","TempWarm",4,31.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"29","BAR_gen-29","B4","c8f4be74","230_B4_BAR_gen-29_TempWarm-16psu07/05/2024 07:36:58","F7DD756B","7/5/2024 7:36:58",4,FALSE,0,40,NA,1.65,FALSE,"230","BAR","gen-29",230,"230_B4_BAR_gen-29_TempWarm-16psu","absolutely yes","16psu","TempWarm",4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10.1,9.2,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0,0.09,0,1.4,"N","Y",TRUE,"main shoot was dead, side shoot still alive","TempWarm_16psu"
"30","BAR_gen-30","B4","e34624f6","235_B4_BAR_gen-30_TempWarm-5psu07/05/2024 07:37:50","BE788BE4","7/5/2024 7:37:50",5,FALSE,0,27.8,NA,1.74,TRUE,"235","BAR","gen-30",235,"235_B4_BAR_gen-30_TempWarm-5psu","","5psu","TempWarm",5,27.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"31","BAR_gen-31","B4","88a2c623","244_B4_BAR_gen-31_TempWarm-16psu07/05/2024 07:39:14","E9CC5A43","7/5/2024 7:39:14",5,FALSE,0,45,NA,2.84,FALSE,"244","BAR","gen-31",244,"244_B4_BAR_gen-31_TempWarm-16psu","yes","16psu","TempWarm",5,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"32","BAR_gen-32","B4","c1a394fa","249_B4_BAR_gen-32_TempWarm-5psu07/05/2024 07:41:04","B33461F4","7/5/2024 7:41:04",4,FALSE,0,29.4,NA,1.05,FALSE,"249","BAR","gen-32",249,"249_B4_BAR_gen-32_TempWarm-5psu","","5psu","TempWarm",4,29.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"33","BAR_gen-33","C1","08c6887a","262_C1_BAR_gen-33_TempControl-21psu07/04/2024 16:38:55","E5AAD471","7/4/2024 16:38:55",5,FALSE,0,19.5,NA,1.17,FALSE,"262","BAR","gen-33",262,"262_C1_BAR_gen-33_TempControl-21psu","yes","21psu","TempControl",5,19.5,5,3,0.2,13.6,5.9,NA,NA,NA,NA,NA,17.3,6.8,20.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.39,0,0,1.27,"N","Y",TRUE,"","TempControl_21psu"
"34","BAR_gen-34","C1","5e604f66","268_C1_BAR_gen-34_TempControl-7psu07/04/2024 16:41:21","0B640387","7/4/2024 16:41:21",5,FALSE,0,50,NA,3.67,FALSE,"268","BAR","gen-34",268,"268_C1_BAR_gen-34_TempControl-7psu","","7psu","TempControl",5,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"35","BAR_gen-35","C1","06945d75","276_C1_BAR_gen-35_TempControl-21psu07/04/2024 16:42:02","17891F3B","7/4/2024 16:42:02",6,FALSE,0,55,NA,4.69,FALSE,"276","BAR","gen-35",276,"276_C1_BAR_gen-35_TempControl-21psu","","21psu","TempControl",6,55,4,3,0.3,18.8,NA,NA,NA,NA,NA,NA,22.1,4.8,27,NA,NA,NA,2,2,1,5.8,NA,NA,NA,NA,4,16.9,11.1,23,12.3,NA,NA,NA,NA,NA,NA,NA,3.64,0.56,0.02,0.3,4.52,"N","Y",TRUE,"new shoot 1 is pretty rotten ; new shoot 2 has a hole on leaf4 at 7.8","TempControl_21psu"
"36","BAR_gen-36","C1","9b5f776e","288_C1_BAR_gen-36_TempControl-7psu07/04/2024 16:42:48","E51E7B7E","7/4/2024 16:42:48",5,FALSE,0,21.5,NA,2.16,FALSE,"288","BAR","gen-36",288,"288_C1_BAR_gen-36_TempControl-7psu","absolutely yes","7psu","TempControl",5,21.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"37","BAR_gen-37","C2","3f48108e","291_C2_BAR_gen-37_TempControl-21psu07/04/2024 16:43:39","D59B5AC1","7/4/2024 16:43:39",4,FALSE,0,26.4,NA,2.75,TRUE,"291","BAR","gen-37",291,"291_C2_BAR_gen-37_TempControl-21psu","absolutely yes","21psu","TempControl",4,26.4,4,2,0.3,3.3,12.7,NA,NA,NA,NA,NA,17.5,12.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.3,0,0,1.25,"N","Y",TRUE,"new leaf1 eaten at top","TempControl_21psu"
"38","BAR_gen-38","C2","baacadee","301_C2_BAR_gen-38_TempControl-7psu07/04/2024 16:45:14","E25E3B97","7/4/2024 16:45:14",4,FALSE,0,35.7,NA,1.21,TRUE,"301","BAR","gen-38",301,"301_C2_BAR_gen-38_TempControl-7psu","yes","7psu","TempControl",4,35.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"39","BAR_gen-39","C2","46ab5b33","308_C2_BAR_gen-39_TempControl-21psu07/04/2024 16:47:05","4928BDFF","7/4/2024 16:47:05",4,FALSE,0,37.5,NA,1.95,FALSE,"308","BAR","gen-39",308,"308_C2_BAR_gen-39_TempControl-21psu","yes","21psu","TempControl",4,37.5,4,2,0.3,26.2,12,NA,NA,NA,NA,NA,15.1,30.3,NA,NA,NA,NA,2,3,7.4,9.5,7,NA,NA,NA,5,10.2,8.8,19.5,16.8,19.9,NA,NA,NA,NA,NA,NA,2.48,0.64,0.08,0.28,3.48,"N","Y",TRUE,"new shoot 2 has a hole on leaf1 at 7.0","TempControl_21psu"
"40","BAR_gen-40","C2","d2c70435","320_C2_BAR_gen-40_TempControl-7psu07/04/2024 16:48:11","DA5A8CAD","7/4/2024 16:48:11",5,FALSE,0,43,NA,2.58,FALSE,"320","BAR","gen-40",320,"320_C2_BAR_gen-40_TempControl-7psu","","7psu","TempControl",5,43,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,17.8,16.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.17,0,0,1.76,"N","Y",TRUE,"main shoot was dead, side shoot still alive","TempControl_7psu"
"41","BAR_gen-41","C3","9e529ba1","325_C3_BAR_gen-41_TempControl-21psu07/05/2024 07:42:13","E2D20521","7/5/2024 7:42:13",4,FALSE,0,22,NA,1.63,FALSE,"325","BAR","gen-41",325,"325_C3_BAR_gen-41_TempControl-21psu","yes","21psu","TempControl",4,22,6,2,0.3,9.8,23.7,0.3,NA,NA,NA,NA,4,28.8,4,NA,NA,NA,1,5,7,2.7,17.6,12.1,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,0.53,0.16,0,2.64,"N","Y",TRUE,"new shoot 1 has a hole on leaf1, growth to 5","TempControl_21psu"
