"","DNA_label","tank_ID","setupKey","setupLabel","bagKey","setupTimestamp","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","leaf_width_hole","weight_start","IsBlackLesions_start","bagnum","pop","genet","bagnum_num","new_label","need.DNA..","sal_full","temp_full","nbr_leaves","length_longest_leaf","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","Length_flower1","Length_bract1","Length_flower2","Length_bract2","Length_flower3","Length_bract3","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","picture.","isAlive","Comment","trt"
"42","BAR_gen-42","C3","d7c8f138","329_C3_BAR_gen-42_TempControl-7psu07/05/2024 07:42:46","78740BAF","7/5/2024 7:42:46",5,TRUE,2,19.3,NA,1.24,FALSE,"329","BAR","gen-42",329,"329_C3_BAR_gen-42_TempControl-7psu","yes","7psu","TempControl",5,19.3,5,4,0.2,12,NA,NA,NA,NA,NA,NA,20.9,15.1,2.1,18.7,NA,NA,2,5,9.8,14.6,6.5,14.6,13.7,NA,5,8.2,9.6,3.6,9.4,10.2,NA,NA,NA,NA,NA,NA,1.12,0.3,0.22,0.13,1.77,"N","Y",TRUE,"new shoot 1 has a hole on leaf1, growth to 8.6 ; missing leaf of length 15.1 (new leaf 2) in picture and weight measurements","TempControl_7psu"
"43","BAR_gen-43","C3","b8a9e2c3","339_C3_BAR_gen-43_TempControl-21psu07/05/2024 07:44:00","C1C604DE","7/5/2024 7:44:00",5,FALSE,0,39.5,NA,3.13,TRUE,"339","BAR","gen-43",339,"339_C3_BAR_gen-43_TempControl-21psu","","21psu","TempControl",5,39.5,5,3,0.3,2.2,12.4,NA,NA,NA,NA,NA,27,20.7,6.2,NA,NA,NA,1,4,11.6,5.9,11.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.66,0.13,0,2.79,"Y","Y",TRUE,"new shoot 1 has a hole on leaf4, growth to 5.6","TempControl_21psu"
"44","BAR_gen-44","C3","130841ee","348_C3_BAR_gen-44_TempControl-7psu07/05/2024 07:45:03","E2931BCD","7/5/2024 7:45:03",5,FALSE,0,43.4,NA,2.73,FALSE,"348","BAR","gen-44",348,"348_C3_BAR_gen-44_TempControl-7psu","absolutely yes","7psu","TempControl",5,43.4,4,3,0.25,14.4,NA,NA,NA,NA,NA,NA,24.3,8.6,25,NA,NA,NA,1,4,8.5,11.8,9.6,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,0.61,0.12,0,2.15,"Y","Y",TRUE,"new shoot 1 has a hole on leaf1, growth to 8","TempControl_7psu"
"45","BAR_gen-45","C4","f6bd9b4d","358_C4_BAR_gen-45_TempControl-21psu07/05/2024 07:48:51","EFCF3073","7/5/2024 7:48:51",5,FALSE,0,35.7,NA,3.13,TRUE,"358","BAR","gen-45",358,"358_C4_BAR_gen-45_TempControl-21psu","","21psu","TempControl",5,35.7,5,3,0.3,12.4,3.1,NA,NA,NA,NA,NA,26.6,6.1,33.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.99,0,0,2.58,"Y","Y",TRUE,"","TempControl_21psu"
"46","BAR_gen-46","C4","9c950618","365_C4_BAR_gen-46_TempControl-7psu07/05/2024 07:50:21","F4B5BC48","7/5/2024 7:50:21",5,FALSE,0,43.1,NA,2.93,FALSE,"365","BAR","gen-46",365,"365_C4_BAR_gen-46_TempControl-7psu","yes","7psu","TempControl",5,43.1,2,2,0.2,NA,NA,NA,NA,NA,NA,NA,27.5,18.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0.26,0,0,1.48,"N","Y",TRUE,"","TempControl_7psu"
"47","BAR_gen-47","C4","7856eb34","376_C4_BAR_gen-47_TempControl-21psu07/05/2024 07:53:40","2924382A","7/5/2024 7:53:40",4,FALSE,0,35.9,NA,1.73,FALSE,"376","BAR","gen-47",376,"376_C4_BAR_gen-47_TempControl-21psu","absolutely yes","21psu","TempControl",4,35.9,4,2,0.25,5.2,24.5,NA,NA,NA,NA,NA,35.9,17.5,NA,NA,NA,NA,1,4,14,7.3,10,0.4,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,0.66,0.08,0,2.11,"N","Y",TRUE,"new shoot 1 has a hole on leaf3, growth to 9.5","TempControl_21psu"
"48","BAR_gen-48","C4","d476ac85","379_C4_BAR_gen-48_TempControl-7psu07/05/2024 07:54:45","6AFDA286","7/5/2024 7:54:45",4,FALSE,0,32.7,NA,1.91,FALSE,"379","BAR","gen-48",379,"379_C4_BAR_gen-48_TempControl-7psu","","7psu","TempControl",4,32.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"49","BJO_gen-01","A1","53ed77f4","008_A1_BJO_gen-01_TempControl-21psu07/04/2024 08:07:53","6A6DBE63","7/4/2024 8:07:53",5,TRUE,2,26.7,NA,2.69,TRUE,"008","BJO","gen-01",8,"008_A1_BJO_gen-01_TempControl-21psu","yes","21psu","TempControl",5,26.7,3,2,0.4,3.4,13.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,1,3,9,8.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,0.63,0.23,0,3.39,"Y","Y",TRUE,"","TempControl_21psu"
"50","BJO_gen-02","A1","e1f80995","011_A1_BJO_gen-02_TempControl-7psu07/04/2024 08:09:49","7350357C","7/4/2024 8:09:49",6,TRUE,2,43.5,NA,2.99,FALSE,"011","BJO","gen-02",11,"011_A1_BJO_gen-02_TempControl-7psu","","7psu","TempControl",6,43.5,5,2,0.4,16.5,34.7,4.8,NA,NA,NA,NA,36.8,21,NA,NA,NA,NA,1,3,16.6,9.3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,1.67,0.18,0,4.19,"N","Y",TRUE,"new shoot 1 has a hole on leaf3, growth to hole is 11","TempControl_7psu"
"51","BJO_gen-03","A1","29211ef7","020_A1_BJO_gen-03_TempControl-21psu07/04/2024 08:12:15","BCAC6342","7/4/2024 8:12:15",6,TRUE,2,41,NA,3.48,FALSE,"020","BJO","gen-03",20,"020_A1_BJO_gen-03_TempControl-21psu","yes","21psu","TempControl",6,41,5,3,0.3,1.5,10.1,NA,NA,NA,NA,NA,40.5,12.9,36.8,NA,NA,NA,1,3,13.9,14.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1.4,0.14,0,4.24,"N","Y",TRUE,"new shoot 1 has a hole on leaf2, growth to hole is 2.1","TempControl_21psu"
"52","BJO_gen-04","A1","cb09696d","032_A1_BJO_gen-04_TempControl-7psu07/04/2024 08:14:02","8E61A8D8","7/4/2024 8:14:02",5,FALSE,0,39.5,NA,3.07,FALSE,"032","BJO","gen-04",32,"032_A1_BJO_gen-04_TempControl-7psu","absolutely yes","7psu","TempControl",5,39.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"53","BJO_gen-05","A2","ec00515f","036_A2_BJO_gen-05_TempControl-21psu07/04/2024 08:15:17","07A21C15","7/4/2024 8:15:17",6,TRUE,2,38.2,NA,2.67,FALSE,"036","BJO","gen-05",36,"036_A2_BJO_gen-05_TempControl-21psu","absolutely yes","21psu","TempControl",6,38.2,3,1,0.3,22,7.6,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,1,2,3.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.68,0.05,0,2.64,"Y","Y",TRUE,"new shoot 1 has a hole on leaf2, growth to hole is 9.6 ; super baby leaf, too small to measure","TempControl_21psu"
"54","BJO_gen-06","A2","7955f6a7","043_A2_BJO_gen-06_TempControl-7psu07/04/2024 08:17:31","1C0011C4","7/4/2024 8:17:31",5,FALSE,0,42.5,NA,3.31,FALSE,"043","BJO","gen-06",43,"043_A2_BJO_gen-06_TempControl-7psu","yes","7psu","TempControl",5,42.5,4,2,0.25,12.5,4.4,NA,NA,NA,NA,NA,6.6,12.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,0.32,0,0,2.78,"N","Y",TRUE,"","TempControl_7psu"
"55","BJO_gen-07","A2","713dc2e2","050_A2_BJO_gen-07_TempControl-21psu07/04/2024 08:18:36","DA48EA5D","7/4/2024 8:18:36",4,FALSE,0,34,NA,2.65,FALSE,"050","BJO","gen-07",50,"050_A2_BJO_gen-07_TempControl-21psu","yes","21psu","TempControl",4,34,4,2,0.35,19.9,4.9,NA,NA,NA,NA,NA,27.6,10.7,NA,NA,NA,NA,1,1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,0.69,0.07,0,2.38,"N","Y",TRUE,"","TempControl_21psu"
"56","BJO_gen-08","A2","45c5d04d","058_A2_BJO_gen-08_TempControl-7psu07/04/2024 08:20:11","CB7DCA43","7/4/2024 8:20:11",6,TRUE,2,34.5,NA,3.37,FALSE,"058","BJO","gen-08",58,"058_A2_BJO_gen-08_TempControl-7psu","yes","7psu","TempControl",6,34.5,4,2,0.4,8.2,18,NA,NA,NA,NA,NA,18.5,10,NA,NA,NA,NA,2,4,14.5,7.4,13.8,13.8,NA,NA,3,9,1.9,8.8,NA,NA,NA,NA,NA,NA,NA,NA,2.04,0.64,0.2,0.09,2.97,"N","Y",TRUE,"","TempControl_7psu"
"57","BJO_gen-09","A3","e05e7db5","069_A3_BJO_gen-09_TempWarm-16psu07/04/2024 08:21:51","5ACBB993","7/4/2024 8:21:51",6,FALSE,0,36.7,NA,2.97,FALSE,"069","BJO","gen-09",69,"069_A3_BJO_gen-09_TempWarm-16psu","","16psu","TempWarm",6,36.7,3,2,0.3,21,NA,NA,NA,NA,NA,NA,4.7,17.4,NA,NA,NA,NA,1,3,10.5,2.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.29,0.05,0,2.04,"N","Y",TRUE,"new shoot 1 has a hole on leaf3, growth to hole is 8.5","TempWarm_16psu"
"58","BJO_gen-10","A3","2a78410b","079_A3_BJO_gen-10_TempWarm-5psu07/04/2024 08:23:29","2314F740","7/4/2024 8:23:29",6,TRUE,2,39.3,NA,2.66,FALSE,"079","BJO","gen-10",79,"079_A3_BJO_gen-10_TempWarm-5psu","","5psu","TempWarm",6,39.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"59","BJO_gen-11","A3","851c7f7f","082_A3_BJO_gen-11_TempWarm-16psu07/04/2024 08:25:02","A87C20E7","7/4/2024 8:25:02",6,TRUE,2,35,NA,2.87,TRUE,"082","BJO","gen-11",82,"082_A3_BJO_gen-11_TempWarm-16psu","absolutely yes","16psu","TempWarm",6,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"60","BJO_gen-12","A3","3b53e339","091_A3_BJO_gen-12_TempWarm-5psu07/04/2024 08:26:45","9BDBC70E","7/4/2024 8:26:45",6,TRUE,2,36.4,NA,3.58,FALSE,"091","BJO","gen-12",91,"091_A3_BJO_gen-12_TempWarm-5psu","absolutely yes","5psu","TempWarm",6,36.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"61","BJO_gen-13","A4","97271c2f","098_A4_BJO_gen-13_TempWarm-16psu07/04/2024 08:27:57","5B5747E3","7/4/2024 8:27:57",7,TRUE,2,33,NA,3.33,FALSE,"098","BJO","gen-13",98,"098_A4_BJO_gen-13_TempWarm-16psu","","16psu","TempWarm",4,61.2,3,1,0.3,21.9,11,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.53,0,0,2.42,"N","Y",TRUE,"super baby leaf, too small to measure","TempWarm_16psu"
"62","BJO_gen-14","A4","92e1efce","107_A4_BJO_gen-14_TempWarm-5psu07/04/2024 08:29:21","EFD2763B","7/4/2024 8:29:21",5,TRUE,2,28,NA,2.73,FALSE,"107","BJO","gen-14",107,"107_A4_BJO_gen-14_TempWarm-5psu","yes","5psu","TempWarm",5,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"63","BJO_gen-15","A4","9d10d7e0","118_A4_BJO_gen-15_TempWarm-16psu07/04/2024 08:32:30","133C5B79","7/4/2024 8:32:30",5,FALSE,0,31.5,NA,3.92,FALSE,"118","BJO","gen-15",118,"118_A4_BJO_gen-15_TempWarm-16psu","yes","16psu","TempWarm",5,31.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"64","BJO_gen-16","A4","6b276bf1","122_A4_BJO_gen-16_TempWarm-5psu07/04/2024 08:33:33","26D4DE97","7/4/2024 8:33:33",5,FALSE,0,37.1,NA,3.41,FALSE,"122","BJO","gen-16",122,"122_A4_BJO_gen-16_TempWarm-5psu","absolutely yes","5psu","TempWarm",5,37.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"65","BJO_gen-17","B1","16aee81e","133_B1_BJO_gen-17_TempWarm-16psu07/04/2024 08:35:14","E44B9AA1","7/4/2024 8:35:14",4,FALSE,0,29.7,NA,2.26,FALSE,"133","BJO","gen-17",133,"133_B1_BJO_gen-17_TempWarm-16psu","yes","16psu","TempWarm",4,29.7,4,2,0.35,2.5,11.7,NA,NA,NA,NA,NA,9.4,0.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.31,0,0,1.87,"Y","Y",TRUE,"","TempWarm_16psu"
"66","BJO_gen-18","B1","e3c707d8","141_B1_BJO_gen-18_TempWarm-5psu07/04/2024 08:38:13","FD28FE5E","7/4/2024 8:38:13",5,TRUE,1,27.4,NA,4.62,FALSE,"141","BJO","gen-18",141,"141_B1_BJO_gen-18_TempWarm-5psu","yes","5psu","TempWarm",5,27.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"67","BJO_gen-19","B1","5bdd051b","145_B1_BJO_gen-19_TempWarm-16psu07/04/2024 08:40:52","E49AF12A","7/4/2024 8:40:52",5,FALSE,0,29.7,NA,3.3,FALSE,"145","BJO","gen-19",145,"145_B1_BJO_gen-19_TempWarm-16psu","yes","16psu","TempWarm",5,29.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"68","BJO_gen-20","B1","87b37985","155_B1_BJO_gen-20_TempWarm-5psu07/04/2024 08:41:48","A9D8E27C","7/4/2024 8:41:48",4,FALSE,0,30.5,NA,2.81,FALSE,"155","BJO","gen-20",155,"155_B1_BJO_gen-20_TempWarm-5psu","","5psu","TempWarm",4,30.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"69","BJO_gen-21","B2","7eeca5c2","167_B2_BJO_gen-21_TempWarm-16psu07/04/2024 08:43:57","8E0468F9","7/4/2024 8:43:57",5,FALSE,0,36.8,NA,4.13,FALSE,"167","BJO","gen-21",167,"167_B2_BJO_gen-21_TempWarm-16psu","","16psu","TempWarm",5,36.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"70","BJO_gen-22","B2","53d4b9be","174_B2_BJO_gen-22_TempWarm-5psu07/04/2024 08:45:39","5D817BBE","7/4/2024 8:45:39",4,FALSE,0,52.4,NA,3.36,FALSE,"174","BJO","gen-22",174,"174_B2_BJO_gen-22_TempWarm-5psu","","5psu","TempWarm",4,52.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"71","BJO_gen-23","B2","7b9388b6","179_B2_BJO_gen-23_TempWarm-16psu07/04/2024 08:48:33","066B3EF1","7/4/2024 8:48:33",6,TRUE,2,21.2,NA,2.18,FALSE,"179","BJO","gen-23",179,"179_B2_BJO_gen-23_TempWarm-16psu","yes","16psu","TempWarm",6,21.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"72","BJO_gen-24","B2","855d5632","185_B2_BJO_gen-24_TempWarm-5psu07/04/2024 08:50:05","9606B041","7/4/2024 8:50:05",4,FALSE,0,35.7,NA,3.52,FALSE,"185","BJO","gen-24",185,"185_B2_BJO_gen-24_TempWarm-5psu","yes","5psu","TempWarm",4,35.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"73","BJO_gen-25","B3","fc5069aa","195_B3_BJO_gen-25_TempWarm-16psu07/05/2024 08:09:14","4AEB8C3C","7/5/2024 8:09:14",4,FALSE,0,30,NA,1.58,FALSE,"195","BJO","gen-25",195,"195_B3_BJO_gen-25_TempWarm-16psu","yes","16psu","TempWarm",4,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"74","BJO_gen-26","B3","afb1732d","202_B3_BJO_gen-26_TempWarm-5psu07/05/2024 08:11:42","7EBEC80E","7/5/2024 8:11:42",4,FALSE,0,24.6,NA,1.83,FALSE,"202","BJO","gen-26",202,"202_B3_BJO_gen-26_TempWarm-5psu","yes","5psu","TempWarm",4,24.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"75","BJO_gen-27","B3","d25a6137","213_B3_BJO_gen-27_TempWarm-16psu07/05/2024 08:14:04","19FBC95D","7/5/2024 8:14:04",5,TRUE,2,38.1,NA,3.77,FALSE,"213","BJO","gen-27",213,"213_B3_BJO_gen-27_TempWarm-16psu","absolutely yes","16psu","TempWarm",5,38.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_16psu"
"76","BJO_gen-28","B3","566560a8","224_B3_BJO_gen-28_TempWarm-5psu07/05/2024 08:16:07","ED9164F5","7/5/2024 8:16:07",4,FALSE,0,37,NA,2.94,FALSE,"224","BJO","gen-28",224,"224_B3_BJO_gen-28_TempWarm-5psu","yes","5psu","TempWarm",4,37,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"77","BJO_gen-29","B4","64ab2ff5","225_B4_BJO_gen-29_TempWarm-16psu07/05/2024 08:19:35","4A02D0E7","7/5/2024 8:19:35",4,FALSE,0,24.3,NA,1.45,FALSE,"225","BJO","gen-29",225,"225_B4_BJO_gen-29_TempWarm-16psu","yes","16psu","TempWarm",4,24.3,3,1,0.3,15.6,6.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.27,0,0,0.95,"Y","Y",TRUE,"","TempWarm_16psu"
"78","BJO_gen-30","B4","986153b8","233_B4_BJO_gen-30_TempWarm-5psu07/05/2024 08:20:46","BB87AD6E","7/5/2024 8:20:46",4,FALSE,0,40,NA,2.62,FALSE,"233","BJO","gen-30",233,"233_B4_BJO_gen-30_TempWarm-5psu","","5psu","TempWarm",4,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"79","BJO_gen-31","B4","ed28bf64","248_B4_BJO_gen-31_TempWarm-16psu07/05/2024 08:21:56","460B2716","7/5/2024 8:21:56",4,FALSE,0,24,NA,1.93,FALSE,"248","BJO","gen-31",248,"248_B4_BJO_gen-31_TempWarm-16psu","","16psu","TempWarm",4,24,4,2,0.3,4.8,15.2,NA,NA,NA,NA,NA,10.2,0.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.38,0,0,1.58,"N","Y",TRUE,"","TempWarm_16psu"
"80","BJO_gen-32","B4","47468663","253_B4_BJO_gen-32_TempWarm-5psu07/05/2024 08:23:01","F7DF5B58","7/5/2024 8:23:01",4,FALSE,0,26,NA,1.6,FALSE,"253","BJO","gen-32",253,"253_B4_BJO_gen-32_TempWarm-5psu","yes","5psu","TempWarm",4,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempWarm_5psu"
"81","BJO_gen-33","C1","340bff14","258_C1_BJO_gen-33_TempControl-21psu07/04/2024 16:50:05","09420C72","7/4/2024 16:50:05",6,TRUE,2,40.2,NA,4.41,TRUE,"258","BJO","gen-33",258,"258_C1_BJO_gen-33_TempControl-21psu","","21psu","TempControl",6,40.2,3,2,0.3,17.2,NA,NA,NA,NA,NA,NA,33,18.9,NA,NA,NA,NA,2,2,1.8,7.8,NA,NA,NA,NA,3,10.6,4.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,1.96,0.56,0.07,0.09,2.68,"Y","Y",TRUE,"new shoot 2 has a hole on leaf1, growth to hole is 6.9","TempControl_21psu"
"82","BJO_gen-34","C1","4ec93c45","267_C1_BJO_gen-34_TempControl-7psu07/04/2024 16:54:09","E99CB1D2","7/4/2024 16:54:09",4,FALSE,0,32,NA,2.49,TRUE,"267","BJO","gen-34",267,"267_C1_BJO_gen-34_TempControl-7psu","","7psu","TempControl",4,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,FALSE,"DEAD","TempControl_7psu"
"83","BJO_gen-35","C1","44d439db","277_C1_BJO_gen-35_TempControl-21psu07/04/2024 16:56:32","5543AC1E","7/4/2024 16:56:32",6,FALSE,0,38.5,NA,2.57,TRUE,"277","BJO","gen-35",277,"277_C1_BJO_gen-35_TempControl-21psu","","21psu","TempControl",6,38.5,3,2,0.3,21,NA,NA,NA,NA,NA,NA,36.9,10.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,0.54,0,0,2.31,"Y","Y",TRUE,"","TempControl_21psu"
