"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt"
"BAR_gen-11","083_A3_BAR_gen-11_TempWarm-16psu","BAR","gen-11",83,"A3","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,37,1.93,FALSE,4,3,0.3,4.7,12.4,NA,NA,NA,NA,NA,17.5,9.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29,0.81,0,0,2.1,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-12","090_A3_BAR_gen-12_TempWarm-5psu","BAR","gen-12",90,"A3","5psu","TempWarm","TempWarm_5psu",6,TRUE,2,38,1.9,TRUE,3,2,0.2,8.2,NA,NA,NA,NA,NA,NA,3.9,11.7,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,0.13,0,0,1.38,"N",1,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-13","100_A4_BAR_gen-13_TempWarm-16psu","BAR","gen-13",100,"A4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,33,2.33,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0.3,1.4,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,0,0.03,0,1.35,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-14","110_A4_BAR_gen-14_TempWarm-5psu","BAR","gen-14",110,"A4","5psu","TempWarm","TempWarm_5psu",5,TRUE,2,31.6,1.96,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-15","114_A4_BAR_gen-15_TempWarm-16psu","BAR","gen-15",114,"A4","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,35,1.67,FALSE,3,2,0.25,12.6,NA,NA,NA,NA,NA,NA,14.6,2.1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.17,0,0,0.94,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-16","127_A4_BAR_gen-16_TempWarm-5psu","BAR","gen-16",127,"A4","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,40.5,2.76,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-17","129_B1_BAR_gen-17_TempWarm-16psu","BAR","gen-17",129,"B1","16psu","TempWarm","TempWarm_16psu",6,TRUE,2,39.2,2.19,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-18","138_B1_BAR_gen-18_TempWarm-5psu","BAR","gen-18",138,"B1","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,24.7,1.4,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-19","149_B1_BAR_gen-19_TempWarm-16psu","BAR","gen-19",149,"B1","16psu","TempWarm","TempWarm_16psu",6,TRUE,1,41.7,2.08,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-20","154_B1_BAR_gen-20_TempWarm-5psu","BAR","gen-20",154,"B1","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,30.5,1.21,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-21","161_B2_BAR_gen-21_TempWarm-16psu","BAR","gen-21",161,"B2","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,39.5,2.09,FALSE,4,2,0.3,22.8,7.5,NA,NA,NA,NA,NA,5.6,27.6,NA,NA,NA,NA,1,2,3.6,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,0.45,0.04,0,1.56,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-22","173_B2_BAR_gen-22_TempWarm-5psu","BAR","gen-22",173,"B2","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,67.5,3.54,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-23","182_B2_BAR_gen-23_TempWarm-16psu","BAR","gen-23",182,"B2","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,37,1.48,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-24","192_B2_BAR_gen-24_TempWarm-5psu","BAR","gen-24",192,"B2","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,37,2.82,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-25","197_B3_BAR_gen-25_TempWarm-16psu","BAR","gen-25",197,"B3","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,33.7,1.43,FALSE,3,2,0.3,13.6,NA,NA,NA,NA,NA,NA,33,19.1,NA,NA,NA,NA,1,2,5.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.15,0.39,0.03,0,1.57,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-26","208_B3_BAR_gen-26_TempWarm-5psu","BAR","gen-26",208,"B3","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,47.5,3.53,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-27","210_B3_BAR_gen-27_TempWarm-16psu","BAR","gen-27",210,"B3","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,38.1,2.25,FALSE,4,2,0.3,10,22,NA,NA,NA,NA,NA,12.5,3.4,NA,NA,NA,NA,1,2,8.3,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.47,0.11,0,1.56,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-28","219_B3_BAR_gen-28_TempWarm-5psu","BAR","gen-28",219,"B3","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,31.3,1.97,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-29","230_B4_BAR_gen-29_TempWarm-16psu","BAR","gen-29",230,"B4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,40,1.65,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,10.1,9.2,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0,0.09,0,1.4,"N",1,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-30","235_B4_BAR_gen-30_TempWarm-5psu","BAR","gen-30",235,"B4","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,27.8,1.74,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-31","244_B4_BAR_gen-31_TempWarm-16psu","BAR","gen-31",244,"B4","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,45,2.84,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_16psu"
"BAR_gen-32","249_B4_BAR_gen-32_TempWarm-5psu","BAR","gen-32",249,"B4","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,29.4,1.05,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempWarm_5psu"
"BAR_gen-33","262_C1_BAR_gen-33_TempControl-21psu","BAR","gen-33",262,"C1","21psu","TempControl","TempControl_21psu",5,FALSE,0,19.5,1.17,FALSE,5,3,0.2,13.6,5.9,NA,NA,NA,NA,NA,17.3,6.8,20.6,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,0.39,0,0,1.27,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-34","268_C1_BAR_gen-34_TempControl-7psu","BAR","gen-34",268,"C1","7psu","TempControl","TempControl_7psu",5,FALSE,0,50,3.67,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-35","276_C1_BAR_gen-35_TempControl-21psu","BAR","gen-35",276,"C1","21psu","TempControl","TempControl_21psu",6,FALSE,0,55,4.69,FALSE,4,3,0.3,18.8,NA,NA,NA,NA,NA,NA,22.1,4.8,27,NA,NA,NA,2,2,1,5.8,NA,NA,NA,NA,4,16.9,11.1,23,12.3,NA,3.64,0.56,0.02,0.3,4.52,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-36","288_C1_BAR_gen-36_TempControl-7psu","BAR","gen-36",288,"C1","7psu","TempControl","TempControl_7psu",5,FALSE,0,21.5,2.16,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-37","291_C2_BAR_gen-37_TempControl-21psu","BAR","gen-37",291,"C2","21psu","TempControl","TempControl_21psu",4,FALSE,0,26.4,2.75,TRUE,4,2,0.3,3.3,12.7,NA,NA,NA,NA,NA,17.5,12.2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.3,0,0,1.25,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-38","301_C2_BAR_gen-38_TempControl-7psu","BAR","gen-38",301,"C2","7psu","TempControl","TempControl_7psu",4,FALSE,0,35.7,1.21,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempControl_7psu"
