"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt"
"BJO_gen-04","032_A1_BJO_gen-04_TempControl-7psu","BJO","gen-04",32,"A1","7psu","TempControl","TempControl_7psu",5,FALSE,0,39.5,3.07,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-05","036_A2_BJO_gen-05_TempControl-21psu","BJO","gen-05",36,"A2","21psu","TempControl","TempControl_21psu",6,TRUE,2,38.2,2.67,FALSE,3,1,0.3,22,7.6,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,1,2,3.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.68,0.05,0,2.64,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-06","043_A2_BJO_gen-06_TempControl-7psu","BJO","gen-06",43,"A2","7psu","TempControl","TempControl_7psu",5,FALSE,0,42.5,3.31,FALSE,4,2,0.25,12.5,4.4,NA,NA,NA,NA,NA,6.6,12.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46,0.32,0,0,2.78,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-07","050_A2_BJO_gen-07_TempControl-21psu","BJO","gen-07",50,"A2","21psu","TempControl","TempControl_21psu",4,FALSE,0,34,2.65,FALSE,4,2,0.35,19.9,4.9,NA,NA,NA,NA,NA,27.6,10.7,NA,NA,NA,NA,1,1,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,0.69,0.07,0,2.38,"N",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-08","058_A2_BJO_gen-08_TempControl-7psu","BJO","gen-08",58,"A2","7psu","TempControl","TempControl_7psu",6,TRUE,2,34.5,3.37,FALSE,4,2,0.4,8.2,18,NA,NA,NA,NA,NA,18.5,10,NA,NA,NA,NA,2,4,14.5,7.4,13.8,13.8,NA,NA,3,9,1.9,8.8,NA,NA,2.04,0.64,0.2,0.09,2.97,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-09","069_A3_BJO_gen-09_TempWarm-16psu","BJO","gen-09",69,"A3","16psu","TempWarm","TempWarm_16psu",6,FALSE,0,36.7,2.97,FALSE,3,2,0.3,21,NA,NA,NA,NA,NA,NA,4.7,17.4,NA,NA,NA,NA,1,3,10.5,2.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.29,0.05,0,2.04,"N",1,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-10","079_A3_BJO_gen-10_TempWarm-5psu","BJO","gen-10",79,"A3","5psu","TempWarm","TempWarm_5psu",6,TRUE,2,39.3,2.66,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-11","082_A3_BJO_gen-11_TempWarm-16psu","BJO","gen-11",82,"A3","16psu","TempWarm","TempWarm_16psu",6,TRUE,2,35,2.87,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-12","091_A3_BJO_gen-12_TempWarm-5psu","BJO","gen-12",91,"A3","5psu","TempWarm","TempWarm_5psu",6,TRUE,2,36.4,3.58,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-13","098_A4_BJO_gen-13_TempWarm-16psu","BJO","gen-13",98,"A4","16psu","TempWarm","TempWarm_16psu",7,TRUE,2,33,3.33,FALSE,3,1,0.3,21.9,11,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.53,0,0,2.42,"N",1,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-14","107_A4_BJO_gen-14_TempWarm-5psu","BJO","gen-14",107,"A4","5psu","TempWarm","TempWarm_5psu",5,TRUE,2,28,2.73,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-15","118_A4_BJO_gen-15_TempWarm-16psu","BJO","gen-15",118,"A4","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,31.5,3.92,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-16","122_A4_BJO_gen-16_TempWarm-5psu","BJO","gen-16",122,"A4","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,37.1,3.41,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-17","133_B1_BJO_gen-17_TempWarm-16psu","BJO","gen-17",133,"B1","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,29.7,2.26,FALSE,4,2,0.35,2.5,11.7,NA,NA,NA,NA,NA,9.4,0.5,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,0.31,0,0,1.87,"Y",1,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-18","141_B1_BJO_gen-18_TempWarm-5psu","BJO","gen-18",141,"B1","5psu","TempWarm","TempWarm_5psu",5,TRUE,1,27.4,4.62,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-19","145_B1_BJO_gen-19_TempWarm-16psu","BJO","gen-19",145,"B1","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,29.7,3.3,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-20","155_B1_BJO_gen-20_TempWarm-5psu","BJO","gen-20",155,"B1","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,30.5,2.81,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-21","167_B2_BJO_gen-21_TempWarm-16psu","BJO","gen-21",167,"B2","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,36.8,4.13,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-22","174_B2_BJO_gen-22_TempWarm-5psu","BJO","gen-22",174,"B2","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,52.4,3.36,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-23","179_B2_BJO_gen-23_TempWarm-16psu","BJO","gen-23",179,"B2","16psu","TempWarm","TempWarm_16psu",6,TRUE,2,21.2,2.18,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-24","185_B2_BJO_gen-24_TempWarm-5psu","BJO","gen-24",185,"B2","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,35.7,3.52,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-25","195_B3_BJO_gen-25_TempWarm-16psu","BJO","gen-25",195,"B3","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,30,1.58,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-26","202_B3_BJO_gen-26_TempWarm-5psu","BJO","gen-26",202,"B3","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,24.6,1.83,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-27","213_B3_BJO_gen-27_TempWarm-16psu","BJO","gen-27",213,"B3","16psu","TempWarm","TempWarm_16psu",5,TRUE,2,38.1,3.77,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-28","224_B3_BJO_gen-28_TempWarm-5psu","BJO","gen-28",224,"B3","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,37,2.94,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-29","225_B4_BJO_gen-29_TempWarm-16psu","BJO","gen-29",225,"B4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,24.3,1.45,FALSE,3,1,0.3,15.6,6.2,NA,NA,NA,NA,NA,3.1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.27,0,0,0.95,"Y",1,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-30","233_B4_BJO_gen-30_TempWarm-5psu","BJO","gen-30",233,"B4","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,40,2.62,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-31","248_B4_BJO_gen-31_TempWarm-16psu","BJO","gen-31",248,"B4","16psu","TempWarm","TempWarm_16psu",4,FALSE,0,24,1.93,FALSE,4,2,0.3,4.8,15.2,NA,NA,NA,NA,NA,10.2,0.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.38,0,0,1.58,"N",1,NA,NA,"BJO_TempWarm_16psu"
"BJO_gen-32","253_B4_BJO_gen-32_TempWarm-5psu","BJO","gen-32",253,"B4","5psu","TempWarm","TempWarm_5psu",4,FALSE,0,26,1.6,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempWarm_5psu"
"BJO_gen-33","258_C1_BJO_gen-33_TempControl-21psu","BJO","gen-33",258,"C1","21psu","TempControl","TempControl_21psu",6,TRUE,2,40.2,4.41,TRUE,3,2,0.3,17.2,NA,NA,NA,NA,NA,NA,33,18.9,NA,NA,NA,NA,2,2,1.8,7.8,NA,NA,NA,NA,3,10.6,4.5,10.5,NA,NA,1.96,0.56,0.07,0.09,2.68,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-34","267_C1_BJO_gen-34_TempControl-7psu","BJO","gen-34",267,"C1","7psu","TempControl","TempControl_7psu",4,FALSE,0,32,2.49,TRUE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-35","277_C1_BJO_gen-35_TempControl-21psu","BJO","gen-35",277,"C1","21psu","TempControl","TempControl_21psu",6,FALSE,0,38.5,2.57,TRUE,3,2,0.3,21,NA,NA,NA,NA,NA,NA,36.9,10.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,0.54,0,0,2.31,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-36","285_C1_BJO_gen-36_TempControl-7psu","BJO","gen-36",285,"C1","7psu","TempControl","TempControl_7psu",5,FALSE,0,17.5,1.51,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-37","289_C2_BJO_gen-37_TempControl-21psu","BJO","gen-37",289,"C2","21psu","TempControl","TempControl_21psu",6,TRUE,2,36.7,3.33,TRUE,4,2,0.35,9,25.7,NA,NA,NA,NA,NA,14.5,30.6,NA,NA,NA,NA,1,4,12.4,0.9,9.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,1.66,0.71,0.13,0,2.5,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-38","300_C2_BJO_gen-38_TempControl-7psu","BJO","gen-38",300,"C2","7psu","TempControl","TempControl_7psu",5,FALSE,0,40.8,3.34,FALSE,4,3,0.4,21,NA,NA,NA,NA,NA,NA,33.1,15,31.7,NA,NA,NA,1,4,14.6,13,4,14.7,NA,NA,NA,NA,NA,NA,NA,NA,2.52,0.12,0.26,0,2.9,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-39","306_C2_BJO_gen-39_TempControl-21psu","BJO","gen-39",306,"C2","21psu","TempControl","TempControl_21psu",5,FALSE,0,42,3.32,FALSE,5,3,0.35,15.2,35,NA,NA,NA,NA,NA,43.8,1.8,25.6,NA,NA,NA,1,4,18.4,5.2,17.5,12.9,NA,NA,NA,NA,NA,NA,NA,NA,2.26,1.42,0.34,0,4.02,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-40","316_C2_BJO_gen-40_TempControl-7psu","BJO","gen-40",316,"C2","7psu","TempControl","TempControl_7psu",6,TRUE,2,33.3,2.39,FALSE,5,3,0.35,27.3,13.4,NA,NA,NA,NA,NA,19.1,3.3,29,NA,NA,NA,1,4,11.4,11.5,3.5,12.6,NA,NA,NA,NA,NA,NA,NA,NA,1.79,0.94,0.22,0,2.95,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-41","323_C3_BJO_gen-41_TempControl-21psu","BJO","gen-41",323,"C3","21psu","TempControl","TempControl_21psu",4,FALSE,0,40.5,3.2,FALSE,6,3,0.4,0.3,24.8,7.5,NA,NA,NA,NA,33,6.8,43.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27,1.86,0,0,4.13,"N",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-42","334_C3_BJO_gen-42_TempControl-7psu","BJO","gen-42",334,"C3","7psu","TempControl","TempControl_7psu",4,FALSE,0,32.2,2.5,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-43","342_C3_BJO_gen-43_TempControl-21psu","BJO","gen-43",342,"C3","21psu","TempControl","TempControl_21psu",3,FALSE,0,35,2.61,FALSE,5,3,0.3,20.4,6,NA,NA,NA,NA,NA,27.4,30.4,12.4,NA,NA,NA,1,1,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,0.79,0.04,0,3.16,"N",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-44","346_C3_BJO_gen-44_TempControl-7psu","BJO","gen-44",346,"C3","7psu","TempControl","TempControl_7psu",3,FALSE,0,37.4,2.52,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-45","354_C4_BJO_gen-45_TempControl-21psu","BJO","gen-45",354,"C4","21psu","TempControl","TempControl_21psu",4,FALSE,0,38,2.64,FALSE,2,3,0.3,23.8,7.3,NA,NA,NA,NA,NA,19.6,23.6,0.1,NA,NA,NA,1,2,9.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,0.68,0.06,0,2.47,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-46","366_C4_BJO_gen-46_TempControl-7psu","BJO","gen-46",366,"C4","7psu","TempControl","TempControl_7psu",4,FALSE,0,28,2.97,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,17.8,9.1,17.7,14.1,0.3,NA,NA,NA,NA,NA,NA,NA,1.4,0,0.32,0,1.72,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-47","371_C4_BJO_gen-47_TempControl-21psu","BJO","gen-47",371,"C4","21psu","TempControl","TempControl_21psu",4,FALSE,0,34.5,2.22,FALSE,4,2,0.3,23.6,6.9,NA,NA,NA,NA,NA,13.7,32.1,NA,NA,NA,NA,1,2,8,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.96,1.03,0.41,0,4.4,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-48","384_C4_BJO_gen-48_TempControl-7psu","BJO","gen-48",384,"C4","7psu","TempControl","TempControl_7psu",4,FALSE,0,32.5,2.04,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BJO_TempControl_7psu"
"HOG_gen-01","004_A1_HOG_gen-01_TempControl-21psu","HOG","gen-01",4,"A1","21psu","TempControl","TempControl_21psu",5,FALSE,0,37.5,3.49,FALSE,5,3,0.3,5.2,15.6,NA,NA,NA,NA,NA,23.6,20.5,26,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92,1.1,0,0,4.02,"N",1,NA,NA,"HOG_TempControl_21psu"
"HOG_gen-02","015_A1_HOG_gen-02_TempControl-7psu","HOG","gen-02",15,"A1","7psu","TempControl","TempControl_7psu",5,FALSE,0,33.2,2.94,FALSE,4,2,0.3,23.6,14.8,NA,NA,NA,NA,NA,6.9,24.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,0.74,0,0,3.09,"N",1,NA,NA,"HOG_TempControl_7psu"
"HOG_gen-03","018_A1_HOG_gen-03_TempControl-21psu","HOG","gen-03",18,"A1","21psu","TempControl","TempControl_21psu",5,FALSE,0,41.5,2.22,FALSE,6,3,0.25,0.5,28.1,10.8,NA,NA,NA,NA,22.4,3.2,32.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.99,0,0,2.88,"N",1,NA,NA,"HOG_TempControl_21psu"
"HOG_gen-04","026_A1_HOG_gen-04_TempControl-7psu","HOG","gen-04",26,"A1","7psu","TempControl","TempControl_7psu",5,FALSE,0,33.4,4.74,FALSE,5,3,0.45,3.7,13.7,NA,NA,NA,NA,NA,25,8.2,22.4,NA,NA,NA,1,5,15.6,6.5,14.5,8,0.1,NA,NA,NA,NA,NA,NA,NA,3.85,1.14,0.34,0,5.33,"N",1,NA,NA,"HOG_TempControl_7psu"
"HOG_gen-05","039_A2_HOG_gen-05_TempControl-21psu","HOG","gen-05",39,"A2","21psu","TempControl","TempControl_21psu",9,TRUE,5,21.5,3.49,FALSE,3,2,0.3,18.4,NA,NA,NA,NA,NA,NA,7.8,18.7,NA,NA,NA,NA,2,2,2.5,6.4,NA,NA,NA,NA,3,14.6,7.45,11.8,NA,NA,2.71,0.31,0.01,0.37,3.4,"N",1,NA,NA,"HOG_TempControl_21psu"
"HOG_gen-06","042_A2_HOG_gen-06_TempControl-7psu","HOG","gen-06",42,"A2","7psu","TempControl","TempControl_7psu",5,FALSE,0,27.6,2.11,FALSE,4,4,0.2,NA,NA,NA,NA,NA,NA,NA,15.5,0.6,10.5,16.1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,1.9,0,0,3.94,"N",1,NA,NA,"HOG_TempControl_7psu"
"HOG_gen-07","049_A2_HOG_gen-07_TempControl-21psu","HOG","gen-07",49,"A2","21psu","TempControl","TempControl_21psu",5,FALSE,0,50,3.52,FALSE,5,3,0.2,16,4.7,NA,NA,NA,NA,NA,31.2,11.4,36.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92,1.11,0,0,3.03,"Y",1,NA,NA,"HOG_TempControl_21psu"
"HOG_gen-08","062_A2_HOG_gen-08_TempControl-7psu","HOG","gen-08",62,"A2","7psu","TempControl","TempControl_7psu",5,FALSE,0,51.5,3.69,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"HOG_TempControl_7psu"
"HOG_gen-09","067_A3_HOG_gen-09_TempWarm-16psu","HOG","gen-09",67,"A3","16psu","TempWarm","TempWarm_16psu",5,FALSE,0,37.5,3.04,FALSE,3,2,0.3,18.4,NA,NA,NA,NA,NA,NA,15.5,2.4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.34,0,0,2.24,"N",1,NA,NA,"HOG_TempWarm_16psu"
"HOG_gen-10","080_A3_HOG_gen-10_TempWarm-5psu","HOG","gen-10",80,"A3","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,45.2,3.03,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"HOG_TempWarm_5psu"
"HOG_gen-11","085_A3_HOG_gen-11_TempWarm-16psu","HOG","gen-11",85,"A3","16psu","TempWarm","TempWarm_16psu",7,FALSE,0,43.6,5.05,FALSE,5,3,0.35,3.5,18.8,NA,NA,NA,NA,NA,29.4,18.1,2.3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,0.45,0,0,2.03,"Y",1,NA,NA,"HOG_TempWarm_16psu"
"HOG_gen-12","089_A3_HOG_gen-12_TempWarm-5psu","HOG","gen-12",89,"A3","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,32.5,3.47,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"HOG_TempWarm_5psu"
"HOG_gen-13","097_A4_HOG_gen-13_TempWarm-16psu","HOG","gen-13",97,"A4","16psu","TempWarm","TempWarm_16psu",6,FALSE,0,31.3,3.98,FALSE,4,3,0.3,16.5,NA,NA,NA,NA,NA,NA,21.2,7.2,26.9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61,0.7,0,0,2.31,"N",1,NA,NA,"HOG_TempWarm_16psu"
"HOG_gen-14","112_A4_HOG_gen-14_TempWarm-5psu","HOG","gen-14",112,"A4","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,41.5,4.54,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"HOG_TempWarm_5psu"
"HOG_gen-15","117_A4_HOG_gen-15_TempWarm-16psu","HOG","gen-15",117,"A4","16psu","TempWarm","TempWarm_16psu",6,FALSE,0,32.6,2.34,FALSE,4,3,0.3,16.9,NA,NA,NA,NA,NA,NA,32.9,6.9,23.4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,0.66,0,0,1.63,"N",1,NA,NA,"HOG_TempWarm_16psu"
"HOG_gen-16","124_A4_HOG_gen-16_TempWarm-5psu","HOG","gen-16",124,"A4","5psu","TempWarm","TempWarm_5psu",5,FALSE,0,51.3,4.66,FALSE,4,2,0.35,24,10.2,NA,NA,NA,NA,NA,25.5,8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,0.97,0,0,2.34,"N",1,NA,NA,"HOG_TempWarm_5psu"
