bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
15,A1,HOG_gen-02,015_A1_HOG_gen-02_TempControl-7psu,,7psu,TempControl,5,33.2,4,2,0.30,23.6,14.8,NA,NA,NA,NA,NA,6.9,24.9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,0.74,0.00,0.00,3.09,N,Y,TRUE,
16,A1,BAR_gen-02,016_A1_BAR_gen-02_TempControl-7psu,yes,7psu,TempControl,4,26.0,5,3,0.20,13.1,3.4,NA,NA,NA,NA,NA,18.1,9.7,16.8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.32,0.00,0.00,1.79,N,Y,TRUE,
17,A1,VIK_gen-03,017_A1_VIK_gen-03_TempControl-21psu,,21psu,TempControl,4,40.0,5,3,0.45,4.9,13.8,NA,NA,NA,NA,NA,12.7,4.1,12.7,NA,NA,NA,1,2,14.9,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,0.64,0.13,0.00,2.88,N,Y,TRUE,
18,A1,HOG_gen-03,018_A1_HOG_gen-03_TempControl-21psu,,21psu,TempControl,5,41.5,6,3,0.25,0.5,28.1,10.8,NA,NA,NA,NA,22.4,3.2,32.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,0.99,0.00,0.00,2.88,N,Y,TRUE,
19,A1,VAT_gen-03,019_A1_VAT_gen-03_TempControl-21psu,,21psu,TempControl,5,48.0,6,3,0.40,0.1,27.3,8.8,NA,NA,NA,NA,34.6,40.3,12.0,NA,NA,NA,1,3,12.6,12.7,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,2.58,0.36,0.00,7.83,Y,Y,TRUE,
20,A1,BJO_gen-03,020_A1_BJO_gen-03_TempControl-21psu,yes,21psu,TempControl,6,41.0,5,3,0.30,1.5,10.1,NA,NA,NA,NA,NA,40.5,12.9,36.8,NA,NA,NA,1,3,13.9,14.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70,1.40,0.14,0.00,4.24,N,Y,TRUE,"new shoot 1 has a hole on leaf2, growth to hole is 2.1"
21,A1,BAR_gen-03,021_A1_BAR_gen-03_TempControl-21psu,yes,21psu,TempControl,5,37.0,5,3,0.20,0.3,9.8,NA,NA,NA,NA,NA,27.4,4.6,24.7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80,0.58,0.00,0.00,1.38,N,Y,TRUE,
22,A1,KAL_gen-03,022_A1_KAL_gen-03_TempControl-21psu,yes,21psu,TempControl,4,51.8,6,4,0.40,2.1,15.0,NA,NA,NA,NA,NA,32.9,16.7,31.4,1.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,1.30,0.00,0.00,2.71,N,Y,TRUE,
23,A1,HOR_gen-03,023_A1_HOR_gen-03_TempControl-21psu,,21psu,TempControl,5,31.5,5,2,0.30,1.5,34.0,12.6,NA,NA,NA,NA,12.1,32.6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,1.06,0.00,0.00,3.81,Y,Y,TRUE,
24,A1,KUR_gen-03,024_A1_KUR_gen-03_TempControl-21psu,absolutely yes,21psu,TempControl,5,15.4,4,2,0.20,12.7,1.5,NA,NA,NA,NA,NA,4.7,19.0,NA,NA,NA,NA,1,1,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,0.19,0.01,0.00,1.22,N,Y,TRUE,
