"sample","MLG"
"KAL-Zm01",235
"KAL-Zm09",235
"KAL-Zm20",235
"KAL-Zm29",235
"KAL-Zm38",235
"KAL-Zm46",235
"KAL-Zm02",235
"KAL-Zm10",235
"KAL-Zm21",235
"KAL-Zm39",235
"KAL-Zm47",235
"KAL-Zm03",235
"KAL-Zm12",235
"KAL-Zm22",235
"KAL-Zm31",235
"KAL-Zm40",235
"KAL-Zm15",235
"KAL-Zm23",235
"KAL-Zm32",235
"KAL-Zm41",235
"KAL-Zm05",235
"KAL-Zm16",235
"KAL-Zm24",235
"KAL-Zm34",235
"KAL-Zm42",235
"KAL-Zm06",235
"KAL-Zm17",235
"KAL-Zm35",235
"KAL-Zm43",235
"KAL-Zm07",235
"KAL-Zm18",235
"KAL-Zm27",235
"KAL-Zm44",235
"KAL-Zm08",235
"KAL-Zm19",235
"KAL-Zm28",235
"KAL-Zm37",235
"KAL-Zm45",235
"BAR-Zm44",238
"BAR-Zm38",238
"BAR-Zm28",242
"BAR-Zm05",252
"BAR-Zm25",254
"BAR-Zm21",254
"BAR-Zm47",254
"BAR-Zm11",258
"BAR-Zm46",264
"BAR-Zm27",265
"BAR-Zm06",265
"BAR-Zm40",265
"BAR-Zm48",265
"BAR-Zm14",266
"BAR-Zm43",267
"BAR-Zm22",267
"BAR-Zm32",268
"BAR-Zm04",271
"BAR-Zm12",271
"BAR-Zm10",278
"BAR-Zm07",278
"BAR-Zm15",278
"BAR-Zm23",279
"BAR-Zm39",280
"BAR-Zm33",280
"BAR-Zm41",281
"VIK-Zm01",282
"VIK-Zm10",282
"VIK-Zm44",282
"BAR-Zm16",290
"BAR-Zm45",291
"BAR-Zm24",291
"BAR-Zm36",292
"BAR-Zm37",292
"BAR-Zm34",292
"BAR-Zm42",293
"VIK-Zm09",295
"VIK-Zm12",295
"VIK-Zm45",295
"VIK-Zm24",295
"VIK-Zm17",296
"VIK-Zm25",297
"VIK-Zm33",298
"VIK-Zm41",299
"VIK-Zm02",306
"VIK-Zm23",306
"VIK-Zm18",308
"VIK-Zm26",309
"VIK-Zm34",310
"VIK-Zm42",311
"VIK-Zm11",318
"VIK-Zm48",318
"VIK-Zm27",320
"VIK-Zm35",321
"VIK-Zm19",322
"VIK-Zm43",322
"VIK-Zm04",329
"VIK-Zm20",331
"VIK-Zm28",332
"VIK-Zm36",333
"VIK-Zm13",342
"VIK-Zm21",343
"VIK-Zm29",344
"VIK-Zm37",345
"VIK-Zm06",353
"VIK-Zm14",354
"VIK-Zm03",356
"VIK-Zm30",356
