"","X","method","pop","cc","kendall_surv","pval_surv","type_surv","signif"
"74","NA31","lea","BJO","mll",-0.255376959227625,0.0551263221630239,"binary",FALSE
"75","331","lea","HOG","mll",-0.306742414887327,0.0226798965702815,"binary",TRUE
"76","431","lea","HOR","mll",-0.0851256530758749,0.522632284253185,"binary",FALSE
"77","531","lea","KAL","mll",-0.124485023955176,0.349849268445814,"binary",FALSE
"78","631","lea","KUR","mll",-0.154303349962092,0.246530733159065,"binary",FALSE
"79","731","lea","VAT","mll",-0.571040240720161,2.21291694400971e-05,"binary",TRUE
"80","831","lea","VIK","mll",-0.605530070819498,5.42800099642586e-06,"binary",TRUE
"81","141","rda","BAR","mll",0.17069718549973,0.199865544752506,"binary",FALSE
"82","NA41","rda","BJO","mll",0.391578004149024,0.00327420568705787,"binary",TRUE
"83","341","rda","HOG","mll",-0.283032856248693,0.035496700232467,"binary",TRUE
"84","441","rda","HOR","mll",0.391578004149024,0.00327420568705787,"binary",TRUE
"85","541","rda","KAL","mll",0.33788792216405,0.0111635871110139,"binary",TRUE
"86","641","rda","KUR","mll",0.497199683211185,0.000188487717988793,"binary",TRUE
"87","741","rda","VAT","mll",-0.38069349381344,0.00468155954440033,"binary",TRUE
"88","841","rda","VIK","mll",-0.715626447332134,7.68594972480359e-08,"binary",TRUE
"89","151","gf","BAR","mll",-0.136557748399784,0.305104792126895,"binary",FALSE
"90","NA51","gf","BJO","mll",-0.255376959227625,0.0551263221630239,"binary",FALSE
"91","351","gf","HOG","mll",-0.0577920491816703,0.667678609967348,"binary",FALSE
"92","451","gf","HOR","mll",-0.0851256530758749,0.522632284253185,"binary",FALSE
"93","551","gf","KAL","mll",-0.124485023955176,0.349849268445814,"binary",FALSE
"94","651","gf","KUR","mll",-0.154303349962092,0.246530733159065,"binary",FALSE
"95","751","gf","VAT","mll",-0.571040240720161,2.21291694400971e-05,"binary",TRUE
"96","851","gf","VIK","mll",-0.605530070819498,5.42800099642586e-06,"binary",TRUE
