"pop","trt","cc","lea_offset","rda_offset","gf_offset","env_dist","pop_trt","tank_ID","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518
"BAR","TempControl-21psu","full",0.00798694155968836,2.416487443602,0.0757031686195213,3.2931,"BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518
"BAR","TempControl-21psu","mll",0.00871630023878949,1.85015490733416,0.0490786082468778,3.2931,"BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","C3",107.9,2.48617511520737,-0.58,-0.212454212454212,0.429577464788732
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","C3",169,8.75647668393782,0.53,0.42741935483871,0.267857142857143
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","A2",92.9,1.40757575757576,1.76,1.15789473684211,0.481818181818182
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","A1",61.1,2.35,0.22,0.140127388535032,0.217687074829932
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","C4",45.8,1.06264501160093,-1.45,-0.494880546075085,0.213114754098361
"BAR","TempControl-7psu","mll",0.00734592353575743,1.18858416069832,0.03646091000673,2.7722,"BAR_TempControl_7psu","C2",44.1,1.02558139534884,-0.82,-0.317829457364341,0.106918238993711
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","C3",107.9,2.48617511520737,-0.58,-0.212454212454212,0.429577464788732
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","C3",169,8.75647668393782,0.53,0.42741935483871,0.267857142857143
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","A2",92.9,1.40757575757576,1.76,1.15789473684211,0.481818181818182
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","A1",61.1,2.35,0.22,0.140127388535032,0.217687074829932
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","C4",45.8,1.06264501160093,-1.45,-0.494880546075085,0.213114754098361
"BAR","TempControl-7psu","full",0.00662757668091765,1.01142729667696,0.0510150602602953,2.7722,"BAR_TempControl_7psu","C2",44.1,1.02558139534884,-0.82,-0.317829457364341,0.106918238993711
"BAR","TempWarm-16psu","full",0.0346272952586907,1.47194028052005,0.130291719636577,5.7974,"BAR_TempWarm_16psu","B4",32.1,0.8025,-0.25,-0.151515151515152,0
"BAR","TempWarm-16psu","full",0.0346272952586907,1.47194028052005,0.130291719636577,5.7974,"BAR_TempWarm_16psu","A3",44.1,1.19189189189189,0.17,0.0880829015544042,0.627906976744186
"BAR","TempWarm-16psu","full",0.0346272952586907,1.47194028052005,0.130291719636577,5.7974,"BAR_TempWarm_16psu","B3",74,2.19584569732938,0.14,0.097902097902098,0.339130434782609
