"trt","pop","cc","pop_trt","tank_ID","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio","method","offset","trt_ord","pop_ord","metric","cf_abs","cf_rel","cg_rel","cg_abs"
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C1",142.8,2.59636363636364,-0.170000000000001,-0.0362473347547976,0.153846153846154,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C3",107,2.70886075949367,-0.34,-0.108626198083067,0.33,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C4",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"lea",0.00798694155968836,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"lea",0.00798694155968836,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"rda",2.416487443602,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"rda",2.416487443602,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"gf",0.0757031686195213,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"gf",0.0757031686195213,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","full","BAR_TempControl_21psu","C2",45.7,1.73106060606061,-1.5,-0.545454545454545,0.31578947368421,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",81.4,2.23013698630137,0.14,0.0786516853932584,0.61344537815126,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C1",64.2,3.29230769230769,0.1,0.0854700854700856,0.443181818181818,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A1",66.8,1.80540540540541,-0.13,-0.0860927152317882,0.725,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",62.8,1.58987341772152,-0.46,-0.258426966292135,0.471910112359551,"env",3.2931,1,4,"weigh",0,0,0,0
