"pop","trt","cc","lea_offset","rda_offset","gf_offset","env_dist","trt_pop","surv","order","coast","trt_name"
"HOR","TempControl-7psu","full",0.00399932483018119,0.496378346506273,0.042634624078671,2.246,"TempControl_7psu-HOR",0.5,7,"East","Current E Coast"
"HOR","TempControl-7psu","mll",0.00500484470606123,0.2778420894863,0.0306280848445055,2.246,"TempControl_7psu-HOR",0.5,7,"East","Current E Coast"
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"TempWarm_16psu-HOR",0.666666666666667,7,"East","Future W Coast"
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"TempWarm_16psu-HOR",0.666666666666667,7,"East","Future W Coast"
"HOR","TempWarm-5psu","full",0.032825014483351,0.183184383495568,0.119382749229989,5.7503,"TempWarm_5psu-HOR",0,7,"East","Future E Coast"
"HOR","TempWarm-5psu","mll",0.041036903987833,0.514345252928241,0.078500530096678,5.7503,"TempWarm_5psu-HOR",0,7,"East","Future E Coast"
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"TempControl_21psu-KAL",1,6,"East","Current W Coast"
"KAL","TempControl-21psu","mll",0.00888266794960439,2.93478273197384,0.0519939833917116,3.9871,"TempControl_21psu-KAL",1,6,"East","Current W Coast"
"KAL","TempControl-7psu","full",0.00207720689029909,0.0874772162800667,0.0336601636251709,1.2321,"TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast"
"KAL","TempControl-7psu","mll",0.00257395160581669,0.151778614193923,0.0268338847263667,1.2321,"TempControl_7psu-KAL",0.666666666666667,6,"East","Current E Coast"
"KAL","TempWarm-16psu","full",0.0300286587267551,2.48213744717505,0.120034575652212,5.3493,"TempWarm_16psu-KAL",0.75,6,"East","Future W Coast"
"KAL","TempWarm-16psu","mll",0.0354382473421728,1.8564534288442,0.0802544635043475,5.3493,"TempWarm_16psu-KAL",0.75,6,"East","Future W Coast"
"KAL","TempWarm-5psu","full",0.0271953438837387,0.398411958368648,0.109375031083921,4.7555,"TempWarm_5psu-KAL",0.166666666666667,6,"East","Future E Coast"
"KAL","TempWarm-5psu","mll",0.0338300459996461,0.7712756896348,0.0744780182986624,4.7555,"TempWarm_5psu-KAL",0.166666666666667,6,"East","Future E Coast"
"KUR","TempControl-21psu","full",0.0106292029067329,3.24806259688291,0.0819319947767753,3.9378,"TempControl_21psu-KUR",1,5,"East","Current W Coast"
"KUR","TempControl-21psu","mll",0.0101466007458098,2.72349363814396,0.0535413706865548,3.9378,"TempControl_21psu-KUR",1,5,"East","Current W Coast"
"KUR","TempControl-7psu","full",0.0039312205209114,0.194293917747448,0.0446089042446935,1.8042,"TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast"
"KUR","TempControl-7psu","mll",0.00489546564716927,0.333591858219086,0.0325305541759595,1.8042,"TempControl_7psu-KUR",0.333333333333333,5,"East","Current E Coast"
"KUR","TempWarm-16psu","full",0.0352397632450556,2.29767573760886,0.130108285986464,5.774,"TempWarm_16psu-KUR",0.416666666666667,5,"East","Future W Coast"
"KUR","TempWarm-16psu","mll",0.042274130136084,1.65822392265339,0.0851243329895743,5.774,"TempWarm_16psu-KUR",0.416666666666667,5,"East","Future W Coast"
"KUR","TempWarm-5psu","full",0.0333844248962364,0.563963827870758,0.120819888114614,5.3861,"TempWarm_5psu-KUR",0,5,"East","Future E Coast"
"KUR","TempWarm-5psu","mll",0.0415566924012771,0.972385585758758,0.0804330321585454,5.3861,"TempWarm_5psu-KUR",0,5,"East","Future E Coast"
"VAT","TempControl-21psu","full",0.00865817083691104,1.38554045987025,0.0648669175175783,3.4861,"TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast"
"VAT","TempControl-21psu","mll",0.010110404669256,0.814563568338807,0.043362328201887,3.4861,"TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast"
"VAT","TempControl-7psu","full",0.0136677351124229,2.03659970493134,0.0713196542449804,4.5587,"TempControl_7psu-VAT",0.0833333333333333,2,"West","Current E Coast"
"VAT","TempControl-7psu","mll",0.0136808216134053,2.23098962194305,0.048850145099321,4.5587,"TempControl_7psu-VAT",0.0833333333333333,2,"West","Current E Coast"
"VAT","TempWarm-16psu","full",0.0390429467766799,0.451017347977424,0.132830775587862,6.6275,"TempWarm_16psu-VAT",0.272727272727273,2,"West","Future W Coast"
"VAT","TempWarm-16psu","mll",0.048622400893911,0.601423316368426,0.0862955321936636,6.6275,"TempWarm_16psu-VAT",0.272727272727273,2,"West","Future W Coast"
"VAT","TempWarm-5psu","full",0.0460723733885967,2.3914681384273,0.138793715153451,7.4833,"TempWarm_5psu-VAT",0,2,"West","Future E Coast"
"VAT","TempWarm-5psu","mll",0.0545789993883267,2.83555452243515,0.0901408957468414,7.4833,"TempWarm_5psu-VAT",0,2,"West","Future E Coast"
"VIK","TempControl-21psu","full",0.00529093522425913,1.12059428006735,0.0534623957198638,2.4044,"TempControl_21psu-VIK",1,1,"West","Current W Coast"
"VIK","TempControl-21psu","mll",0.00624979451824577,0.803166844691957,0.0388485636807072,2.4044,"TempControl_21psu-VIK",1,1,"West","Current W Coast"
"VIK","TempControl-7psu","full",0.00899849955586203,2.31495201494668,0.0604427054956303,3.1674,"TempControl_7psu-VIK",0.75,1,"West","Current E Coast"
"VIK","TempControl-7psu","mll",0.00937079354091767,2.24669101595342,0.0417944880358398,3.1674,"TempControl_7psu-VIK",0.75,1,"West","Current E Coast"
"VIK","TempWarm-16psu","full",0.0338159972935556,0.306945743344824,0.120379379309693,5.394,"TempWarm_16psu-VIK",1,1,"West","Future W Coast"
"VIK","TempWarm-16psu","mll",0.0422436225169404,0.618669159166709,0.0814095548178281,5.394,"TempWarm_16psu-VIK",1,1,"West","Future W Coast"
"VIK","TempWarm-5psu","full",0.0401457792601161,2.67420816391772,0.127421510466323,6.1427,"TempWarm_5psu-VIK",0,1,"West","Future E Coast"
"VIK","TempWarm-5psu","mll",0.0481495219406945,2.85196850533072,0.0850223786465684,6.1427,"TempWarm_5psu-VIK",0,1,"West","Future E Coast"
