"","pop","coast","trt","cc","method","offset","pop_ord","metric","abs_current","abs_future","CF_abs_offset","CF_relative","CF_rel_offset"
"1","BAR","West","TempWarm-16psu","full","lea_offset",0.0346272952586907,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"2","BAR","West","TempWarm-16psu","full","lea_offset",0.0346272952586907,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"3","BAR","West","TempWarm-16psu","full","lea_offset",0.0346272952586907,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"4","BAR","West","TempWarm-16psu","full","rda_offset",1.47194028052005,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"5","BAR","West","TempWarm-16psu","full","rda_offset",1.47194028052005,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"6","BAR","West","TempWarm-16psu","full","rda_offset",1.47194028052005,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"7","BAR","West","TempWarm-16psu","full","gf_offset",0.130291719636577,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"8","BAR","West","TempWarm-16psu","full","gf_offset",0.130291719636577,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"9","BAR","West","TempWarm-16psu","full","gf_offset",0.130291719636577,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"10","BAR","West","TempWarm-16psu","full","env_dist",5.7974,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"11","BAR","West","TempWarm-16psu","full","env_dist",5.7974,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"12","BAR","West","TempWarm-16psu","full","env_dist",5.7974,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"13","BAR","West","TempWarm-16psu","mll","lea_offset",0.0430151243295878,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"14","BAR","West","TempWarm-16psu","mll","lea_offset",0.0430151243295878,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"15","BAR","West","TempWarm-16psu","mll","lea_offset",0.0430151243295878,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"16","BAR","West","TempWarm-16psu","mll","rda_offset",0.870765122925002,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"17","BAR","West","TempWarm-16psu","mll","rda_offset",0.870765122925002,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"18","BAR","West","TempWarm-16psu","mll","rda_offset",0.870765122925002,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"19","BAR","West","TempWarm-16psu","mll","gf_offset",0.0849818641213911,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"20","BAR","West","TempWarm-16psu","mll","gf_offset",0.0849818641213911,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"21","BAR","West","TempWarm-16psu","mll","gf_offset",0.0849818641213911,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"22","BAR","West","TempWarm-16psu","mll","env_dist",5.7974,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"23","BAR","West","TempWarm-16psu","mll","env_dist",5.7974,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"24","BAR","West","TempWarm-16psu","mll","env_dist",5.7974,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"25","BAR","West","TempWarm-5psu","full","lea_offset",0.0367128182833948,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"26","BAR","West","TempWarm-5psu","full","lea_offset",0.0367128182833948,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"27","BAR","West","TempWarm-5psu","full","lea_offset",0.0367128182833948,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"28","BAR","West","TempWarm-5psu","full","rda_offset",1.37444126188955,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"29","BAR","West","TempWarm-5psu","full","rda_offset",1.37444126188955,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"30","BAR","West","TempWarm-5psu","full","rda_offset",1.37444126188955,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"31","BAR","West","TempWarm-5psu","full","gf_offset",0.12517842947807,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"32","BAR","West","TempWarm-5psu","full","gf_offset",0.12517842947807,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"33","BAR","West","TempWarm-5psu","full","gf_offset",0.12517842947807,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"34","BAR","West","TempWarm-5psu","full","env_dist",6.0353,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"35","BAR","West","TempWarm-5psu","full","env_dist",6.0353,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
