"trt","pop","cc","trt_pop","surv","order","coast","trt_name","method","offset","trt_ord","pop_ord","metric","cf_abs","cg_rel","cg_abs","cf_rel"
"TempControl-21psu","KAL","full","TempControl_21psu-KAL",1,6,"East","Current W Coast","rda",3.43303523955674,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","full","TempControl_21psu-KAL",1,6,"East","Current W Coast","gf",0.0775834372250432,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","full","TempControl_21psu-KAL",1,6,"East","Current W Coast","env",3.9871,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","mll","TempControl_21psu-KAL",1,6,"East","Current W Coast","lea",0.00888266794960439,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","mll","TempControl_21psu-KAL",1,6,"East","Current W Coast","rda",2.93478273197384,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","mll","TempControl_21psu-KAL",1,6,"East","Current W Coast","gf",0.0519939833917116,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KAL","mll","TempControl_21psu-KAL",1,6,"East","Current W Coast","env",3.9871,1,6,"surv",0.333333333333333,0,0,0.499999999999999
"TempControl-21psu","KUR","full","TempControl_21psu-KUR",1,5,"East","Current W Coast","lea",0.0106292029067329,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","full","TempControl_21psu-KUR",1,5,"East","Current W Coast","rda",3.24806259688291,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","full","TempControl_21psu-KUR",1,5,"East","Current W Coast","gf",0.0819319947767753,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","full","TempControl_21psu-KUR",1,5,"East","Current W Coast","env",3.9378,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","mll","TempControl_21psu-KUR",1,5,"East","Current W Coast","lea",0.0101466007458098,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","mll","TempControl_21psu-KUR",1,5,"East","Current W Coast","rda",2.72349363814396,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","mll","TempControl_21psu-KUR",1,5,"East","Current W Coast","gf",0.0535413706865548,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","KUR","mll","TempControl_21psu-KUR",1,5,"East","Current W Coast","env",3.9378,1,5,"surv",0.666666666666667,0.499999999999999,0.333333333333333,2
"TempControl-21psu","VAT","full","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","lea",0.00865817083691104,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","full","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","rda",1.38554045987025,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","full","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","gf",0.0648669175175783,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","full","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","env",3.4861,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","mll","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","lea",0.010110404669256,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","mll","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","rda",0.814563568338807,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","mll","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","gf",0.043362328201887,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VAT","mll","TempControl_21psu-VAT",0.916666666666667,2,"West","Current W Coast","env",3.4861,1,1,"surv",0.833333333333334,-0.083333333333333,-0.083333333333333,10
"TempControl-21psu","VIK","full","TempControl_21psu-VIK",1,1,"West","Current W Coast","lea",0.00529093522425913,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","full","TempControl_21psu-VIK",1,1,"West","Current W Coast","rda",1.12059428006735,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","full","TempControl_21psu-VIK",1,1,"West","Current W Coast","gf",0.0534623957198638,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
