"trt","median_temp","max_temp","median_sal","min_sal","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled"
"TempControl-21psu",20.16041015625,27.02447265625,21.3,19.1,1.08927147454144,1.11126907488913,1.54901983779794,3.43770279472018
"TempControl-7psu",20.16041015625,27.02447265625,7.1,6.6,1.08927147454144,1.11126907488913,-0.675021151957254,-0.22268619292084
"TempWarm-16psu",26.0806640625,34.23173828125,16.1,15.7,3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182
"TempWarm-5psu",26.0806640625,34.23173828125,5.1,4.9,3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018
