"","trt","pop","max_temp_scaled","temp_scaled","min_sal_scaled","sal_scaled"
"1","TempControl-21psu","BAR",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"2","TempControl-21psu","BJO",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"3","TempControl-21psu","HOG",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"4","TempControl-21psu","HOR",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"5","TempControl-21psu","KAL",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"6","TempControl-21psu","KUR",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"7","TempControl-21psu","VAT",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"8","TempControl-21psu","VIK",-0.984250984251481,-0.984250984251474,1.31814610374012,1.31814610374012
"9","TempControl-7psu","BAR",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"10","TempControl-7psu","BJO",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"11","TempControl-7psu","HOG",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"12","TempControl-7psu","HOR",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"13","TempControl-7psu","KAL",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"14","TempControl-7psu","KUR",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"15","TempControl-7psu","VAT",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"16","TempControl-7psu","VIK",-0.984250984251481,-0.984250984251474,-0.790887662244075,-0.790887662244075
"17","TempWarm-16psu","BAR",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"18","TempWarm-16psu","BJO",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"19","TempWarm-16psu","HOG",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"20","TempWarm-16psu","HOR",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"21","TempWarm-16psu","KAL",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"22","TempWarm-16psu","KUR",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"23","TempWarm-16psu","VAT",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"24","TempWarm-16psu","VIK",0.984250984251471,0.984250984251479,0.564919758745768,0.564919758745768
"25","TempWarm-5psu","BAR",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"26","TempWarm-5psu","BJO",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"27","TempWarm-5psu","HOG",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"28","TempWarm-5psu","HOR",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"29","TempWarm-5psu","KAL",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"30","TempWarm-5psu","KUR",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"31","TempWarm-5psu","VAT",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
"32","TempWarm-5psu","VIK",0.984250984251471,0.984250984251479,-1.09217820024182,-1.09217820024182
