"","pop","mll_no","indv_no","pop_no","site_full","median_temp","max_temp","median_sal","min_sal"
"1","KOD",25,"KOD-13","13","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"2","KOD",25,"KOD-14","14","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"3","KOD",28,"KOD-16","16","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"4","KOD",29,"KOD-18","18","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"5","KOD",30,"KOD-19","19","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"6","KOD",31,"KOD-20","20","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"7","KOD",33,"KOD-01","01","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"8","KOD",33,"KOD-02","02","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"9","KOD",39,"KOD-04","04","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"10","KOD",39,"KOD-03","03","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"11","KOD",39,"KOD-05","05","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"12","KOD",39,"KOD-06","06","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"13","KOD",39,"KOD-07","07","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"14","KOD",39,"KOD-08","08","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"15","KOD",39,"KOD-09","09","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"16","KOD",41,"KOD-10","10","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"17","KOD",42,"KOD-11","11","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"18","KOD",43,"KOD-15","15","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"19","KOD",43,"KOD-17","17","Koster donor site",0.766558237068985,-0.802402357005485,1.88474335088942,1.23293871744987
"20","GAS",44,"GAS-01","01","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"21","GAS",46,"GAS-02","02","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"22","GAS",46,"GAS-03","03","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"23","GAS",47,"GAS-04","04","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"24","GAS",48,"GAS-05","05","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"25","GAS",49,"GAS-06","06","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"26","GAS",50,"GAS-07","07","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"27","GAS",51,"GAS-08","08","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"28","GAS",52,"GAS-09","09","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"29","GAS",53,"GAS-10","10","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"30","GAS",56,"GAS-11","11","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"31","GAS",56,"GAS-12","12","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"32","GAS",56,"GAS-13","13","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"33","GAS",56,"GAS-14","14","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"34","GAS",56,"GAS-15","15","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"35","GAS",56,"GAS-16","16","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"36","GAS",56,"GAS-17","17","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"37","GAS",56,"GAS-18","18","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"38","GAS",56,"GAS-19","19","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"39","GAS",66,"GAS-20","20","Gåsholmen ",0.284368378267527,-0.802402357005485,1.88474335088942,0.851314828715389
"40","KAV",69,"KAV-01","01","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"41","KAV",69,"KAV-09","09","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
