"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","max_temp_curr","sal_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"33","ALA",237,"ALA-17","17","Øresund","Ålabadarna",12.771034,55.940683,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"34","ALA",238,"ALA-18","18","Øresund","Ålabadarna",12.771034,55.940683,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"35","ALA",239,"ALA-19","19","Øresund","Ålabadarna",12.771034,55.940683,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"36","ALA",240,"ALA-20","20","Øresund","Ålabadarna",12.771034,55.940683,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"37","BAD",519,"BAD-03","03","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"38","BAD",519,"BAD-04","04","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"39","BAD",519,"BAD-05","05","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"40","BAD",520,"BAD-06","06","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"41","BAD",519,"BAD-08","08","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"42","BAD",519,"BAD-10","10","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"43","BAD",520,"BAD-13","13","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"44","BAD",519,"BAD-15","15","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"45","BAD",526,"BAD-16","16","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"46","BAD",533,"BAD-17","17","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"47","BAD",526,"BAD-18","18","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"48","BAD",533,"BAD-19","19","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"49","BAD",533,"BAD-21","21","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"50","BAD",533,"BAD-22","22","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"51","BAD",533,"BAD-23","23","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"52","BAD",533,"BAD-24","24","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"53","BAD",533,"BAD-25","25","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"54","BAD",533,"BAD-26","26","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
