"Pop","coast","lat","long","tempcurr","max_temp_curr","sal_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"BAR","West",55.75528,12.90189,16.9228,22.8748690287272,6.60179917017619,16.4911,-0.0206815166135165,-0.579786258855822,-0.636035076475821,1.60666194122647
"BJO","East",59.83484289,19.07867998,16.4019,21.3371880849202,4.24618355433146,5.4394,-0.202881598639924,-1.20642528152679,-1.03535722656189,-0.605165076445396
"HOG","West",56.1969,12.55141,17.7467,22.4425182342529,7.18325344721476,16.7431,0.26750171928888,-0.755978778111232,-0.537467393988916,1.65709584808725
"HOR","East",57.695151,16.730625,15.1634,23.5119126637777,5.73694976170858,6.7548,-0.636083367865701,-0.320176875989651,-0.78264368399522,-0.341908088014153
"KAL","East",56.654431,16.351908,19.0051,24.1787846883138,5.90900532404582,6.9842,0.70766409829067,-0.0484117641275608,-0.753476957206421,-0.295997222006758
"KUR","East",55.395972,12.982861,17.602,23.1814250946045,6.88506889343262,8.1808,0.216888642173846,-0.454857876092876,-0.588015410540436,-0.0565162182384551
"VAT","West",58.87729419,11.11564685,14.0383,22.5613098144531,9.52845096588135,24.9024,-1.02962015474977,-0.707568579611994,-0.139911311735395,3.29005369034591
"VIK","West",58.052528,11.568306,18.5631,22.7906754811605,11.8299643198649,19.3478,0.553061609798305,-0.614096993195664,0.25023946447048,2.17838631316773
