"","AHU","ALA","BAD","BAR","BJN","BJO","BLA","BUR","EKO","FUR","GAL","GAS","GOT","GRO","HAN","HOG","HOR","ING","KAL","KAR","KAV","KIE","KLI","KOD","KRA","KUR","LJU","LOM","NOV","NYN","OSK","RAU","SBR","SKI","SLI","STE","TAL","VHA","YST","TempControl-21psu","TempControl-7psu","TempWarm-16psu","TempWarm-5psu"
"SKI",1.1458,1.8998,1.4578,1.8998,0.8558,1.4674,0.6198,2.1153,0.6198,0.7545,2.1821,2.7446,2.4559,2.2745,1.1983,2.2983,0.8558,1.42,2.2217,1.3424,3.5355,2.4429,1.852,2.9943,0.7079,1.7035,1.3424,1.7115,2.6445,0.9826,0.8558,1.2656,3.0318,0,1.3424,3.1951,1.6819,3.522,1.3628,5.3334,2.9359,6.9626,6.4024
"SLI",0.4039,1.7502,0.5284,1.7502,0.5284,1.374,1.4214,0.7921,1.4214,0.8766,1.1457,2.7615,2.3374,1.8388,0.7857,2.1787,0.5284,0.708,1.022,0,3.5741,1.7239,0.5283,2.9186,1.1338,1.1053,0,1.1418,2.2381,1.7728,0.5284,0.9163,2.5251,1.3424,0,3.1736,0.7857,3.5602,0.9346,5.0519,1.6598,5.9732,5.0873
"STE",3.0955,1.7445,3.0388,1.7445,3.1879,3.6755,3.6465,3.2284,3.6465,3.1622,3.3306,0.9029,0.9144,1.7413,3.6313,1.6702,3.1879,3.5505,3.1182,3.1736,0.8524,1.9535,3.2463,0.5574,3.6097,2.7031,3.1736,2.5628,1.8304,3.9769,3.1879,3.4901,3.1937,3.1951,3.1736,0,3.5011,1.2003,2.7245,3.0827,3.3591,5.5119,6.3142
"TAL",0.6739,1.8972,0.5815,1.8972,0.8958,0.892,1.8,1.0519,1.8,0.9826,0.7361,3.0187,2.7244,1.9775,0.6814,2.1862,0.8958,0.3407,0.9825,0.7857,3.9797,2.0998,0.9952,3.1754,1.4008,1.0429,0.7857,1.1066,2.209,2.0697,0.8958,0.6198,2.1537,1.6819,0.7857,3.5011,0,4.0562,0.9857,5.5911,1.8378,6.3693,5.172
"VHA",3.583,2.4046,3.5992,2.4046,3.5992,4.3253,3.8334,3.6472,3.8334,3.6665,4.0076,1.5025,1.4013,2.6233,4.0562,2.5457,3.5992,4.0419,3.704,3.5602,1.3658,2.5238,3.5992,1.436,3.8792,3.4386,3.5602,3.3047,2.6162,4.1116,3.5992,4.071,3.8256,3.522,3.5602,1.2003,4.0562,0,3.3876,2.8438,3.7871,5.3488,6.4509
"YST",0.6198,1.3236,0.5178,1.3236,0.8558,1.1066,1.7804,1.2996,1.7804,0.7545,1.0234,2.3823,2.0431,1.208,1.1983,1.58,0.8558,1.0429,1.1053,0.9346,3.1167,1.5013,1.2541,2.486,1.5357,0.3407,0.9346,0.3787,1.8109,2.1633,0.8558,0.8204,2.3405,1.3628,0.9346,2.7245,0.9857,3.3876,0,4.8634,1.9565,6.1797,5.5409
"TempControl-21psu",5.1327,4.4397,5.0493,4.4397,5.237,5.9652,5.6626,4.8535,5.6626,5.3457,5.2625,3.8748,3.4872,3.9668,5.7613,4.5081,5.237,5.6666,4.865,5.0519,2.4453,3.5273,4.9167,3.5511,5.7179,4.7995,5.0519,4.7277,4.5302,6.0402,5.237,5.6165,5.8574,5.3334,5.0519,3.0827,5.5911,2.8438,4.8634,0,4.5377,3.8944,6.2797
"TempControl-7psu",1.8917,2.4531,1.6519,2.4531,2.1588,2.6333,3.0494,0.8891,3.0494,2.4104,1.4093,3.2046,2.7003,2.0233,2.3042,2.7195,2.1588,2.056,0.9499,1.6598,3.6769,1.486,1.1866,3.1687,2.7845,1.7917,1.6598,1.8145,2.4874,3.3974,2.1588,2.2518,2.8864,2.9359,1.6598,3.3591,1.8378,3.7871,1.9565,4.5377,0,4.588,3.6
"TempWarm-16psu",6.2333,6.0363,6.0523,6.0363,6.4273,7.1199,7.0762,5.3494,7.0762,6.6941,5.9186,5.9107,5.4486,5.5178,6.7267,6.1886,6.4273,6.5416,5.4501,5.9732,5.3772,4.7909,5.5324,5.651,6.9678,6.0164,5.9732,5.9822,5.8542,7.4221,6.4273,6.7142,6.6257,6.9626,5.9732,5.5119,6.3693,5.3488,6.1797,3.8944,4.588,0,3.5654
"TempWarm-5psu",5.3903,5.811,5.1799,5.811,5.6136,6.0227,6.3462,4.3379,6.3462,5.9171,4.7875,6.2688,5.8268,5.4211,5.6062,6.0192,5.6136,5.3827,4.4616,5.0873,6.552,4.796,4.5617,6.1648,6.0863,5.3581,5.0873,5.376,5.5764,6.6016,5.6136,5.6893,5.6194,6.4024,5.0873,6.3142,5.172,6.4509,5.5409,6.2797,3.6,3.5654,0
