"trt","bagnum","tank","pop","genet","ind","max_temp","avg_temp","min_sal","avg_sal"
"TempControl-7psu","061","A2","VIK","gen-08","VIK_gen-08",27.02447265625,20.0713383691548,7,7
"TempControl-7psu","062","A2","HOG","gen-08","HOG_gen-08",27.02447265625,20.0713383691548,7,7
"TempControl-7psu","063","A2","BAR","gen-08","BAR_gen-08",27.02447265625,20.0713383691548,7,7
"TempControl-7psu","064","A2","VAT","gen-08","VAT_gen-08",27.02447265625,20.0713383691548,7,7
"TempWarm-16psu","065","A3","VIK","gen-09","VIK_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","066","A3","KAL","gen-09","KAL_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","067","A3","HOG","gen-09","HOG_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","068","A3","KUR","gen-09","KUR_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","069","A3","BJO","gen-09","BJO_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","070","A3","BAR","gen-09","BAR_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","071","A3","VAT","gen-09","VAT_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","072","A3","HOR","gen-09","HOR_gen-09",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","073","A3","KAL","gen-10","KAL_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","074","A3","HOR","gen-10","HOR_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","075","A3","VAT","gen-10","VAT_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","076","A3","BAR","gen-10","BAR_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","077","A3","VIK","gen-10","VIK_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","078","A3","KUR","gen-10","KUR_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","079","A3","BJO","gen-10","BJO_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","080","A3","HOG","gen-10","HOG_gen-10",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","081","A3","KAL","gen-11","KAL_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","082","A3","BJO","gen-11","BJO_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","083","A3","BAR","gen-11","BAR_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","084","A3","HOR","gen-11","HOR_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","085","A3","HOG","gen-11","HOG_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","086","A3","VIK","gen-11","VIK_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","087","A3","VAT","gen-11","VAT_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","088","A3","KUR","gen-11","KUR_gen-11",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","089","A3","HOG","gen-12","HOG_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","090","A3","BAR","gen-12","BAR_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","091","A3","BJO","gen-12","BJO_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","092","A3","KUR","gen-12","KUR_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","093","A3","KAL","gen-12","KAL_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","094","A3","VIK","gen-12","VIK_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","095","A3","HOR","gen-12","HOR_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","096","A3","VAT","gen-12","VAT_gen-12",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","097","A4","HOG","gen-13","HOG_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","098","A4","BJO","gen-13","BJO_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","099","A4","VAT","gen-13","VAT_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","100","A4","BAR","gen-13","BAR_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","101","A4","VIK","gen-13","VIK_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","102","A4","HOR","gen-13","HOR_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","103","A4","KAL","gen-13","KAL_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","104","A4","KUR","gen-13","KUR_gen-13",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","105","A4","KAL","gen-14","KAL_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","106","A4","VIK","gen-14","VIK_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","107","A4","BJO","gen-14","BJO_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","108","A4","KUR","gen-14","KUR_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","109","A4","VAT","gen-14","VAT_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","110","A4","BAR","gen-14","BAR_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","111","A4","HOR","gen-14","HOR_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","112","A4","HOG","gen-14","HOG_gen-14",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","113","A4","KAL","gen-15","KAL_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","114","A4","BAR","gen-15","BAR_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","115","A4","KUR","gen-15","KUR_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","116","A4","HOR","gen-15","HOR_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","117","A4","HOG","gen-15","HOG_gen-15",34.23173828125,25.8003762629227,16,16
