"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"58","BAR",247,"BAR-03","03","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"59","BAR",247,"BAR-04","04","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"60","BAR",247,"BAR-05","05","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"61","BAR",250,"BAR-06","06","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"62","BAR",251,"BAR-07","07","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"63","BAR",251,"BAR-08","08","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"64","BAR",251,"BAR-09","09","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"65","BAR",255,"BAR-10","10","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"66","BAR",255,"BAR-11","11","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"67","BAR",251,"BAR-12","12","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"68","BAR",251,"BAR-13","13","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"69","BAR",258,"BAR-14","14","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"70","BAR",259,"BAR-15","15","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"71","BAR",260,"BAR-16","16","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"72","BAR",261,"BAR-17","17","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"73","BAR",262,"BAR-18","18","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"74","BAR",263,"BAR-19","19","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"75","BAR",264,"BAR-20","20","Barsebäck","Barsebäck hamn",1290189,5575528,0.0154289190167668,0.958217719250326
"76","BJN",394,"BJN-02","02","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"77","BJN",394,"BJN-08","08","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"78","BJN",394,"BJN-10","10","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"79","BJN",394,"BJN-14","14","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"80","BJN",394,"BJN-15","15","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"81","BJN",394,"BJN-16","16","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"82","BJN",394,"BJN-21","21","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"83","BJN",394,"BJN-22","22","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"84","BJN",394,"BJN-27","27","Karlskrona","Björkenäs",15925111,56159447,-0.918356092780621,-0.522363384199117
"85","BJO",703,"BJO-01","01","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"86","BJO",703,"BJO-02","02","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"87","BJO",703,"BJO-04","04","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"88","BJO",703,"BJO-05","05","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"89","BJO",703,"BJO-06","06","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"90","BJO",703,"BJO-07","07","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"91","BJO",703,"BJO-08","08","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"92","BJO",703,"BJO-09","09","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"93","BJO",703,"BJO-10","10","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"94","BJO",703,"BJO-12","12","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"95","BJO",703,"BJO-13","13","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"96","BJO",703,"BJO-14","14","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"97","BJO",703,"BJO-15","15","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
