"","site_abbrev","sal_mean","sal_min","sal_max","sal_quant01","sal_quant99","temp_mean","temp_min","temp_max","temp_quant01","temp_quant99"
"VAT","VAT",20.5037171319225,9.52845096588135,32.6592489878337,12.8719499588013,29.400384349823,17.4991385622615,10.8672669728597,22.5613098144531,12.4776541678111,21.8106948471069
"VIK","VIK",17.5315732114086,11.8299643198649,30.4211769104004,13.2582032076518,24.3260791524251,18.3255593406039,12.4696677525838,22.7906754811605,14.078216492335,22.238992061615
"HOG","HOG",11.9639426699112,7.18325344721476,23.7377936045329,7.8865727297465,20.9669610850016,17.4247096640319,11.9869530995687,22.4425182342529,12.5524499352773,21.7197780291239
"BAR","BAR",9.14842128659425,6.60179917017619,18.3838195800781,7.19522937933604,15.5530767250061,17.3375234968263,11.4425471623739,22.8748690287272,12.4722062492371,21.792541325887
"KUR","KUR",7.78001971175705,6.88506889343262,11.9733107884725,6.93013385454814,9.70804597854614,16.7118259267845,10.3801720937093,23.1814250946045,12.0822756417592,22.059956296285
"KAL","KAL",6.80684821737614,5.90900532404582,7.45984935760498,6.14784039497376,7.37921290874481,17.7138633624367,11.9178368250529,24.1787846883138,12.7146910858154,22.5179632949829
"HOR","HOR",6.63049892034769,5.73694976170858,7.58354568481445,5.91030412038167,7.40645548343658,14.6618237613218,5.64519230524699,23.5119126637777,6.69109824021657,22.4060060119629
"BJO","BJO",4.99594182836208,4.24618355433146,5.5030616124471,4.42126132806142,5.4735493850708,13.5273060636872,6.31900898615519,21.3371880849202,7.13438090165456,19.5496955108643
