"bagnum_num","tank_ID","bagKey","trt","bagnum_text","pop","new_label","genetID","DNA_label","temp_full","sal_full","gen","genet","board","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position"
20,"A1","BCAC6342","TempControl-21psu",20,"BJO","020_A1_BJO_gen-03_TempControl-21psu",3,"BJO_gen-03","TempControl","21psu","gen-03","BJO-03",3,21,21,20.9,21.1,0.0707106781186558,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,5,4,"5_4"
21,"A1","7150E0DB","TempControl-21psu",21,"BAR","021_A1_BAR_gen-03_TempControl-21psu",3,"BAR_gen-03","TempControl","21psu","gen-03","BAR-03",3,21.3,21.3,21.3,21.3,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,6,1,"6_1"
22,"A1","B76CC141","TempControl-21psu",22,"KAL","022_A1_KAL_gen-03_TempControl-21psu",3,"KAL_gen-03","TempControl","21psu","gen-03","KAL-03",3,21.22,21.2,21.2,21.3,0.0447213595499964,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,6,2,"6_2"
23,"A1","7639C1B3","TempControl-21psu",23,"HOR","023_A1_HOR_gen-03_TempControl-21psu",3,"HOR_gen-03","TempControl","21psu","gen-03","HOR-03",3,21.32,21.3,21.3,21.4,0.0447213595499948,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,6,3,"6_3"
24,"A1","15BE5A7B","TempControl-21psu",24,"KUR","024_A1_KUR_gen-03_TempControl-21psu",3,"KUR_gen-03","TempControl","21psu","gen-03","KUR-03",3,21.22,21.2,21.2,21.3,0.0447213595499964,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,6,4,"6_4"
25,"A1","7F9297DC","TempControl-7psu",25,"VAT","025_A1_VAT_gen-04_TempControl-7psu",4,"VAT_gen-04","TempControl","7psu","gen-04","VAT-04",4,7.2,7.2,7.2,7.2,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,7,1,"7_1"
26,"A1","F7FC6BA2","TempControl-7psu",26,"HOG","026_A1_HOG_gen-04_TempControl-7psu",4,"HOG_gen-04","TempControl","7psu","gen-04","HOG-04",4,7.1,7.1,7.1,7.1,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,7,2,"7_2"
27,"A1","5C4F1755","TempControl-7psu",27,"VIK","027_A1_VIK_gen-04_TempControl-7psu",4,"VIK_gen-04","TempControl","7psu","gen-04","VIK-04",4,7.3,7.3,7.3,7.3,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,7,3,"7_3"
28,"A1","BB0780DF","TempControl-7psu",28,"BAR","028_A1_BAR_gen-04_TempControl-7psu",4,"BAR_gen-04","TempControl","7psu","gen-04","BAR-04",4,7.1,7.1,7.1,7.1,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,7,4,"7_4"
29,"A1","5B3B94A7","TempControl-7psu",29,"KUR","029_A1_KUR_gen-04_TempControl-7psu",4,"KUR_gen-04","TempControl","7psu","gen-04","KUR-04",4,7,7,7,7,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,8,1,"8_1"
30,"A1","89EAD61F","TempControl-7psu",30,"KAL","030_A1_KAL_gen-04_TempControl-7psu",4,"KAL_gen-04","TempControl","7psu","gen-04","KAL-04",4,7,7,7,7,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,8,2,"8_2"
31,"A1","50B529FA","TempControl-7psu",31,"HOR","031_A1_HOR_gen-04_TempControl-7psu",4,"HOR_gen-04","TempControl","7psu","gen-04","HOR-04",4,7.04,7,7,7.1,0.0547722557505164,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,8,3,"8_3"
32,"A1","8E61A8D8","TempControl-7psu",32,"BJO","032_A1_BJO_gen-04_TempControl-7psu",4,"BJO_gen-04","TempControl","7psu","gen-04","BJO-04",4,6.98,7,6.9,7,0.0447213595499956,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,8,4,"8_4"
33,"A2","5EFDE8D2","TempControl-21psu",33,"VIK","033_A2_VIK_gen-05_TempControl-21psu",5,"VIK_gen-05","TempControl","21psu","gen-05","VIK-05",5,21.36,21.4,21.3,21.4,0.0547722557505154,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,1,5,"1_5"
34,"A2","870464D1","TempControl-21psu",34,"VAT","034_A2_VAT_gen-05_TempControl-21psu",5,"VAT_gen-05","TempControl","21psu","gen-05","VAT-05",5,21.56,21.6,21.5,21.6,0.0547722557505174,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,1,6,"1_6"
35,"A2","63288483","TempControl-21psu",35,"HOR","035_A2_HOR_gen-05_TempControl-21psu",5,"HOR_gen-05","TempControl","21psu","gen-05","HOR-05",5,21.26,21.3,21,21.4,0.151657508881031,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,1,7,"1_7"
36,"A2","07A21C15","TempControl-21psu",36,"BJO","036_A2_BJO_gen-05_TempControl-21psu",5,"BJO_gen-05","TempControl","21psu","gen-05","BJO-05",5,21.14,21.1,21.1,21.2,0.0547722557505154,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,1,8,"1_8"
37,"A2","ABD85331","TempControl-21psu",37,"KAL","037_A2_KAL_gen-05_TempControl-21psu",5,"KAL_gen-05","TempControl","21psu","gen-05","KAL-05",5,21.175,21.2,21.1,21.2,0.0499999999999989,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,2,5,"2_5"
38,"A2","8E10126B","TempControl-21psu",38,"BAR","038_A2_BAR_gen-05_TempControl-21psu",5,"BAR_gen-05","TempControl","21psu","gen-05","BAR-05",5,21.275,21.3,21.2,21.3,0.0500000000000007,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,2,6,"2_6"
39,"A2","26C61770","TempControl-21psu",39,"HOG","039_A2_HOG_gen-05_TempControl-21psu",5,"HOG_gen-05","TempControl","21psu","gen-05","HOG-05",5,21.28,21.3,21.2,21.3,0.0447213595499964,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,2,7,"2_7"
40,"A2","2BA43506","TempControl-21psu",40,"KUR","040_A2_KUR_gen-05_TempControl-21psu",5,"KUR_gen-05","TempControl","21psu","gen-05","KUR-05",5,21.18,21.2,21.1,21.2,0.0447213595499948,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,2,8,"2_8"
41,"A2","8C1A73C9","TempControl-7psu",41,"VAT","041_A2_VAT_gen-06_TempControl-7psu",6,"VAT_gen-06","TempControl","7psu","gen-06","VAT-06",6,7.1,7.1,7.1,7.1,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,3,5,"3_5"
42,"A2","A370BACA","TempControl-7psu",42,"HOG","042_A2_HOG_gen-06_TempControl-7psu",6,"HOG_gen-06","TempControl","7psu","gen-06","HOG-06",6,7.1,7.1,7.1,7.1,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,3,6,"3_6"
43,"A2","1C0011C4","TempControl-7psu",43,"BJO","043_A2_BJO_gen-06_TempControl-7psu",6,"BJO_gen-06","TempControl","7psu","gen-06","BJO-06",6,7.2,7.2,7.2,7.2,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,3,7,"3_7"
44,"A2","6794474F","TempControl-7psu",44,"KUR","044_A2_KUR_gen-06_TempControl-7psu",6,"KUR_gen-06","TempControl","7psu","gen-06","KUR-06",6,7.08,7.1,7,7.1,0.0447213595499956,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,3,8,"3_8"
45,"A2","D9E7C45A","TempControl-7psu",45,"BAR","045_A2_BAR_gen-06_TempControl-7psu",6,"BAR_gen-06","TempControl","7psu","gen-06","BAR-06",6,7.14,7,7,7.7,0.313049516849971,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,4,5,"4_5"
46,"A2","6D809231","TempControl-7psu",46,"VIK","046_A2_VIK_gen-06_TempControl-7psu",6,"VIK_gen-06","TempControl","7psu","gen-06","VIK-06",6,7.14,7.1,7.1,7.2,0.0547722557505169,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,4,6,"4_6"
47,"A2","4459091D","TempControl-7psu",47,"KAL","047_A2_KAL_gen-06_TempControl-7psu",6,"KAL_gen-06","TempControl","7psu","gen-06","KAL-06",6,6.98,7,6.9,7,0.0447213595499956,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,4,7,"4_7"
48,"A2","3089D8E3","TempControl-7psu",48,"HOR","048_A2_HOR_gen-06_TempControl-7psu",6,"HOR_gen-06","TempControl","7psu","gen-06","HOR-06",6,7.02,7,7,7.1,0.0447213595499956,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,4,8,"4_8"
49,"A2","16F4F8C0","TempControl-21psu",49,"HOG","049_A2_HOG_gen-07_TempControl-21psu",7,"HOG_gen-07","TempControl","21psu","gen-07","HOG-07",7,21.42,21.4,21.3,21.5,0.0836660026534075,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,5,5,"5_5"
50,"A2","DA48EA5D","TempControl-21psu",50,"BJO","050_A2_BJO_gen-07_TempControl-21psu",7,"BJO_gen-07","TempControl","21psu","gen-07","BJO-07",7,20.88,20.9,20.8,20.9,0.0447213595499948,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,5,6,"5_6"
51,"A2","5DD875C2","TempControl-21psu",51,"HOR","051_A2_HOR_gen-07_TempControl-21psu",7,"HOR_gen-07","TempControl","21psu","gen-07","HOR-07",7,21.42,21.4,21.3,21.5,0.0836660026534075,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,5,7,"5_7"
52,"A2","9791BDF6","TempControl-21psu",52,"KAL","052_A2_KAL_gen-07_TempControl-21psu",7,"KAL_gen-07","TempControl","21psu","gen-07","KAL-07",7,21.34,21.3,21.3,21.4,0.0547722557505154,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,5,8,"5_8"
53,"A2","073B206A","TempControl-21psu",53,"VAT","053_A2_VAT_gen-07_TempControl-21psu",7,"VAT_gen-07","TempControl","21psu","gen-07","VAT-07",7,21.38,21.4,21.3,21.4,0.0447213595499948,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,6,5,"6_5"
54,"A2","05A62A4B","TempControl-21psu",54,"KUR","054_A2_KUR_gen-07_TempControl-21psu",7,"KUR_gen-07","TempControl","21psu","gen-07","KUR-07",7,21.18,21.2,21.1,21.2,0.0447213595499948,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,6,6,"6_6"
55,"A2","7FC73D59","TempControl-21psu",55,"VIK","055_A2_VIK_gen-07_TempControl-21psu",7,"VIK_gen-07","TempControl","21psu","gen-07","VIK-07",7,21.32,21.3,21.2,21.4,0.083666002653407,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,6,7,"6_7"
56,"A2","7A7B2461","TempControl-21psu",56,"BAR","056_A2_BAR_gen-07_TempControl-21psu",7,"BAR_gen-07","TempControl","21psu","gen-07","BAR-07",7,21.2,21.2,21.1,21.3,0.0707106781186545,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,6,8,"6_8"
57,"A2","71C82EA8","TempControl-7psu",57,"KUR","057_A2_KUR_gen-08_TempControl-7psu",8,"KUR_gen-08","TempControl","7psu","gen-08","KUR-08",8,7,7,7,7,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,7,5,"7_5"
58,"A2","CB7DCA43","TempControl-7psu",58,"BJO","058_A2_BJO_gen-08_TempControl-7psu",8,"BJO_gen-08","TempControl","7psu","gen-08","BJO-08",8,6.98,7,6.9,7,0.0447213595499956,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,7,6,"7_6"
59,"A2","34FDE356","TempControl-7psu",59,"KAL","059_A2_KAL_gen-08_TempControl-7psu",8,"KAL_gen-08","TempControl","7psu","gen-08","KAL-08",8,7,7,7,7,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,7,7,"7_7"
60,"A2","5AB95C80","TempControl-7psu",60,"HOR","060_A2_HOR_gen-08_TempControl-7psu",8,"HOR_gen-08","TempControl","7psu","gen-08","HOR-08",8,7.1,7.1,7.1,7.1,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,7,8,"7_8"
61,"A2","FF4D887C","TempControl-7psu",61,"VIK","061_A2_VIK_gen-08_TempControl-7psu",8,"VIK_gen-08","TempControl","7psu","gen-08","VIK-08",8,7.2,7.2,7.2,7.2,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,8,5,"8_5"
62,"A2","F9D4293C","TempControl-7psu",62,"HOG","062_A2_HOG_gen-08_TempControl-7psu",8,"HOG_gen-08","TempControl","7psu","gen-08","HOG-08",8,7,7,7,7,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,8,6,"8_6"
63,"A2","95923563","TempControl-7psu",63,"BAR","063_A2_BAR_gen-08_TempControl-7psu",8,"BAR_gen-08","TempControl","7psu","gen-08","BAR-08",8,7,7,7,7,0,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,8,7,"8_7"
64,"A2","40F0739F","TempControl-7psu",64,"VAT","064_A2_VAT_gen-08_TempControl-7psu",8,"VAT_gen-08","TempControl","7psu","gen-08","VAT-08",8,7.16,7.2,7.1,7.2,0.0547722557505169,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,8,8,"8_8"
65,"A3","4A50A4B5","TempWarm-16psu",65,"VIK","065_A3_VIK_gen-09_TempWarm-16psu",9,"VIK_gen-09","TempWarm","16psu","gen-09","VIK-09",9,16.26,16.3,16.1,16.4,0.114017542509913,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,1,9,"1_9"
