"region","site_full","Pop","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"Germany","Kiel","KIE",10.154972,54.345615,"19","12","22","10","25","10",0.70588022342345,0.28625165378761,0.279063782379642,0.307568557004146
"Kosterhavet","Koster donor site","KOD",10.991989,58.882538,"18","22","20","20","23","10",0.356100837694119,-0.528792618165885,1.97425610238329,0.307568557004146
"Kosterhavet","Gåsholmen ","GAS",11.134688,58.878628,"17","22","19","21","23","9",0.00632145196478833,-0.528792618165885,1.97425610238329,0.107434005969295
"Grebbestad-Fjällbacka","Kämpersvik","KAV",11.27672,58.64622,"18","21","21","20","23","15",0.356100837694119,-0.528792618165885,1.80473687038292,1.3082413121784
"Ellös-Havstenfjord","Väst Hjältön","VHA",11.60238,58.25641,"16","25","18","24","25","13",-0.343457933764543,0.28625165378761,2.48281379838438,0.907972210108699
"Hake-Älgöfjorden","Stenungsund","STE",11.81013,58.05143,"18","22","20","20","23","12",0.356100837694119,-0.528792618165885,1.97425610238329,0.707837659073848
"Sälöfjorden","N. Överön","NOV",11.728779,57.795244,"19","18","21","17","23","6",0.70588022342345,-0.528792618165885,1.29617917438183,-0.492969647135258
"Göteborgs S skärgård","S. Brännö","SBR",11.79115,57.64159,"19","17","21","16","23","1",0.70588022342345,-0.528792618165885,1.12665994238146,-1.49364240230951
"Kungsbacka","Gottskär","GOT",12.02123,57.39626,"17","19","20","18","24","10",0.00632145196478833,-0.121270482189138,1.46569840638219,0.307568557004146
"Lahalmsbukten","Grötvik","GRO",12.78014,56.64116,"19","13","21","12","23","9",0.70588022342345,-0.528792618165885,0.448583014380006,0.107434005969295
"Øresund","Ålabadarna","ALA",12.771034,55.940683,"17","16","20","15","23","7",0.00632145196478833,-0.528792618165885,0.9571407103811,-0.292835096100407
"Lomma","South Lomma Bay","LOM",13.05485,55.67242,"18","9","20","7","23","7",0.356100837694119,-0.528792618165885,-0.229493913621452,-0.292835096100407
"Gamla Staden-Sandskogen","Ystad","YST",13.84636159,55.42155879,"17","8","19","6","23","7",0.00632145196478833,-0.528792618165885,-0.399013145621817,-0.292835096100407
"Skillinge","Skillinge","SKI",14.2785,55.457556,"13","8","15","6","23","7",-1.39279609095254,-0.528792618165885,-0.399013145621817,-0.292835096100407
"Kristianstad","Åhus","AHU",14.402056,55.973569,"16","7","18","6","24","6",-0.343457933764543,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Pukaviksbukten","Furumon","FUR",14.72029998,56.0954,"15","7","17","6","23","6",-0.693237319493874,-0.528792618165885,-0.568532377622181,-0.492969647135258
"Karlskrona","Björkenäs","BJN",15.925111,56.159447,"15","7","17","6","24","6",-0.693237319493874,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Öland","Bläsinge","BLA",16.704923,56.621246,"12","7","14","6","24","6",-1.74257547668187,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Öland","Kårehamn","KAR",16.912377,56.969566,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.568532377622181,-0.492969647135258
"Oskarshamn","Oskarshamn","OSK",16.583068,57.031518,"15","7","17","6","24","6",-0.693237319493874,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Gotland","Burgsvik","BUR",18.223786,57.032289,"18","7","21","5","26","6",0.356100837694119,0.693773789764357,-0.568532377622181,-0.492969647135258
"Öland","Bödagården","BAD",17.058547,57.259256,"17","7","19","5","24","6",0.00632145196478833,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Gotland","Ljugarn","LJU",18.695397,57.319176,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.568532377622181,-0.492969647135258
"Gotland","Klintehamn","KLI",18.152719,57.401162,"17","7","21","5","26","6",0.00632145196478833,0.693773789764357,-0.568532377622181,-0.492969647135258
"Gotland","Slite","SLI",18.831167,57.713318,"16","7","19","5","25","6",-0.343457933764543,0.28625165378761,-0.568532377622181,-0.492969647135258
"Valdemarsvik","Ekön","EKO",16.854798,58.175265,"12","7","15","5","24","6",-1.74257547668187,-0.121270482189138,-0.568532377622181,-0.492969647135258
"Tystberga","Krampö","KRA",17.4658689,58.690647,"13","7","16","5","24","5",-1.39279609095254,-0.121270482189138,-0.568532377622181,-0.69310419817011
"Nynäshamn","Nynäshamn","NYN",17.9542217,58.8811079,"11","7","13","5","24","5",-2.0923548624112,-0.121270482189138,-0.568532377622181,-0.69310419817011
"Haninge","Gålö","GAL",18.32692339,59.09087305,"19","6","21","5","24","5",0.70588022342345,-0.121270482189138,-0.738051609622546,-0.69310419817011
"Finland","Rauma","RAU",21.319105,61.052267,"16","5","19","4","23","5",-0.343457933764543,-0.528792618165885,-0.907570841622911,-0.69310419817011
"Finland","Hanko","HAN",22.990247,59.824232,"15","6","18","4","24","4",-0.693237319493874,-0.121270482189138,-0.738051609622546,-0.893238749204961
"Finland","Ingå","ING",24.039419,59.9906558,"16","6","18","4","24","4",-0.343457933764543,-0.121270482189138,-0.738051609622546,-0.893238749204961
"Estonia","Tallinn","TAL",24.5688,59.4576,"17","6","21","4","24","4",0.00632145196478833,-0.121270482189138,-0.738051609622546,-0.893238749204961
"Barsebäck","Barsebäck hamn","BAR",12.90189,55.75528,"17","16","19","15","23","7",-0.0206815166135165,-0.579786258855822,-0.636035076475821,1.60666194122647
"Östersjö","Björkö","BJO",19.07867998,59.83484289,"16","5","20","4","22","4",-0.202881598639924,-1.20642528152679,-1.03535722656189,-0.605165076445396
"Södra Höganäs","Höganäs","HOG",12.55141,56.1969,"18","17","20","15","22","7",0.26750171928888,-0.755978778111232,-0.537467393988916,1.65709584808725
"Hornsudde","Hornsudde","HOR",16.730625,57.695151,"15","7","18","5","24","6",-0.636083367865701,-0.320176875989651,-0.78264368399522,-0.341908088014153
