"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal"
"1","HOR","TempControl-21psu","A1",1,1.78759997196641,0.442092354867951,1.78428094904247,5.54528866014955
"2","KUR","TempControl-21psu","A1",2,1.78759997196641,0.442092354867951,1.76753721540131,5.5071262712761
"3","BAR","TempControl-21psu","A1",3,1.78759997196641,0.442092354867951,1.76753721540131,5.54528866014955
"4","HOG","TempControl-21psu","A1",4,1.78759997196641,0.442092354867951,1.78428094904247,5.583451049023
"5","VIK","TempControl-21psu","A1",5,1.78759997196641,0.442092354867951,1.76753721540131,5.54528866014955
"6","VAT","TempControl-21psu","A1",6,1.78759997196641,0.442092354867951,1.78428094904247,5.583451049023
"7","KAL","TempControl-21psu","A1",7,1.78759997196641,0.442092354867951,1.76753721540131,5.54528866014955
"8","BJO","TempControl-21psu","A1",8,1.78759997196641,0.442092354867951,1.71730601447783,5.4308014935292
"9","KAL","TempControl-7psu","A1",9,1.78759997196641,0.442092354867951,-0.626816695284408,0.0880670512464196
"10","KUR","TempControl-7psu","A1",10,1.78759997196641,0.442092354867951,-0.660304162566726,0.0117422734995226
"11","BJO","TempControl-7psu","A1",11,1.78759997196641,0.442092354867951,-0.61007296164325,0.126229440119868
"12","VIK","TempControl-7psu","A1",12,1.78759997196641,0.442092354867951,-0.576585494360932,0.202554217866765
"13","VAT","TempControl-7psu","A1",13,1.78759997196641,0.442092354867951,-0.61007296164325,0.126229440119868
"14","HOR","TempControl-7psu","A1",14,1.78759997196641,0.442092354867951,-0.643560428925567,-0.0645825042473744
"15","HOG","TempControl-7psu","A1",15,1.78759997196641,0.442092354867951,-0.61007296164325,0.126229440119868
"16","BAR","TempControl-7psu","A1",16,1.78759997196641,0.442092354867951,-0.593329228002091,0.126229440119868
"17","VIK","TempControl-21psu","A1",17,1.78759997196641,0.442092354867951,1.78428094904247,5.583451049023
"18","HOG","TempControl-21psu","A1",18,1.78759997196641,0.442092354867951,1.75079348176015,5.5071262712761
"19","VAT","TempControl-21psu","A1",19,1.78759997196641,0.442092354867951,1.78428094904247,5.583451049023
"20","BJO","TempControl-21psu","A1",20,1.78759997196641,0.442092354867951,1.71730601447783,5.39263910465576
"21","BAR","TempControl-21psu","A1",21,1.78759997196641,0.442092354867951,1.76753721540131,5.54528866014955
"22","KAL","TempControl-21psu","A1",22,1.78759997196641,0.442092354867951,1.75079348176015,5.5071262712761
"23","HOR","TempControl-21psu","A1",23,1.78759997196641,0.442092354867951,1.76753721540131,5.54528866014955
"24","KUR","TempControl-21psu","A1",24,1.78759997196641,0.442092354867951,1.75079348176015,5.5071262712761
"25","VAT","TempControl-7psu","A1",25,1.78759997196641,0.442092354867951,-0.593329228002091,0.164391828993317
"26","HOG","TempControl-7psu","A1",26,1.78759997196641,0.442092354867951,-0.61007296164325,0.126229440119868
