"Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"BJO",703,"BJO-01","01","Östersjö","Björkö",19.07867998,59.83484289,16,5,20,4,22,4,-0.202881598639924,-1.20642528152679,-0.897977080523668,-0.885555727354295
"BLA",404,"BLA-01","01","Öland","Bläsinge",16.704923,56.621246,16,7,18,6,24,6,-1.74257547668187,-0.121270482189138,-0.662732199384387,-0.396278094531094
"BUR",489,"BUR-01","01","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",491,"BUR-03","03","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",493,"BUR-05","05","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",494,"BUR-06","06","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",496,"BUR-07","07","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",498,"BUR-09","09","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",499,"BUR-10","10","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",501,"BUR-11","11","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",504,"BUR-13","13","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",507,"BUR-14","14","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",508,"BUR-16","16","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",509,"BUR-17","17","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"BUR",511,"BUR-18","18","Gotland","Burgsvik",18.223786,57.032289,12,7,14,6,24,6,0.356100837694119,0.693773789764357,-0.662732199384387,-0.396278094531094
"EKO",615,"EKO-01","01","Valdemarsvik","Ekön",16.854798,58.175265,17,7,19,5,24,6,-1.74257547668187,-0.121270482189138,-0.662732199384387,-0.396278094531094
"EKO",624,"EKO-09","09","Valdemarsvik","Ekön",16.854798,58.175265,17,7,19,5,24,6,-1.74257547668187,-0.121270482189138,-0.662732199384387,-0.396278094531094
"FUR",383,"FUR-02","02","Pukaviksbukten","Furumon",14.72029998,56.0954,17,8,19,6,23,7,-0.693237319493874,-0.528792618165885,-0.662732199384387,-0.396278094531094
"FUR",379,"FUR-18","18","Pukaviksbukten","Furumon",14.72029998,56.0954,17,8,19,6,23,7,-0.693237319493874,-0.528792618165885,-0.662732199384387,-0.396278094531094
