"","pop","mll_no","indv_no","pop_no","site_full","median_temp","max_temp","median_sal","min_sal"
"1","AHU",351,"AHU-01","01","Åhus",-0.197821480533931,0.240720707101644,-0.626816695284408,-0.293556837488065
"2","AHU",366,"AHU-02","02","Åhus",-0.197821480533931,0.240720707101644,-0.626816695284408,-0.293556837488065
"3","AHU",361,"AHU-09","09","Åhus",-0.197821480533931,0.240720707101644,-0.626816695284408,-0.293556837488065
"4","AHU",367,"AHU-13","13","Åhus",-0.197821480533931,0.240720707101644,-0.626816695284408,-0.293556837488065
"5","ALA",219,"ALA-01","01","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"6","ALA",222,"ALA-02","02","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"7","ALA",230,"ALA-03","03","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"8","ALA",220,"ALA-04","04","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"9","ALA",229,"ALA-09","09","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"10","ALA",231,"ALA-11","11","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"11","ALA",233,"ALA-13","13","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"12","ALA",234,"ALA-14","14","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"13","ALA",236,"ALA-15","15","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"14","ALA",237,"ALA-17","17","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"15","ALA",238,"ALA-18","18","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"16","ALA",239,"ALA-19","19","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"17","ALA",240,"ALA-20","20","Ålabadarna",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"18","BAD",519,"BAD-03","03","Bödagården",0.284368378267527,0.240720707101644,-0.626816695284408,-0.293556837488065
"19","BAD",520,"BAD-06","06","Bödagården",0.284368378267527,0.240720707101644,-0.626816695284408,-0.293556837488065
"20","BAD",526,"BAD-16","16","Bödagården",0.284368378267527,0.240720707101644,-0.626816695284408,-0.293556837488065
"21","BAD",533,"BAD-17","17","Bödagården",0.284368378267527,0.240720707101644,-0.626816695284408,-0.293556837488065
"22","BAR",241,"BAR-01","01","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"23","BAR",244,"BAR-02","02","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"24","BAR",247,"BAR-03","03","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"25","BAR",250,"BAR-06","06","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"26","BAR",251,"BAR-07","07","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"27","BAR",255,"BAR-10","10","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"28","BAR",258,"BAR-14","14","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"29","BAR",259,"BAR-15","15","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"30","BAR",260,"BAR-16","16","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"31","BAR",261,"BAR-17","17","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
"32","BAR",262,"BAR-18","18","Barsebäck hamn",0.284368378267527,-0.802402357005485,0.880119332419889,0.0880670512464196
