"pop","mll_no","indv_no","pop_no","region","site_full","long","lat","median_temp","median_sal","temp_8.5","sal_8.5","max_temp","min_sal","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled"
"KAV",76,"KAV-05","05","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",77,"KAV-06","06","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",78,"KAV-07","07","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",79,"KAV-08","08","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",84,"KAV-11","11","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",85,"KAV-14","14","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",86,"KAV-15","15","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",87,"KAV-16","16","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"KAV",90,"KAV-17","17","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.345051550529484,-0.528792618165885,1.50203305632424,2.23709520677393
"VHA",92,"VHA-01","01","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",93,"VHA-02","02","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",94,"VHA-03","03","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",96,"VHA-04","04","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",97,"VHA-06","06","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",98,"VHA-07","07","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",99,"VHA-08","08","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",100,"VHA-09","09","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",101,"VHA-10","10","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",102,"VHA-11","11","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",104,"VHA-13","13","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",106,"VHA-15","15","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",107,"VHA-16","16","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",108,"VHA-17","17","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",110,"VHA-18","18","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",112,"VHA-19","19","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"VHA",115,"VHA-20","20","Ellös-Havstenfjord","Väst Hjältön",11.60238,58.25641,16,25,18,24,25,13,-0.343910146728746,0.28625165378761,2.12852347597359,1.65143296875136
"STE",116,"STE-01","01","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",117,"STE-03","03","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",118,"STE-04","04","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",119,"STE-05","05","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",121,"STE-07","07","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",122,"STE-09","09","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",123,"STE-11","11","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",124,"STE-12","12","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",126,"STE-14","14","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",127,"STE-17","17","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",131,"STE-19","19","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",132,"STE-20","20","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",133,"STE-02","02","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",135,"STE-06","06","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",136,"STE-08","08","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"STE",137,"STE-18","18","Hake-Älgöfjorden","Stenungsund",11.81013,58.05143,18,22,20,20,23,12,0.345051550529484,-0.528792618165885,1.65865566123658,1.35860184974008
"NOV",138,"NOV-01","01","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",144,"NOV-04","04","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",146,"NOV-08","08","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",147,"NOV-06","06","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",148,"NOV-13","13","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",149,"NOV-14","14","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",150,"NOV-15","15","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",152,"NOV-18","18","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"NOV",153,"NOV-20","20","Sälöfjorden","N. Överön",11.728779,57.795244,19,18,21,17,23,6,0.6895323991586,-0.528792618165885,1.03216524158723,-0.398384864327609
"SBR",154,"SBR-01","01","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",157,"SBR-02","02","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",159,"SBR-03","03","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",160,"SBR-04","04","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",161,"SBR-05","05","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",162,"SBR-07","07","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",163,"SBR-08","08","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",164,"SBR-09","09","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",165,"SBR-10","10","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",166,"SBR-11","11","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",167,"SBR-12","12","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",168,"SBR-13","13","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",169,"SBR-14","14","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",170,"SBR-15","15","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
