"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal"
"1","HOR","TempControl-21psu","A1",1,1.8354145293051,0.480388779735714,1.76716620275834,5.62044047456566
"2","KUR","TempControl-21psu","A1",2,1.8354145293051,0.480388779735714,1.75063436728202,5.5819858944372
"3","BAR","TempControl-21psu","A1",3,1.8354145293051,0.480388779735714,1.75063436728202,5.62044047456566
"4","HOG","TempControl-21psu","A1",4,1.8354145293051,0.480388779735714,1.76716620275834,5.65889505469413
"5","VIK","TempControl-21psu","A1",5,1.8354145293051,0.480388779735714,1.75063436728202,5.62044047456566
"6","VAT","TempControl-21psu","A1",6,1.8354145293051,0.480388779735714,1.76716620275834,5.65889505469413
"7","KAL","TempControl-21psu","A1",7,1.8354145293051,0.480388779735714,1.75063436728202,5.62044047456566
"8","BJO","TempControl-21psu","A1",8,1.8354145293051,0.480388779735714,1.70103886085305,5.50507673418026
"9","KAL","TempControl-7psu","A1",9,1.8354145293051,0.480388779735714,-0.613418105831919,0.121435516195153
"10","KUR","TempControl-7psu","A1",10,1.8354145293051,0.480388779735714,-0.646481776784562,0.0445263559382227
"11","BJO","TempControl-7psu","A1",11,1.8354145293051,0.480388779735714,-0.596886270355598,0.159890096323618
"12","VIK","TempControl-7psu","A1",12,1.8354145293051,0.480388779735714,-0.563822599402955,0.236799256580548
"13","VAT","TempControl-7psu","A1",13,1.8354145293051,0.480388779735714,-0.596886270355598,0.159890096323618
"14","HOR","TempControl-7psu","A1",14,1.8354145293051,0.480388779735714,-0.62994994130824,-0.0323828043187075
"15","HOG","TempControl-7psu","A1",15,1.8354145293051,0.480388779735714,-0.596886270355598,0.159890096323618
"16","BAR","TempControl-7psu","A1",16,1.8354145293051,0.480388779735714,-0.580354434879277,0.159890096323618
"17","VIK","TempControl-21psu","A1",17,1.8354145293051,0.480388779735714,1.76716620275834,5.65889505469413
"18","HOG","TempControl-21psu","A1",18,1.8354145293051,0.480388779735714,1.73410253180569,5.5819858944372
"19","VAT","TempControl-21psu","A1",19,1.8354145293051,0.480388779735714,1.76716620275834,5.65889505469413
"20","BJO","TempControl-21psu","A1",20,1.8354145293051,0.480388779735714,1.70103886085305,5.4666221540518
"21","BAR","TempControl-21psu","A1",21,1.8354145293051,0.480388779735714,1.75063436728202,5.62044047456566
"22","KAL","TempControl-21psu","A1",22,1.8354145293051,0.480388779735714,1.73410253180569,5.5819858944372
"23","HOR","TempControl-21psu","A1",23,1.8354145293051,0.480388779735714,1.75063436728202,5.62044047456566
"24","KUR","TempControl-21psu","A1",24,1.8354145293051,0.480388779735714,1.73410253180569,5.5819858944372
"25","VAT","TempControl-7psu","A1",25,1.8354145293051,0.480388779735714,-0.580354434879277,0.198344676452083
"26","HOG","TempControl-7psu","A1",26,1.8354145293051,0.480388779735714,-0.596886270355598,0.159890096323618
"27","VIK","TempControl-7psu","A1",27,1.8354145293051,0.480388779735714,-0.563822599402955,0.236799256580548
"28","BAR","TempControl-7psu","A1",28,1.8354145293051,0.480388779735714,-0.596886270355598,0.159890096323618
"29","KUR","TempControl-7psu","A1",29,1.8354145293051,0.480388779735714,-0.613418105831919,0.121435516195153
"30","KAL","TempControl-7psu","A1",30,1.8354145293051,0.480388779735714,-0.613418105831919,0.121435516195153
"31","HOR","TempControl-7psu","A1",31,1.8354145293051,0.480388779735714,-0.613418105831919,0.121435516195153
"32","BJO","TempControl-7psu","A1",32,1.8354145293051,0.480388779735714,-0.613418105831919,0.082980936066688
"33","VIK","TempControl-21psu","A2",33,1.8354145293051,0.932134742725474,1.76716620275834,5.62044047456566
"34","VAT","TempControl-21psu","A2",34,1.8354145293051,0.932134742725474,1.80022987371098,5.69734963482259
"35","HOR","TempControl-21psu","A2",35,1.8354145293051,0.932134742725474,1.75063436728202,5.50507673418026
"36","BJO","TempControl-21psu","A2",36,1.8354145293051,0.932134742725474,1.71757069632937,5.54353131430873
"37","KAL","TempControl-21psu","A2",37,1.8354145293051,0.932134742725474,1.73410253180569,5.54353131430873
"38","BAR","TempControl-21psu","A2",38,1.8354145293051,0.932134742725474,1.75063436728202,5.5819858944372
"39","HOG","TempControl-21psu","A2",39,1.8354145293051,0.932134742725474,1.75063436728202,5.5819858944372
