"","Site_code","mean_sal","min_sal","max_sal","med_sal","sd_sal","mean_temp","min_temp","max_temp","med_temp","sd_temp"
"1","BAR",14.5791418327801,7.68634796142578,25.3654460906982,14.6080408096314,2.91852837883811,17.2842828621192,10.863600730896,24.4195442199707,17.2059745788575,1.99766232012842
"2","BJO",14.4220929547889,7.69726514816284,25.6063079833984,14.4438986778259,2.80836886439077,17.2644984524241,10.6472873687744,24.6757946014404,17.1608629226684,1.97385775506978
"3","HOG",14.1651237463291,7.75167369842529,24.3644390106201,14.0828194618225,2.68370559588329,17.2559075679075,11.019549369812,24.3549137115479,17.1988067626953,1.9302156813473
"4","HOR",13.8470755454266,7.79559898376465,23.6548500061035,13.7019667625427,2.63256749618502,17.1595915403605,11.2292785644531,23.9972133636475,17.1380233764649,1.89946209506501
"5","KAL",13.2255673493321,7.8726053237915,21.8362293243408,12.9834880828857,2.69506952153516,16.9402520320475,10.9171085357666,23.3772068023682,16.9598731994628,1.8774778633371
"6","KUR",12.818963243242,7.70657777786255,20.8789100646973,12.5813493728638,2.77256853632185,16.9734046459198,10.961745262146,23.5350952148438,16.9724369049072,1.90292704088759
"7","VAT",12.5546081535744,7.53328323364258,20.9895534515381,12.2251224517822,2.83592924272059,17.0056048322258,10.8166418075562,23.7182102203369,16.9657955169678,1.92371623502184
"8","VIK",12.298007787766,7.46102237701416,21.6268653869629,11.8616046905518,2.85165682418881,17.0700210560609,10.6454076766968,24.324333190918,17.0512351989746,1.9351159947655
