"","Pop","MLL_no","Indv_no","Pop_no","coast","lat","long","temp_mean_adjust","temp_max","temp_mean_adjust.1","sal_min","sal_mean_adjust","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"1","BAR",251,"BAR-07","07","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"2","BAR",260,"BAR-16","16","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"3","BAR",261,"BAR-17","17","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"4","BAR",247,"BAR-05","05","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"5","BAR",247,"BAR-04","04","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"6","BAR",250,"BAR-06","06","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"7","BAR",251,"BAR-08","08","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"8","BAR",251,"BAR-09","09","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"9","BAR",258,"BAR-14","14","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"10","BAR",259,"BAR-15","15","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"11","BAR",241,"BAR-01","01","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"12","BAR",244,"BAR-02","02","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"13","BAR",247,"BAR-03","03","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"14","BAR",262,"BAR-18","18","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"15","BAR",263,"BAR-19","19","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"16","BAR",251,"BAR-12","12","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"17","BAR",264,"BAR-20","20","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"18","BAR",255,"BAR-10","10","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"19","BAR",255,"BAR-11","11","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"20","BAR",251,"BAR-13","13","East",55.75528,12.90189,16.9228,22.8748690287272,16.9228,6.60179917017619,21.4911,-0.241771561003386,-0.0532271950516348,1.64310701726581,0.510819479719842
"21","BJO",703,"BJO-18","18","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"22","BJO",703,"BJO-19","19","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"23","BJO",703,"BJO-01","01","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"24","BJO",703,"BJO-02","02","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"25","BJO",703,"BJO-04","04","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"26","BJO",703,"BJO-05","05","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"27","BJO",703,"BJO-06","06","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"28","BJO",703,"BJO-07","07","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"29","BJO",703,"BJO-08","08","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
"30","BJO",703,"BJO-09","09","East",59.83484289,19.07867998,16.4019,21.3371880849202,16.4019,4.24618355433146,5.4394,-0.686316541349064,-1.76470993890219,-0.717422764163656,-1.90352104722099
