"","pop","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"259","KAL",259,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"260","HOR",260,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"261","VIK",261,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"262","BAR",262,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"263","VAT",263,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"264","HOG",264,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"265","VIK",265,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"266","VAT",266,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"267","BJO",267,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"268","BAR",268,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"269","HOG",269,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"270","HOR",270,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"271","KUR",271,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"272","KAL",272,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"273","VAT",273,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"274","HOG",274,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"275","HOR",275,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"276","BAR",276,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"277","BJO",277,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"278","KUR",278,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"279","KAL",279,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"280","VIK",280,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"281","KUR",281,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"282","KAL",282,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"283","VIK",283,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"284","HOG",284,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"285","BJO",285,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"286","VAT",286,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"287","HOR",287,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"288","BAR",288,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"289","BJO",289,16.4019,21.3371880849202,5.4394,4.24618355433146,"experiment",-0.0296498932748573,-2.50243231953989,-0.883280429210505,-0.952996165915243
"290","HOG",290,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
"291","BAR",291,16.9228,22.8748690287272,16.4911,6.60179917017619,"experiment",0.22460914856251,-0.912370694576811,0.974485029698572,-0.0655740538628553
"292","KUR",292,17.602,23.1814250946045,8.1808,6.88506889343262,"experiment",0.556136776160777,-0.59537188008651,-0.422457367685732,0.0411410716448226
"293","HOR",293,15.1634,23.5119126637777,6.7548,5.73694976170858,"experiment",-0.634180174164809,-0.253626342180178,-0.662164701797619,-0.391385482309496
"294","VIK",294,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"295","VAT",295,14.0383,22.5613098144531,24.9024,9.52845096588135,"experiment",-1.18335822747872,-1.23661121780033,2.38840529576822,1.03697234645689
"296","KAL",296,19.0051,24.1787846883138,6.9842,5.90900532404582,"experiment",1.24101076656586,0.435962495638821,-0.623603087179619,-0.32656764467391
"297","VIK",297,18.5631,22.7906754811605,19.3478,11.8299643198649,"experiment",1.02526398888854,-0.999432272334206,1.4546897571582,1.90401271916067
"298","HOG",298,17.7467,22.4425182342529,16.7431,7.18325344721476,"experiment",0.62676699953161,-1.35944940071845,1.01684565255705,0.153475004532194
