"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"56","GAL",687,"GAL-16","16","Haninge","Gålö",1832692339,5909087305,0.809672573452264,-1.23351764222719
"57","GAS",44,"GAS-01","01","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"58","GAS",46,"GAS-02","02","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"59","GAS",47,"GAS-04","04","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"60","GAS",48,"GAS-05","05","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"61","GAS",49,"GAS-06","06","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"62","GAS",50,"GAS-07","07","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"63","GAS",51,"GAS-08","08","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"64","GAS",52,"GAS-09","09","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"65","GAS",53,"GAS-10","10","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"66","GAS",56,"GAS-11","11","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"67","GAS",66,"GAS-20","20","Kosterhavet","Gåsholmen ",11134688,58878628,-0.479411392175681,1.20206640198682
"68","GOT",176,"GOT-01","01","Kungsbacka","Gottskär",1202123,5739626,0.165130590638291,0.745394393696695
"69","GOT",177,"GOT-05","05","Kungsbacka","Gottskär",1202123,5739626,0.165130590638291,0.745394393696695
"70","GOT",178,"GOT-06","06","Kungsbacka","Gottskär",1202123,5739626,0.165130590638291,0.745394393696695
"71","GOT",179,"GOT-09","09","Kungsbacka","Gottskär",1202123,5739626,0.165130590638291,0.745394393696695
"72","GRO",193,"GRO-01","01","Lahalmsbukten","Grötvik",1278014,5664116,0.809672573452264,-0.167949622883559
"73","GRO",197,"GRO-10","10","Lahalmsbukten","Grötvik",1278014,5664116,0.809672573452264,-0.167949622883559
"74","HAN",744,"HAN-01","01","Finland","Hanko",22990247,59824232,-1.12395337498965,-1.38574164499056
"75","HAN",749,"HAN-11","11","Finland","Hanko",22990247,59824232,-1.12395337498965,-1.38574164499056
