"tank_ID","mean_temp","median_temp","min_temp","max_temp","sd_temp"
"A1",20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.71195214337288
"A2",19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002814
"A3",25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130577
"A4",25.7714604437466,26.16646484375,16.428076171875,34.23173828125,2.47389489451107
"B1",26.0011390003983,26.252265625,16.1277734375,32.08671875,2.31811311504092
"B2",25.8957324470566,26.123564453125,16.55677734375,31.700615234375,2.36168510535853
"B3",25.8228915576884,26.0806640625,16.04197265625,32.00091796875,2.41059776241807
"B4",25.5085056840722,25.7374609375,16.21357421875,31.4003125,2.46520222039827
"C1",20.083437929056,20.2462109375,16.084873046875,25.9090625,1.69711366532745
"C2",20.0892158453973,20.16041015625,15.484267578125,26.85287109375,1.77596359359364
"C3",20.0545752801425,20.203310546875,13.939853515625,24.150146484375,1.76645439081663
"C4",20.2176319507076,20.2462109375,16.170673828125,27.02447265625,1.99822095675236
