"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"44","east","SKI",336,"SKI-05","05","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"45","east","SKI",336,"SKI-06","06","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"46","east","SKI",336,"SKI-07","07","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"47","east","SKI",336,"SKI-08","08","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"48","east","SKI",336,"SKI-09","09","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"49","east","SKI",336,"SKI-11","11","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"50","east","SKI",336,"SKI-12","12","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"51","east","SKI",336,"SKI-13","13","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"52","east","SKI",346,"SKI-14","14","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"53","east","SKI",346,"SKI-15","15","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"54","east","SKI",346,"SKI-16","16","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"55","east","SKI",346,"SKI-17","17","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"56","east","SKI",346,"SKI-18","18","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"57","east","SKI",346,"SKI-19","19","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"58","east","SKI",346,"SKI-20","20","Skillinge","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"59","east","AHU",351,"AHU-01","01","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"60","east","AHU",351,"AHU-08","08","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
