"","curr_std_envorig_scaled[, 1]","pcnm_keep_envorig","temp_scaled","sal_scaled","max_temp_scaled","min_sal_scaled"
"1","BAR",-0.0489794797815884,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"2","BAR",-0.0489794797815879,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"3","BAR",-0.0489794797815884,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"4","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"5","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"6","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"7","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"8","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"9","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"10","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"11","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"12","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"13","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"14","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"15","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"16","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"17","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"18","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"19","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"20","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"21","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"22","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"23","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"24","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"25","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"26","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"27","BAR",-0.0489794797815884,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"28","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"29","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"30","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"31","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"32","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"33","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"34","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"35","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"36","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"37","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"38","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"39","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"40","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"41","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"42","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"43","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"44","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"45","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"46","BAR",-0.0489794797815884,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"47","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"48","BAR",-0.0489794797815883,-0.123819209257679,1.27698152617092,-0.155902391115582,0.779511955577904
"49","BJO",0.0624676866329662,-0.866734464803745,-1.0641512718091,-1.09131673780907,-2.02673108450255
"50","BJO",0.0624676866329662,-0.866734464803745,-1.0641512718091,-1.09131673780907,-2.02673108450255
"51","BJO",0.0624676866329662,-0.866734464803745,-1.0641512718091,-1.09131673780907,-2.02673108450255
"52","BJO",0.0624676866329662,-0.866734464803745,-1.0641512718091,-1.09131673780907,-2.02673108450255
"53","BJO",0.0624676866329662,-0.866734464803745,-1.0641512718091,-1.09131673780907,-2.02673108450255
