"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"72","TempControl-21psu","257","C1","KUR","gen-33","KUR_gen-33",27.02447265625,20.16041015625,21,21
"40","TempControl-21psu","258","C1","BJO","gen-33","BJO_gen-33",27.02447265625,20.16041015625,21,21
"64","TempControl-21psu","259","C1","KAL","gen-33","KAL_gen-33",27.02447265625,20.16041015625,21,21
"56","TempControl-21psu","260","C1","HOR","gen-33","HOR_gen-33",27.02447265625,20.16041015625,21,21
"62","TempControl-21psu","261","C1","VIK","gen-33","VIK_gen-33",27.02447265625,20.16041015625,21,21
"32","TempControl-21psu","262","C1","BAR","gen-33","BAR_gen-33",27.02447265625,20.16041015625,21,21
"80","TempControl-21psu","263","C1","VAT","gen-33","VAT_gen-33",27.02447265625,20.16041015625,21,21
"48","TempControl-21psu","264","C1","HOG","gen-33","HOG_gen-33",27.02447265625,20.16041015625,21,21
"129","TempControl-7psu","265","C1","VIK","gen-34","VIK_gen-34",27.02447265625,20.16041015625,7,7
"192","TempControl-7psu","266","C1","VAT","gen-34","VAT_gen-34",27.02447265625,20.16041015625,7,7
"121","TempControl-7psu","267","C1","BJO","gen-34","BJO_gen-34",27.02447265625,20.16041015625,7,7
"142","TempControl-7psu","268","C1","BAR","gen-34","BAR_gen-34",27.02447265625,20.16041015625,7,7
"157","TempControl-7psu","269","C1","HOG","gen-34","HOG_gen-34",27.02447265625,20.16041015625,7,7
"138","TempControl-7psu","270","C1","HOR","gen-34","HOR_gen-34",27.02447265625,20.16041015625,7,7
"97","TempControl-7psu","271","C1","KUR","gen-34","KUR_gen-34",27.02447265625,20.16041015625,7,7
"146","TempControl-7psu","272","C1","KAL","gen-34","KAL_gen-34",27.02447265625,20.16041015625,7,7
"82","TempControl-21psu","273","C1","VAT","gen-35","VAT_gen-35",27.02447265625,20.16041015625,21,21
"50","TempControl-21psu","274","C1","HOG","gen-35","HOG_gen-35",27.02447265625,20.16041015625,21,21
"58","TempControl-21psu","275","C1","HOR","gen-35","HOR_gen-35",27.02447265625,20.16041015625,21,21
"34","TempControl-21psu","276","C1","BAR","gen-35","BAR_gen-35",27.02447265625,20.16041015625,21,21
"42","TempControl-21psu","277","C1","BJO","gen-35","BJO_gen-35",27.02447265625,20.16041015625,21,21
"74","TempControl-21psu","278","C1","KUR","gen-35","KUR_gen-35",27.02447265625,20.16041015625,21,21
"66","TempControl-21psu","279","C1","KAL","gen-35","KAL_gen-35",27.02447265625,20.16041015625,21,21
"9","TempControl-21psu","280","C1","VIK","gen-35","VIK_gen-35",27.02447265625,20.16041015625,21,21
"105","TempControl-7psu","281","C1","KUR","gen-36","KUR_gen-36",27.02447265625,20.16041015625,7,7
"148","TempControl-7psu","282","C1","KAL","gen-36","KAL_gen-36",27.02447265625,20.16041015625,7,7
"107","TempControl-7psu","283","C1","VIK","gen-36","VIK_gen-36",27.02447265625,20.16041015625,7,7
"168","TempControl-7psu","284","C1","HOG","gen-36","HOG_gen-36",27.02447265625,20.16041015625,7,7
"123","TempControl-7psu","285","C1","BJO","gen-36","BJO_gen-36",27.02447265625,20.16041015625,7,7
"179","TempControl-7psu","286","C1","VAT","gen-36","VAT_gen-36",27.02447265625,20.16041015625,7,7
"140","TempControl-7psu","287","C1","HOR","gen-36","HOR_gen-36",27.02447265625,20.16041015625,7,7
"144","TempControl-7psu","288","C1","BAR","gen-36","BAR_gen-36",27.02447265625,20.16041015625,7,7
"44","TempControl-21psu","289","C2","BJO","gen-37","BJO_gen-37",27.02447265625,20.16041015625,21,21
"52","TempControl-21psu","290","C2","HOG","gen-37","HOG_gen-37",27.02447265625,20.16041015625,21,21
"36","TempControl-21psu","291","C2","BAR","gen-37","BAR_gen-37",27.02447265625,20.16041015625,21,21
"76","TempControl-21psu","292","C2","KUR","gen-37","KUR_gen-37",27.02447265625,20.16041015625,21,21
"60","TempControl-21psu","293","C2","HOR","gen-37","HOR_gen-37",27.02447265625,20.16041015625,21,21
"11","TempControl-21psu","294","C2","VIK","gen-37","VIK_gen-37",27.02447265625,20.16041015625,21,21
"84","TempControl-21psu","295","C2","VAT","gen-37","VAT_gen-37",27.02447265625,20.16041015625,21,21
"55","TempControl-21psu","296","C2","KAL","gen-37","KAL_gen-37",27.02447265625,20.16041015625,21,21
"109","TempControl-7psu","297","C2","VIK","gen-38","VIK_gen-38",27.02447265625,20.16041015625,7,7
"174","TempControl-7psu","298","C2","HOG","gen-38","HOG_gen-38",27.02447265625,20.16041015625,7,7
"106","TempControl-7psu","299","C2","HOR","gen-38","HOR_gen-38",27.02447265625,20.16041015625,7,7
"125","TempControl-7psu","300","C2","BJO","gen-38","BJO_gen-38",27.02447265625,20.16041015625,7,7
"191","TempControl-7psu","301","C2","BAR","gen-38","BAR_gen-38",27.02447265625,20.16041015625,7,7
"154","TempControl-7psu","302","C2","VAT","gen-38","VAT_gen-38",27.02447265625,20.16041015625,7,7
"98","TempControl-7psu","303","C2","KUR","gen-38","KUR_gen-38",27.02447265625,20.16041015625,7,7
"150","TempControl-7psu","304","C2","KAL","gen-38","KAL_gen-38",27.02447265625,20.16041015625,7,7
"13","TempControl-21psu","305","C2","VIK","gen-39","VIK_gen-39",27.02447265625,20.16041015625,21,21
"46","TempControl-21psu","306","C2","BJO","gen-39","BJO_gen-39",27.02447265625,20.16041015625,21,21
"81","TempControl-21psu","307","C2","HOG","gen-39","HOG_gen-39",27.02447265625,20.16041015625,21,21
"38","TempControl-21psu","308","C2","BAR","gen-39","BAR_gen-39",27.02447265625,20.16041015625,21,21
"73","TempControl-21psu","309","C2","VAT","gen-39","VAT_gen-39",27.02447265625,20.16041015625,21,21
"70","TempControl-21psu","310","C2","KAL","gen-39","KAL_gen-39",27.02447265625,20.16041015625,21,21
"78","TempControl-21psu","311","C2","KUR","gen-39","KUR_gen-39",27.02447265625,20.16041015625,21,21
"22","TempControl-21psu","312","C2","HOR","gen-39","HOR_gen-39",27.02447265625,20.16041015625,21,21
"169","TempControl-7psu","313","C2","VAT","gen-40","VAT_gen-40",27.02447265625,20.16041015625,7,7
"115","TempControl-7psu","314","C2","KAL","gen-40","KAL_gen-40",27.02447265625,20.16041015625,7,7
"184","TempControl-7psu","315","C2","KUR","gen-40","KUR_gen-40",27.02447265625,20.16041015625,7,7
"155","TempControl-7psu","316","C2","BJO","gen-40","BJO_gen-40",27.02447265625,20.16041015625,7,7
"135","TempControl-7psu","317","C2","VIK","gen-40","VIK_gen-40",27.02447265625,20.16041015625,7,7
"108","TempControl-7psu","318","C2","HOG","gen-40","HOG_gen-40",27.02447265625,20.16041015625,7,7
"181","TempControl-7psu","319","C2","HOR","gen-40","HOR_gen-40",27.02447265625,20.16041015625,7,7
"160","TempControl-7psu","320","C2","BAR","gen-40","BAR_gen-40",27.02447265625,20.16041015625,7,7
"14","TempControl-21psu","321","C3","VIK","gen-41","VIK_gen-41",27.02447265625,20.16041015625,21,21
"93","TempControl-21psu","322","C3","VAT","gen-41","VAT_gen-41",27.02447265625,20.16041015625,21,21
"39","TempControl-21psu","323","C3","BJO","gen-41","BJO_gen-41",27.02447265625,20.16041015625,21,21
"47","TempControl-21psu","324","C3","KAL","gen-41","KAL_gen-41",27.02447265625,20.16041015625,21,21
"23","TempControl-21psu","325","C3","BAR","gen-41","BAR_gen-41",27.02447265625,20.16041015625,21,21
"91","TempControl-21psu","326","C3","HOG","gen-41","HOG_gen-41",27.02447265625,20.16041015625,21,21
"94","TempControl-21psu","327","C3","KUR","gen-41","KUR_gen-41",27.02447265625,20.16041015625,21,21
"71","TempControl-21psu","328","C3","HOR","gen-41","HOR_gen-41",27.02447265625,20.16041015625,21,21
"118","TempControl-7psu","329","C3","BAR","gen-42","BAR_gen-42",27.02447265625,20.16041015625,7,7
"137","TempControl-7psu","330","C3","HOG","gen-42","HOG_gen-42",27.02447265625,20.16041015625,7,7
"99","TempControl-7psu","331","C3","VIK","gen-42","VIK_gen-42",27.02447265625,20.16041015625,7,7
"188","TempControl-7psu","332","C3","VAT","gen-42","VAT_gen-42",27.02447265625,20.16041015625,7,7
"182","TempControl-7psu","333","C3","KUR","gen-42","KUR_gen-42",27.02447265625,20.16041015625,7,7
"120","TempControl-7psu","334","C3","BJO","gen-42","BJO_gen-42",27.02447265625,20.16041015625,7,7
"156","TempControl-7psu","335","C3","KAL","gen-42","KAL_gen-42",27.02447265625,20.16041015625,7,7
"113","TempControl-7psu","336","C3","HOR","gen-42","HOR_gen-42",27.02447265625,20.16041015625,7,7
"89","TempControl-21psu","337","C3","KAL","gen-43","KAL_gen-43",27.02447265625,20.16041015625,21,21
"17","TempControl-21psu","338","C3","HOG","gen-43","HOG_gen-43",27.02447265625,20.16041015625,21,21
"86","TempControl-21psu","339","C3","BAR","gen-43","BAR_gen-43",27.02447265625,20.16041015625,21,21
"16","TempControl-21psu","340","C3","VIK","gen-43","VIK_gen-43",27.02447265625,20.16041015625,21,21
"75","TempControl-21psu","341","C3","HOR","gen-43","HOR_gen-43",27.02447265625,20.16041015625,21,21
"41","TempControl-21psu","342","C3","BJO","gen-43","BJO_gen-43",27.02447265625,20.16041015625,21,21
"96","TempControl-21psu","343","C3","VAT","gen-43","VAT_gen-43",27.02447265625,20.16041015625,21,21
"65","TempControl-21psu","344","C3","KUR","gen-43","KUR_gen-43",27.02447265625,20.16041015625,21,21
"147","TempControl-7psu","345","C3","KUR","gen-44","KUR_gen-44",27.02447265625,20.16041015625,7,7
"162","TempControl-7psu","346","C3","BJO","gen-44","BJO_gen-44",27.02447265625,20.16041015625,7,7
"102","TempControl-7psu","347","C3","HOG","gen-44","HOG_gen-44",27.02447265625,20.16041015625,7,7
"176","TempControl-7psu","348","C3","BAR","gen-44","BAR_gen-44",27.02447265625,20.16041015625,7,7
"143","TempControl-7psu","349","C3","HOR","gen-44","HOR_gen-44",27.02447265625,20.16041015625,7,7
"171","TempControl-7psu","350","C3","KAL","gen-44","KAL_gen-44",27.02447265625,20.16041015625,7,7
"190","TempControl-7psu","351","C3","VAT","gen-44","VAT_gen-44",27.02447265625,20.16041015625,7,7
"110","TempControl-7psu","352","C3","VIK","gen-44","VIK_gen-44",27.02447265625,20.16041015625,7,7
"87","TempControl-21psu","353","C4","KAL","gen-45","KAL_gen-45",27.02447265625,20.16041015625,21,21
"43","TempControl-21psu","354","C4","BJO","gen-45","BJO_gen-45",27.02447265625,20.16041015625,21,21
"77","TempControl-21psu","355","C4","HOR","gen-45","HOR_gen-45",27.02447265625,20.16041015625,21,21
"18","TempControl-21psu","356","C4","VIK","gen-45","VIK_gen-45",27.02447265625,20.16041015625,21,21
"19","TempControl-21psu","357","C4","HOG","gen-45","HOG_gen-45",27.02447265625,20.16041015625,21,21
"90","TempControl-21psu","358","C4","BAR","gen-45","BAR_gen-45",27.02447265625,20.16041015625,21,21
"83","TempControl-21psu","359","C4","VAT","gen-45","VAT_gen-45",27.02447265625,20.16041015625,21,21
"67","TempControl-21psu","360","C4","KUR","gen-45","KUR_gen-45",27.02447265625,20.16041015625,21,21
"167","TempControl-7psu","361","C4","VAT","gen-46","VAT_gen-46",27.02447265625,20.16041015625,7,7
"173","TempControl-7psu","362","C4","KAL","gen-46","KAL_gen-46",27.02447265625,20.16041015625,7,7
"149","TempControl-7psu","363","C4","KUR","gen-46","KUR_gen-46",27.02447265625,20.16041015625,7,7
"104","TempControl-7psu","364","C4","HOG","gen-46","HOG_gen-46",27.02447265625,20.16041015625,7,7
"186","TempControl-7psu","365","C4","BAR","gen-46","BAR_gen-46",27.02447265625,20.16041015625,7,7
"124","TempControl-7psu","366","C4","BJO","gen-46","BJO_gen-46",27.02447265625,20.16041015625,7,7
"103","TempControl-7psu","367","C4","VIK","gen-46","VIK_gen-46",27.02447265625,20.16041015625,7,7
"158","TempControl-7psu","368","C4","HOR","gen-46","HOR_gen-46",27.02447265625,20.16041015625,7,7
"20","TempControl-21psu","369","C4","VIK","gen-47","VIK_gen-47",27.02447265625,20.16041015625,21,21
"88","TempControl-21psu","370","C4","HOR","gen-47","HOR_gen-47",27.02447265625,20.16041015625,21,21
"45","TempControl-21psu","371","C4","BJO","gen-47","BJO_gen-47",27.02447265625,20.16041015625,21,21
"21","TempControl-21psu","372","C4","HOG","gen-47","HOG_gen-47",27.02447265625,20.16041015625,21,21
"85","TempControl-21psu","373","C4","VAT","gen-47","VAT_gen-47",27.02447265625,20.16041015625,21,21
"92","TempControl-21psu","374","C4","KAL","gen-47","KAL_gen-47",27.02447265625,20.16041015625,21,21
"69","TempControl-21psu","375","C4","KUR","gen-47","KUR_gen-47",27.02447265625,20.16041015625,21,21
"95","TempControl-21psu","376","C4","BAR","gen-47","BAR_gen-47",27.02447265625,20.16041015625,21,21
"101","TempControl-7psu","377","C4","HOG","gen-48","HOG_gen-48",27.02447265625,20.16041015625,7,7
"183","TempControl-7psu","378","C4","VAT","gen-48","VAT_gen-48",27.02447265625,20.16041015625,7,7
"166","TempControl-7psu","379","C4","BAR","gen-48","BAR_gen-48",27.02447265625,20.16041015625,7,7
"185","TempControl-7psu","380","C4","KAL","gen-48","KAL_gen-48",27.02447265625,20.16041015625,7,7
"189","TempControl-7psu","381","C4","HOR","gen-48","HOR_gen-48",27.02447265625,20.16041015625,7,7
"178","TempControl-7psu","382","C4","KUR","gen-48","KUR_gen-48",27.02447265625,20.16041015625,7,7
"114","TempControl-7psu","383","C4","VIK","gen-48","VIK_gen-48",27.02447265625,20.16041015625,7,7
"126","TempControl-7psu","384","C4","BJO","gen-48","BJO_gen-48",27.02447265625,20.16041015625,7,7
