"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"161","TempControl-7psu","060","A2","HOR","gen-08","HOR_gen-08",27.02447265625,20.16041015625,7,7
"177","TempControl-7psu","061","A2","VIK","gen-08","VIK_gen-08",27.02447265625,20.16041015625,7,7
"136","TempControl-7psu","062","A2","HOG","gen-08","HOG_gen-08",27.02447265625,20.16041015625,7,7
"128","TempControl-7psu","063","A2","BAR","gen-08","BAR_gen-08",27.02447265625,20.16041015625,7,7
"152","TempControl-7psu","064","A2","VAT","gen-08","VAT_gen-08",27.02447265625,20.16041015625,7,7
"258","TempWarm-16psu","065","A3","VIK","gen-09","VIK_gen-09",34.23173828125,26.0806640625,16,16
"267","TempWarm-16psu","066","A3","KAL","gen-09","KAL_gen-09",34.23173828125,26.0806640625,16,16
"231","TempWarm-16psu","067","A3","HOG","gen-09","HOG_gen-09",34.23173828125,26.0806640625,16,16
"250","TempWarm-16psu","068","A3","KUR","gen-09","KUR_gen-09",34.23173828125,26.0806640625,16,16
"205","TempWarm-16psu","069","A3","BJO","gen-09","BJO_gen-09",34.23173828125,26.0806640625,16,16
"214","TempWarm-16psu","070","A3","BAR","gen-09","BAR_gen-09",34.23173828125,26.0806640625,16,16
"210","TempWarm-16psu","071","A3","VAT","gen-09","VAT_gen-09",34.23173828125,26.0806640625,16,16
"242","TempWarm-16psu","072","A3","HOR","gen-09","HOR_gen-09",34.23173828125,26.0806640625,16,16
"348","TempWarm-5psu","073","A3","KAL","gen-10","KAL_gen-10",34.23173828125,26.0806640625,5,5
"323","TempWarm-5psu","074","A3","HOR","gen-10","HOR_gen-10",34.23173828125,26.0806640625,5,5
"355","TempWarm-5psu","075","A3","VAT","gen-10","VAT_gen-10",34.23173828125,26.0806640625,5,5
"373","TempWarm-5psu","076","A3","BAR","gen-10","BAR_gen-10",34.23173828125,26.0806640625,5,5
"339","TempWarm-5psu","077","A3","VIK","gen-10","VIK_gen-10",34.23173828125,26.0806640625,5,5
"371","TempWarm-5psu","078","A3","KUR","gen-10","KUR_gen-10",34.23173828125,26.0806640625,5,5
"301","TempWarm-5psu","079","A3","BJO","gen-10","BJO_gen-10",34.23173828125,26.0806640625,5,5
"300","TempWarm-5psu","080","A3","HOG","gen-10","HOG_gen-10",34.23173828125,26.0806640625,5,5
"284","TempWarm-16psu","081","A3","KAL","gen-11","KAL_gen-11",34.23173828125,26.0806640625,16,16
"208","TempWarm-16psu","082","A3","BJO","gen-11","BJO_gen-11",34.23173828125,26.0806640625,16,16
"212","TempWarm-16psu","083","A3","BAR","gen-11","BAR_gen-11",34.23173828125,26.0806640625,16,16
