"","pop","median_temp","max_temp","median_sal","min_sal","trt","tank_ID","bagnum_text"
"144","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","A4",112
"233","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","A4",113
"45","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","A4",114
"262","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","A4",115
"170","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","A4",116
"116","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","A4",117
"84","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","A4",118
"320","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","A4",119
"362","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","A4",120
"150","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","A4",121
"50","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","A4",122
"283","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","A4",123
"107","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","A4",124
"312","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","A4",125
"232","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","A4",126
"6","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","A4",127
"370","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","A4",128
"8","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B1",129
"138","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B1",130
"177","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B1",131
"330","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B1",132
"69","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B1",133
"193","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B1",134
"377","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B1",135
"254","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B1",136
"240","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B1",137
"17","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B1",138
"273","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B1",139
"175","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B1",140
"66","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B1",141
"302","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B1",142
"384","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B1",143
"125","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B1",144
"54","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B1",145
"346","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B1",146
"269","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B1",147
"219","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B1",148
"47","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B1",149
"162","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B1",150
"123","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B1",151
"311","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B1",152
"288","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B1",153
"33","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B1",154
"93","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B1",155
"130","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B1",156
"295","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B1",157
"343","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B1",158
"198","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B1",159
"154","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B1",160
"1","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B2",161
"100","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B2",162
"336","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B2",163
"230","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B2",164
"365","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B2",165
"285","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B2",166
"95","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B2",167
"191","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B2",168
"217","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B2",169
"168","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B2",170
"337","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B2",171
"280","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B2",172
"12","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B2",173
"65","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B2",174
"294","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B2",175
"99","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B2",176
