"trt","temp_trt","mean_temp","median_temp","min_temp","max_temp","sd_temp","mean_sal","median_sal","min_sal","max_sal","sd_sal"
"TempControl-21psu","ctrl",20.0713383691548,20.16041015625,13.939853515625,27.02447265625,1.78296550495458,21.2335858585859,21.3,19.1,21.7,0.243826604091525
"TempControl-7psu","ctrl",20.0713383691548,20.16041015625,13.939853515625,27.02447265625,1.78296550495458,7.09343434343434,7.1,6.6,7.7,0.108883043662865
"TempWarm-16psu","heat",25.8003762629227,26.0806640625,15.827470703125,34.23173828125,2.41006007462381,16.1561274509804,16.1,15.7,16.8,0.180666805951861
"TempWarm-5psu","heat",25.8003762629227,26.0806640625,15.827470703125,34.23173828125,2.41006007462381,5.17925925925926,5.1,4.9,5.8,0.151932907432314
