bagKey,tank_ID,trt,bagnum_text,PopID,new_label,bagnum_num,genetID,DNA_label,temp_full,sal_full,gen,genet,board
8E10126B,A2,TempControl-21psu,038,BAR,038_A2_BAR_gen-05_TempControl-21psu,38,5,BAR_gen-05,TempControl,21psu,gen-05,BAR-05,5
26C61770,A2,TempControl-21psu,039,HOG,039_A2_HOG_gen-05_TempControl-21psu,39,5,HOG_gen-05,TempControl,21psu,gen-05,HOG-05,5
2BA43506,A2,TempControl-21psu,040,KUR,040_A2_KUR_gen-05_TempControl-21psu,40,5,KUR_gen-05,TempControl,21psu,gen-05,KUR-05,5
8C1A73C9,A2,TempControl-7psu,041,VAT,041_A2_VAT_gen-06_TempControl-7psu,41,6,VAT_gen-06,TempControl,7psu,gen-06,VAT-06,6
A370BACA,A2,TempControl-7psu,042,HOG,042_A2_HOG_gen-06_TempControl-7psu,42,6,HOG_gen-06,TempControl,7psu,gen-06,HOG-06,6
1C0011C4,A2,TempControl-7psu,043,BJO,043_A2_BJO_gen-06_TempControl-7psu,43,6,BJO_gen-06,TempControl,7psu,gen-06,BJO-06,6
6794474F,A2,TempControl-7psu,044,KUR,044_A2_KUR_gen-06_TempControl-7psu,44,6,KUR_gen-06,TempControl,7psu,gen-06,KUR-06,6
D9E7C45A,A2,TempControl-7psu,045,BAR,045_A2_BAR_gen-06_TempControl-7psu,45,6,BAR_gen-06,TempControl,7psu,gen-06,BAR-06,6
6D809231,A2,TempControl-7psu,046,VIK,046_A2_VIK_gen-06_TempControl-7psu,46,6,VIK_gen-06,TempControl,7psu,gen-06,VIK-06,6
4459091D,A2,TempControl-7psu,047,KAL,047_A2_KAL_gen-06_TempControl-7psu,47,6,KAL_gen-06,TempControl,7psu,gen-06,KAL-06,6
3089D8E3,A2,TempControl-7psu,048,HOR,048_A2_HOR_gen-06_TempControl-7psu,48,6,HOR_gen-06,TempControl,7psu,gen-06,HOR-06,6
16F4F8C0,A2,TempControl-21psu,049,HOG,049_A2_HOG_gen-07_TempControl-21psu,49,7,HOG_gen-07,TempControl,21psu,gen-07,HOG-07,7
DA48EA5D,A2,TempControl-21psu,050,BJO,050_A2_BJO_gen-07_TempControl-21psu,50,7,BJO_gen-07,TempControl,21psu,gen-07,BJO-07,7
5DD875C2,A2,TempControl-21psu,051,HOR,051_A2_HOR_gen-07_TempControl-21psu,51,7,HOR_gen-07,TempControl,21psu,gen-07,HOR-07,7
9791BDF6,A2,TempControl-21psu,052,KAL,052_A2_KAL_gen-07_TempControl-21psu,52,7,KAL_gen-07,TempControl,21psu,gen-07,KAL-07,7
073B206A,A2,TempControl-21psu,053,VAT,053_A2_VAT_gen-07_TempControl-21psu,53,7,VAT_gen-07,TempControl,21psu,gen-07,VAT-07,7
05A62A4B,A2,TempControl-21psu,054,KUR,054_A2_KUR_gen-07_TempControl-21psu,54,7,KUR_gen-07,TempControl,21psu,gen-07,KUR-07,7
7FC73D59,A2,TempControl-21psu,055,VIK,055_A2_VIK_gen-07_TempControl-21psu,55,7,VIK_gen-07,TempControl,21psu,gen-07,VIK-07,7
7A7B2461,A2,TempControl-21psu,056,BAR,056_A2_BAR_gen-07_TempControl-21psu,56,7,BAR_gen-07,TempControl,21psu,gen-07,BAR-07,7
71C82EA8,A2,TempControl-7psu,057,KUR,057_A2_KUR_gen-08_TempControl-7psu,57,8,KUR_gen-08,TempControl,7psu,gen-08,KUR-08,8
CB7DCA43,A2,TempControl-7psu,058,BJO,058_A2_BJO_gen-08_TempControl-7psu,58,8,BJO_gen-08,TempControl,7psu,gen-08,BJO-08,8
34FDE356,A2,TempControl-7psu,059,KAL,059_A2_KAL_gen-08_TempControl-7psu,59,8,KAL_gen-08,TempControl,7psu,gen-08,KAL-08,8
5AB95C80,A2,TempControl-7psu,060,HOR,060_A2_HOR_gen-08_TempControl-7psu,60,8,HOR_gen-08,TempControl,7psu,gen-08,HOR-08,8
FF4D887C,A2,TempControl-7psu,061,VIK,061_A2_VIK_gen-08_TempControl-7psu,61,8,VIK_gen-08,TempControl,7psu,gen-08,VIK-08,8
F9D4293C,A2,TempControl-7psu,062,HOG,062_A2_HOG_gen-08_TempControl-7psu,62,8,HOG_gen-08,TempControl,7psu,gen-08,HOG-08,8
95923563,A2,TempControl-7psu,063,BAR,063_A2_BAR_gen-08_TempControl-7psu,63,8,BAR_gen-08,TempControl,7psu,gen-08,BAR-08,8
40F0739F,A2,TempControl-7psu,064,VAT,064_A2_VAT_gen-08_TempControl-7psu,64,8,VAT_gen-08,TempControl,7psu,gen-08,VAT-08,8
4A50A4B5,A3,TempWarm-16psu,065,VIK,065_A3_VIK_gen-09_TempWarm-16psu,65,9,VIK_gen-09,TempWarm,16psu,gen-09,VIK-09,9
146E545D,A3,TempWarm-16psu,066,KAL,066_A3_KAL_gen-09_TempWarm-16psu,66,9,KAL_gen-09,TempWarm,16psu,gen-09,KAL-09,9
F8EE1E70,A3,TempWarm-16psu,067,HOG,067_A3_HOG_gen-09_TempWarm-16psu,67,9,HOG_gen-09,TempWarm,16psu,gen-09,HOG-09,9
DEE179F7,A3,TempWarm-16psu,068,KUR,068_A3_KUR_gen-09_TempWarm-16psu,68,9,KUR_gen-09,TempWarm,16psu,gen-09,KUR-09,9
5ACBB993,A3,TempWarm-16psu,069,BJO,069_A3_BJO_gen-09_TempWarm-16psu,69,9,BJO_gen-09,TempWarm,16psu,gen-09,BJO-09,9
9DD26146,A3,TempWarm-16psu,070,BAR,070_A3_BAR_gen-09_TempWarm-16psu,70,9,BAR_gen-09,TempWarm,16psu,gen-09,BAR-09,9
593CE2A5,A3,TempWarm-16psu,071,VAT,071_A3_VAT_gen-09_TempWarm-16psu,71,9,VAT_gen-09,TempWarm,16psu,gen-09,VAT-09,9
