"","pop","mll_no","median_temp","max_temp","median_sal","min_sal","median_temp_std","max_temp_std","median_sal_std","min_sal_std","df"
"75","KAV","90",18,23,21,15,0.750406499046688,-0.782977170961545,1.73242079321687,3.09824820462128,"seascape"
"79","VHA","92",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"80","VHA","93",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"81","VHA","94",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"82","VHA","96",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"84","VHA","97",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"85","VHA","98",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"86","VHA","99",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"87","VHA","100",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"88","VHA","101",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"89","VHA","102",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"91","VHA","104",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"93","VHA","106",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"94","VHA","107",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"95","VHA","108",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"96","VHA","110",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"97","VHA","112",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"98","VHA","115",16,25,25,13,-0.225823264199097,1.28515228250804,2.40481163224039,2.34479581104461,"seascape"
"99","STE","116",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"100","STE","117",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"101","STE","118",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"102","STE","119",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"103","STE","121",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"104","STE","122",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"105","STE","123",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"107","STE","124",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"108","STE","126",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"109","STE","127",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"110","STE","131",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"111","STE","132",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"112","STE","133",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"113","STE","135",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"115","STE","136",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"117","STE","137",18,23,22,12,0.750406499046688,-0.782977170961545,1.90051850297275,1.96806961425628,"seascape"
"119","NOV","138",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"121","NOV","144",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"123","NOV","146",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"124","NOV","147",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"126","NOV","148",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"127","NOV","149",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"128","NOV","150",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"130","NOV","152",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"131","NOV","153",19,23,18,6,1.23852138066958,-0.782977170961545,1.22812766394922,-0.292287566473705,"seascape"
"132","SBR","154",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"133","SBR","157",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"134","SBR","159",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"135","SBR","160",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"136","SBR","161",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"137","SBR","162",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"138","SBR","163",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"139","SBR","164",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"140","SBR","165",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"141","SBR","166",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"142","SBR","167",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"143","SBR","168",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"144","SBR","169",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"145","SBR","170",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"146","SBR","171",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"147","SBR","172",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"148","SBR","173",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"149","SBR","174",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"150","SBR","175",19,23,17,1,1.23852138066958,-0.782977170961545,1.06002995419334,-2.17591855041536,"seascape"
"151","GOT","176",17,24,19,10,0.262291617423796,0.251087555773246,1.3962253737051,1.21461722067962,"seascape"
"152","GOT","177",17,24,19,10,0.262291617423796,0.251087555773246,1.3962253737051,1.21461722067962,"seascape"
"153","GOT","178",17,24,19,10,0.262291617423796,0.251087555773246,1.3962253737051,1.21461722067962,"seascape"
"154","GOT","179",17,24,19,10,0.262291617423796,0.251087555773246,1.3962253737051,1.21461722067962,"seascape"
"155","GRO","193",19,23,13,9,1.23852138066958,-0.782977170961545,0.387639115169813,0.837891023891289,"seascape"
"172","GRO","197",19,23,13,9,1.23852138066958,-0.782977170961545,0.387639115169813,0.837891023891289,"seascape"
"173","HOG","200",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"174","HOG","203",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"175","HOG","204",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"176","HOG","205",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"177","HOG","208",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"178","HOG","210",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
"180","HOG","212",18,22,17,7,0.750406499046688,-1.81704189769634,1.06002995419334,0.0844386303146261,"seascape"
