gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	projectTitle	projectID	fundingAttribution	fundingAttributionID	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4946237843				https://creativecommons.org/licenses/by-nc/4.0/	2024-09-05T11:16:57Z		https://www.inaturalist.org/observations/150916365	hekseringen					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150916365	150916365		hekseringen																																							2023-03-12T12:58:21+01:00	12:58:21+01:00						2023-03-12 12:58:21																				DK	Hovedstaden				Nordøstamager, 2300 København, Danmark												55.6669162484	12.6376200822	EPSG:4326	6																																		340716929				hekseringen		2023-03-12T11:59:18Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4945867994				https://creativecommons.org/licenses/by/4.0/	2024-09-14T11:35:32Z		https://www.inaturalist.org/observations/241604069	Tobias S. Radmer					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/241604069	241604069		Tobias S. Radmer																																							2024-09-13T09:50:00+02:00	09:50:00+02:00						2024/09/13 09:50																				DK	Hovedstaden				Helsingør, Hovedstaden, Denmark												56.09369	12.4471166667	EPSG:4326																																			540143344				Tobias S. Radmer		2024-09-14T08:02:53Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4936354525				https://creativecommons.org/licenses/by-nc/4.0/	2024-09-05T11:17:02Z		https://www.inaturalist.org/observations/115585754	petersc					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/115585754	115585754		petersc																																							2022-04-30T16:10:00+02:00	16:10:00+02:00						2022/04/30 4:10 PM																				DK	Hovedstaden				København, Hovedstaden, Denmark												55.717525	12.5839788	EPSG:4326	2																																		257077372				petersc		2022-05-05T16:40:21Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4901183774				https://creativecommons.org/licenses/by-nc/4.0/	2024-06-24T10:59:50Z		https://www.inaturalist.org/observations/224245953	tricky_vicky					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/224245953	224245953		tricky_vicky																																							2024-06-21T14:49:01+02:00	14:49:01+02:00						2024-06-21 14:49:01+02:00																				SE	Skåne				Sibirienstranden, Ängelholm, M, SE												56.2407416667	12.817245	EPSG:4326	24																																		504037932				tricky_vicky		2024-06-21T19:38:39Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4600025857				https://creativecommons.org/licenses/by-nc/4.0/	2025-03-11T05:57:41Z		https://www.inaturalist.org/observations/150057151	beatricep93					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/150057151	150057151		beatricep93																																							2023-03-02T12:27:13+01:00	12:27:13+01:00						2023-03-02 12:27:13+01:00																				SE	Halland				Strandskatans Fritidsby, Halmstad, Halland, SE												56.6496351675	12.8827881909	EPSG:4326	1042																																		347043983				Marina Kapeller		2023-04-04T21:44:45Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4599952071				https://creativecommons.org/licenses/by-nc/4.0/	2024-03-21T15:17:46Z		https://www.inaturalist.org/observations/171147189	Susanne Spindler					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/171147189	171147189		Susanne Spindler																																							2023-07-04T13:39:00+02:00	13:39:00+02:00						2023/07/04 13:39																				SE	Västra Götaland				Sotenäs, Schweden												58.3497107725	11.2202311691	EPSG:4326	79																																		382229471				Susanne Spindler		2023-07-05T03:13:31Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4599951583				https://creativecommons.org/licenses/by-nc/4.0/	2024-03-21T15:20:15Z		https://www.inaturalist.org/observations/93747857	Lars M					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/93747857	93747857		Lars M																																							2021-09-05T09:33:18+03:00	09:33:18+03:00						Sun Sep 05 2021 09:33:18 GMT+0200 (GMT+2)																				SE	Skåne				Tångvägen, Borrby, Skåne, SE												55.4453781673	14.2530356865	EPSG:4326	4																																		205398171				Lars M		2021-09-08T09:16:52Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4599783762				https://creativecommons.org/licenses/by-nc/4.0/	2024-03-21T15:19:38Z		https://www.inaturalist.org/observations/135508547	marefred					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/135508547	135508547		marefred																																							2022-09-17T17:28:24+02:00	17:28:24+02:00						2022-09-17 17:28:24																				SE	Västra Götaland				Lysekil Municipality, Sweden												58.2518383	11.4657093997	EPSG:4326																																			298503795				marefred		2022-09-18T13:00:05Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4599706437				https://creativecommons.org/licenses/by-nc/4.0/	2024-03-21T15:21:32Z		https://www.inaturalist.org/observations/57461795	vesper					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/57461795	57461795		vesper																																							2020-08-22T13:53:50+02:00	13:53:50+02:00						Sat Aug 22 2020 13:53:50 GMT+0200 (GMT+2)																				SE	Västra Götaland				Styrsö, Göteborg, Västra Götaland, SE												57.601995	11.77376167	EPSG:4326	14																																		125881012				vesper		2020-08-24T17:27:24Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
4535804211				https://creativecommons.org/publicdomain/zero/1.0/	2024-02-29T14:49:13Z		https://www.inaturalist.org/observations/199882271	Jon Ramsey					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				https://www.inaturalist.org/observations/199882271	199882271		Jon Ramsey																																							2024-02-16T17:47:00+01:00	17:47:00+01:00						2024/02/16 5:47 PM																				SE	Skåne				Fridhem, Malmö, Sweden												55.6032922813	12.9666728643	EPSG:4326	61																																		452984289				Jon Ramsey		2024-02-20T09:52:26Z				52614								Zostera marina								Plantae	Tracheophyta	Liliopsida	Alismatales		Zosteraceae				Zostera							species							
