gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2992681546	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/101701831/original.jpg	https://www.inaturalist.org/photos/101701831					2020-10-24T09:31:13Z	maxopdager		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maxopdager
2981009571	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/101709824/original.jpg	https://www.inaturalist.org/photos/101709824					2020-10-09T08:30:02Z	vesper		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vesper
2981009571	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/101709847/original.jpg	https://www.inaturalist.org/photos/101709847					2020-10-09T08:30:02Z	vesper		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	vesper
2980864533	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/101757430/original.jpg	https://www.inaturalist.org/photos/101757430					2020-10-25T00:03:23Z	Mika Tomta		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mika Tomta
2873724769	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/97339059/original.jpeg	https://www.inaturalist.org/photos/97339059					2020-09-26T20:56:11Z	petersc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	petersc
2574155961	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61378380/original.jpeg	https://www.inaturalist.org/photos/61378380					2019-10-12T22:45:00Z	Emil B		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emil B
2574147038	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61378219/original.jpeg	https://www.inaturalist.org/photos/61378219					2019-08-06T23:21:39Z	Emil B		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emil B
2574147038	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61378566/original.jpeg	https://www.inaturalist.org/photos/61378566					2019-08-06T23:21:36Z	Emil B		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emil B
2574147038	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/61378565/original.jpeg	https://www.inaturalist.org/photos/61378565					2019-08-06T23:21:35Z	Emil B		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emil B
2542909140	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/53478682/original.jpeg	https://www.inaturalist.org/photos/53478682					2019-10-07T23:01:22Z	jimkarlstrom		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	jimkarlstrom
2542908399	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/52857101/original.jpg	https://www.inaturalist.org/photos/52857101					2019-09-30T09:36:05Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2542908399	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/52857106/original.jpg	https://www.inaturalist.org/photos/52857106					2019-09-30T09:36:05Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2542908399	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/52857093/original.jpg	https://www.inaturalist.org/photos/52857093					2019-09-30T09:36:05Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2518005317	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57537976/original.jpg	https://www.inaturalist.org/photos/57537976					2019-12-06T08:32:38Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2518005317	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57537981/original.jpg	https://www.inaturalist.org/photos/57537981					2019-12-06T08:32:38Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2518005317	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/57537979/original.jpg	https://www.inaturalist.org/photos/57537979					2019-12-06T08:32:38Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2445022297	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/54772203/original.jpg	https://www.inaturalist.org/photos/54772203					2019-10-23T09:42:01Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2445022297	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/54772204/original.jpg	https://www.inaturalist.org/photos/54772204					2019-10-23T09:42:01Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2445022297	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/54772201/original.jpg	https://www.inaturalist.org/photos/54772201					2019-10-23T09:42:01Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
2445022297	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/54772199/original.jpg	https://www.inaturalist.org/photos/54772199					2019-10-23T09:42:01Z	hanseriksvart		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	hanseriksvart
