"","pop","pop_ord","coast","metric","abs_current","abs_future","CF_abs_offset","CF_relative","CF_rel_offset"
"19","VAT",1,"West","surv",0.916666666666667,0.272727272727273,-0.643939393939394,0.297520661157025,-0.702479338842975
"20","VAT",1,"West","len",2.60900939470273,1.25293246187364,-1.35607693282909,0.480233020401369,-0.519766979598631
"21","VAT",1,"West","weigh",0.0507429752576101,-0.567279015165937,-0.618021990423547,-11.1794590736155,-12.1794590736155
"22","VIK",2,"West","surv",1,1,0,1,0
"23","VIK",2,"West","len",2.62019636142536,1.59952811249851,-1.02066824892685,0.610461160868258,-0.389538839131742
"24","VIK",2,"West","weigh",-0.0652277823463506,-0.337923339938033,-0.272695557591682,5.18066578047535,4.18066578047535
"7","HOG",3,"West","surv",0.909090909090909,0.666666666666667,-0.242424242424242,0.733333333333334,-0.266666666666666
"8","HOG",3,"West","len",2.07892664338215,1.64011167493856,-0.43881496844359,0.788922341324322,-0.211077658675678
"9","HOG",3,"West","weigh",-0.128686115981234,-0.300584734100372,-0.171898618119138,2.33579770287111,1.33579770287111
"1","BAR",4,"West","surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"2","BAR",4,"West","len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"3","BAR",4,"West","weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"16","KUR",5,"East","surv",0.333333333333333,0,-0.333333333333333,0,-1
"17","KUR",5,"East","len",4.49165306863494,NA,NA,NA,NA
"18","KUR",5,"East","weigh",0.325146926240376,NA,NA,NA,NA
"13","KAL",6,"East","surv",0.666666666666667,0.166666666666667,-0.5,0.25,-0.75
"14","KAL",6,"East","len",2.70748468740408,1.37503235501359,-1.33245233239049,0.507863391217168,-0.492136608782832
"15","KAL",6,"East","weigh",0.108663538951656,-0.19527389739523,-0.303937436346886,-1.79705077967419,-2.79705077967419
"10","HOR",7,"East","surv",0.5,0,-0.5,0,-1
"11","HOR",7,"East","len",2.06692465232292,NA,NA,NA,NA
"12","HOR",7,"East","weigh",-0.146787972023416,NA,NA,NA,NA
"4","BJO",8,"East","surv",0.5,0,-0.5,0,-1
"5","BJO",8,"East","len",2.93646925240915,NA,NA,NA,NA
"6","BJO",8,"East","weigh",-0.0326299566146134,NA,NA,NA,NA
