"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord"
"TempControl_21psu","BAR",0,"cf","abs","surv",4,1
"TempControl_21psu","HOG",0,"cf","abs","len",3,1
"TempControl_21psu","HOG",0,"cf","rel","len",3,1
"TempControl_21psu","KUR",-0.411433483131999,"cf","rel","weigh",5,1
"TempControl_21psu","BAR",0,"cg","rel","weigh",4,1
"TempControl_21psu","HOR",0,"cf","rel","len",7,1
"TempControl_21psu","BAR",0,"cg","rel","surv",4,1
"TempControl_21psu","BAR",0,"cf","rel","len",4,1
"TempControl_21psu","BJO",0,"cf","abs","surv",8,1
"TempControl_21psu","BJO",0,"cf","rel","len",8,1
"TempControl_21psu","KUR",0.333333333333333,"cg","abs","surv",5,1
"TempControl_21psu","BAR",0,"cf","abs","weigh",4,1
"TempControl_21psu","VAT",-0.083333333333333,"cg","rel","surv",1,1
"TempControl_21psu","HOG",0,"cf","rel","weigh",3,1
"TempControl_21psu","BAR",0,"cg","abs","weigh",4,1
"TempControl_21psu","HOG",-0.75761986693641,"cg","abs","len",3,1
"TempControl_21psu","VIK",0.333333333333333,"cf","rel","surv",2,1
"TempControl_21psu","BAR",0,"cf","rel","surv",4,1
"TempControl_21psu","BAR",0,"cg","abs","surv",4,1
"TempControl_21psu","HOG",-0.267092347747658,"cg","rel","len",3,1
"TempControl_21psu","KUR",0.666666666666667,"cf","abs","surv",5,1
"TempControl_21psu","VAT",-1.46365149941267,"cf","rel","weigh",1,1
"TempControl_21psu","HOR",-0.25134705045802,"cg","abs","len",7,1
"TempControl_21psu","BAR",0,"cg","abs","len",4,1
"TempControl_21psu","KAL",0.333333333333333,"cf","abs","surv",6,1
"TempControl_21psu","BAR",0,"cg","rel","len",4,1
"TempControl_21psu","BAR",0,"cf","rel","weigh",4,1
"TempControl_21psu","BJO",-0.0499498005163899,"cg","abs","len",8,1
"TempControl_21psu","BAR",0,"cf","abs","len",4,1
"TempControl_21psu","HOR",0,"cf","abs","surv",7,1
"TempControl_21psu","KUR",0.499999999999999,"cg","rel","surv",5,1
"TempControl_21psu","BJO",0.0536552541779725,"cg","abs","weigh",8,1
"TempControl_21psu","KUR",2,"cf","rel","surv",5,1
"TempControl_21psu","KUR",0.140645124943186,"cg","abs","weigh",5,1
"TempControl_21psu","KAL",0,"cg","rel","surv",6,1
"TempControl_21psu","VIK",0.499999999999999,"cg","rel","surv",2,1
"TempControl_21psu","KAL",-0.120242703684518,"cf","rel","len",6,1
"TempControl_21psu","VAT",1.75063531615005e-05,"cg","abs","weigh",1,1
"TempControl_21psu","HOR",0.0439957828056409,"cg","abs","weigh",7,1
"TempControl_21psu","KUR",-0.35055125290014,"cf","abs","len",5,1
"TempControl_21psu","HOR",0,"cf","abs","weigh",7,1
"TempControl_21psu","KUR",0.761129774475457,"cg","rel","weigh",5,1
"TempControl_21psu","BJO",-0.0184487841237918,"cg","rel","len",8,1
"TempControl_21psu","VAT",2.07054785624119,"cf","abs","len",1,1
"TempControl_21psu","BJO",0,"cf","abs","len",8,1
"TempControl_21psu","BJO",0,"cf","abs","weigh",8,1
"TempControl_21psu","VAT",3.84530316159078,"cf","rel","len",1,1
"TempControl_21psu","VAT",0.833333333333334,"cf","abs","surv",1,1
"TempControl_21psu","BJO",-0.0394135504011185,"cg","rel","weigh",8,1
"TempControl_21psu","HOR",0,"cf","abs","len",7,1
"TempControl_21psu","VAT",0.160185035343447,"cf","abs","weigh",1,1
"TempControl_21psu","HOR",0,"cf","rel","weigh",7,1
"TempControl_21psu","HOG",-0.179411584885682,"cg","abs","weigh",3,1
"TempControl_21psu","BJO",0.333333333333333,"cg","abs","surv",8,1
"TempControl_21psu","BJO",0.499999999999999,"cg","rel","surv",8,1
"TempControl_21psu","HOR",-0.128306949838708,"cg","rel","weigh",7,1
"TempControl_21psu","VIK",0.153380505059883,"cf","abs","weigh",2,1
"TempControl_21psu","KAL",0.499999999999999,"cf","rel","surv",6,1
"TempControl_21psu","KAL",0,"cg","abs","surv",6,1
"TempControl_21psu","KAL",-2.26824414813398,"cg","rel","weigh",6,1
"TempControl_21psu","BJO",0,"cf","rel","weigh",8,1
"TempControl_21psu","VIK",-0.701622554568851,"cf","rel","weigh",2,1
"TempControl_21psu","HOG",0,"cf","rel","surv",3,1
